시도,구시군,선거인수,투표수,득표수_1_한나라당_이회창,득표수_2_새정치국민회의_김대중,득표수_3_국민신당_이인제,득표수_4_건설국민승리21_권영길,득표수_5_공화당_허경영,득표수_6_바른나라정치연합_김한식,득표수_7_통일한국당_신정일,득표수_계,무효투표수,기권수
전국,합계,32290416,26042633,9935718,10326275,4925591,306026,39055,48717,61056,25642438,400195,6247783
서울,합계,7358547,5926743,2394309,2627308,747856,65656,5432,8978,5234,5854773,71970,1431804
서울,종로구,145809,116117,48664,52381,11837,1304,110,177,122,114595,1522,29692
서울,중구,96000,76174,29633,36072,8452,640,95,109,92,75093,1081,19826
서울,용산구,180295,141083,61050,60486,15764,1397,125,202,162,139186,1897,39212
서울,성동구갑,129170,104141,39386,48414,13591,1033,120,134,103,102781,1360,25029
서울,성동구을,107044,86499,30052,42528,11407,843,91,150,98,85169,1330,20545
서울,광진구갑,136618,111068,45777,47699,14562,1164,110,155,91,109558,1510,25550
서울,광진구을,145157,116885,43469,55222,15065,1225,109,127,80,115297,1588,28272
서울,동대문구갑,148268,117443,46113,52483,15220,1509,123,163,128,115739,1704,30825
서울,동대문구을,137683,111506,42124,50565,15772,1015,136,155,108,109875,1631,26177
서울,중랑구갑,133832,106695,38240,49051,16507,1009,101,185,125,105218,1477,27137
서울,중랑구을,197142,158667,60659,68324,25728,1441,163,226,129,156670,1997,38475
서울,성북구갑,178624,141323,57316,63323,16707,1724,125,186,160,139541,1782,37301
서울,성북구을,172098,137885,47526,67773,18842,1371,156,229,137,136034,1851,34213
서울,강북구갑,138475,110197,42968,49715,14440,1267,112,171,129,108802,1395,28278
서울,강북구을,131068,104728,34219,53511,14058,1019,105,161,108,103181,1547,26340
서울,도봉구갑,125363,101849,41458,44382,13475,1154,87,113,73,100742,1107,23514
서울,도봉구을,141086,114176,46724,49559,15154,1215,90,147,88,112977,1199,26910
서울,노원구갑,196228,159837,65998,67875,21755,1689,154,284,195,157950,1887,36391
서울,노원구을,198861,163589,68669,69562,21276,1932,139,230,127,161935,1654,35272
서울,은평구갑,161493,129391,48533,61449,15938,1384,115,206,100,127725,1666,32102
서울,은평구을,189020,150734,61446,66832,18297,1821,123,233,133,148885,1849,38286
서울,서대문구갑,124087,98276,40592,44268,10515,1336,91,165,105,97072,1204,25811
서울,서대문구을,138632,111688,41714,53927,13088,1163,90,152,101,110235,1453,26944
서울,마포구갑,126554,100919,41390,44249,12279,1308,107,136,110,99579,1340,25635
서울,마포구을,162457,129766,51900,58291,15880,1687,128,212,108,128206,1560,32691
서울,양천구갑,168372,139187,65067,55064,16004,1533,105,207,91,138071,1116,29185
서울,양천구을,160035,128554,43493,62516,19176,1227,107,183,119,126821,1733,31481
서울,강서구갑,143839,115954,45323,52389,15263,1287,81,150,106,114599,1355,27885
서울,강서구을,211052,171203,70392,70847,25643,1725,201,271,164,169243,1960,39849
서울,구로구갑,141299,115077,45171,48655,18035,1340,130,200,127,113658,1419,26222
서울,구로구을,124956,100240,32992,50461,13765,1218,98,223,95,98852,1388,24716
서울,금천구,188576,150622,50130,73279,22833,1701,147,250,153,148493,2129,37954
서울,영등포구갑,128054,103817,42815,44291,13842,1205,96,159,96,102504,1313,24237
서울,영등포구을,163582,131088,51527,59354,16648,1439,115,181,113,129377,1711,32494
서울,동작구갑,162232,131204,52281,59326,15945,1670,107,252,104,129685,1519,31028
서울,동작구을,154359,124991,47959,59366,14091,1755,112,217,102,123602,1389,29368
서울,관악구갑,183367,149415,49131,78196,17613,2244,122,241,107,147654,1761,33952
서울,관악구을,207041,167868,57597,82855,21902,2763,163,258,123,165661,2207,39173
서울,서초구갑,140568,112653,60717,40841,8735,1211,80,105,51,111740,913,27915
서울,서초구을,150800,121648,59351,47728,11662,1283,105,207,74,120410,1238,29152
서울,강남구갑,205465,160040,87111,56267,13018,1723,106,200,97,158522,1518,45425
서울,강남구을,185253,151401,78207,55042,14657,1533,111,226,91,149867,1534,33852
서울,송파구갑,150890,123707,58466,49450,12928,1394,89,183,87,122597,1110,27183
서울,송파구을,150331,122034,54105,51505,13601,1110,87,182,73,120663,1371,28297
서울,송파구병,162802,133072,53974,58506,17517,1217,112,225,108,131659,1413,29730
서울,강동구갑,174893,143809,62709,57584,20147,1276,126,224,123,142189,1620,31084
서울,강동구을,159717,128523,50171,55845,19222,1152,127,226,118,126861,1662,31194
부산,합계,2692311,2124010,1117069,320178,623756,25581,2252,2211,3359,2094406,29604,568301
부산,중구,46553,35968,21138,5699,8133,341,48,37,55,35451,517,10585
부산,서구,123982,95096,52152,13796,26080,1060,105,107,209,93509,1587,28886
부산,동구,104319,81569,45211,11443,22364,930,100,74,168,80290,1279,22750
부산,영도구,143013,109136,55828,20585,29072,1464,139,130,181,107399,1737,33877
부산,부산진구갑,160389,127232,68656,20561,34315,1464,117,156,205,125474,1758,33157
부산,부산진구을,152166,120675,63285,17426,36149,1541,142,111,189,118843,1832,31491
부산,동래구갑,117215,94379,53462,12787,25487,1155,81,95,137,93204,1175,22836
부산,동래구을,93838,75024,44113,9586,19244,919,76,72,79,74089,935,18814
부산,남구갑,115788,91992,51046,13087,25185,1099,94,110,123,90744,1248,23796
부산,남구을,104705,83268,42702,12912,25232,1014,73,93,126,82152,1116,21437
부산,북구,195741,154874,71423,23525,55332,1833,163,157,192,152625,2249,40867
부산,해운대구,256336,202729,105882,30760,60363,2431,212,205,282,200135,2594,53607
부산,기장군,52581,41705,20202,5484,14276,771,65,41,132,40971,734,10876
부산,사하구갑,116981,93134,52054,12183,26428,1136,76,82,115,92074,1060,23847
부산,사하구을,149986,116012,53097,19459,40098,1228,123,112,183,114300,1712,33974
부산,금정구갑,103810,82674,42043,12595,25437,1086,109,72,178,81520,1154,21136
부산,금정구을,105473,84726,49792,10554,21787,1358,78,62,115,83746,980,20747
부산,강서구,49458,37372,16397,4353,15427,283,72,43,127,36702,670,12086
부산,연제구,164910,131425,72667,19903,35058,1656,127,143,195,129749,1676,33485
부산,수영구,138693,110403,65581,15635,26253,1200,90,144,133,109036,1367,28290
부산,사상구갑,91620,71604,31335,14025,24124,732,79,77,114,70486,1118,20016
부산,사상구을,104754,83013,39003,13820,27912,880,83,88,121,81907,1106,21741
대구,합계,1707338,1347018,965607,166576,173649,16258,1661,1229,4108,1329088,17930,360320
대구,중구,77965,61331,46225,7257,6087,642,60,57,204,60532,799,16634
대구,동구갑,119944,93609,66780,11877,11903,1272,124,95,304,92355,1254,26335
대구,동구을,123038,94953,65420,12655,13845,1097,138,89,323,93567,1386,28085
대구,서구갑,118365,92701,66466,10868,12638,1002,107,91,302,91474,1227,25664
대구,서구을,104077,80012,54919,9617,12651,998,120,77,298,78680,1332,24065
대구,남구,154165,119711,88485,14546,13104,1412,136,100,311,118094,1617,34454
대구,북구갑,126170,99157,71008,11975,13151,1147,132,87,293,97793,1364,27013
대구,북구을,140088,112827,79369,14263,15938,1296,142,131,283,111422,1405,27261
대구,수성구갑,165076,133183,98740,16341,14485,1713,132,102,300,131813,1370,31893
대구,수성구을,153556,123282,92950,14597,12540,1301,123,96,258,121865,1417,30274
대구,달서구갑,148418,116816,82942,13962,16467,1335,132,82,347,115267,1549,31602
대구,달서구을,182824,145859,104787,18027,18898,1679,194,125,400,144110,1749,36965
대구,달성군,93652,73577,47516,10591,11942,1364,121,97,485,72116,1461,20075
인천,합계,1639655,1311512,470560,497839,297739,20340,1915,2356,1862,1292611,18901,328143
인천,중구,53812,41515,17334,13606,9191,496,73,69,99,40868,647,12297
인천,동구,67366,53747,19746,18516,13119,1129,101,113,106,52830,917,13619
인천,남구갑,154189,121949,45526,44705,27560,1857,178,238,149,120213,1736,32240
인천,남구을,143427,114265,46376,39563,24565,1650,179,194,130,112657,1608,29162
인천,연수구,161507,131688,54248,45315,27903,2191,149,221,163,130190,1498,29819
인천,남동구갑,132103,105062,37639,40375,23544,1508,160,195,123,103544,1518,27041
인천,남동구을,129650,103485,35800,40714,23574,1464,153,185,116,102006,1479,26165
인천,부평구갑,187250,148047,49585,62496,30809,2257,190,247,154,145738,2309,39203
인천,부평구을,149955,121344,43394,49372,24227,2210,170,194,143,119710,1634,28611
인천,계양구,195023,158544,51717,66388,35363,2407,176,233,173,156457,2087,36479
인천,서구,202758,161910,50321,64547,41124,2826,236,305,202,159561,2349,40848
인천,강화군,52315,41613,15252,10518,14182,297,121,128,232,40730,883,10702
인천,옹진군,10300,8343,3622,1724,2578,48,29,34,72,8107,236,1957
광주,합계,870554,783025,13294,754159,5181,1478,154,660,273,775199,7826,87529
광주,동구,99187,87879,1776,84226,512,160,22,87,42,86825,1054,11308
광주,서구,156805,141300,2297,136603,814,254,24,104,28,140124,1176,15505
광주,남구,164829,147582,2501,142353,795,259,30,135,58,146131,1451,17247
광주,북구갑,140653,126293,1989,121960,662,252,21,80,32,124996,1297,14360
광주,북구을,162549,146714,2369,141592,946,292,22,91,45,145357,1357,15835
광주,광산구,146531,133257,2362,127425,1452,261,35,163,68,131766,1491,13274
대전,합계,881474,692821,199266,307493,164374,8444,1028,1352,936,682893,9928,188653
대전,동구갑,102348,78586,20259,35379,20151,797,158,197,159,77100,1486,23762
대전,동구을,80726,61944,15819,28235,15915,669,117,121,85,60961,983,18782
대전,중구,180565,140027,40011,63096,32804,1460,196,267,186,138020,2007,40538
대전,서구갑,134004,105171,28178,47865,26152,1070,140,199,139,103743,1428,28833
대전,서구을,153488,124816,43295,53235,25191,1394,136,181,94,123526,1290,28672
대전,유성구,93072,74853,24295,31722,15937,1443,120,154,112,73783,1070,18219
대전,대덕구,137271,107424,27409,47961,28224,1611,161,233,161,105760,1664,29847
울산,합계,654125,530459,268998,80751,139824,32145,627,427,991,523763,6696,123666
울산,중구,155651,124401,67509,16597,31830,6402,143,100,192,122773,1628,31250
울산,남구갑,113311,91663,53780,12216,21475,3041,82,54,119,90767,896,21648
울산,남구을,91574,74655,41404,10610,18643,2897,84,51,113,73802,853,16919
울산,동구,125435,103911,42533,23075,26950,9924,101,89,126,102798,1113,21524
울산,북구,66047,54885,23553,7993,14799,7590,78,48,133,54194,691,11162
울산,울주군,102107,80944,40219,10260,26127,2291,139,85,308,79429,1515,21163
경기,합계,5707087,4600005,1612108,1781577,1071704,47608,7077,8035,7415,4535524,64481,1107082
경기,수원시권선구,192659,154397,53339,58090,38588,1691,222,239,155,152324,2073,38262
경기,수원시팔달구,156084,125457,47962,44680,29535,1145,191,173,143,123829,1628,30627
경기,수원시장안구,175812,140932,51151,52560,33114,1702,212,252,132,139123,1809,34880
경기,성남시수정구,182334,145865,39818,70909,30914,1362,188,265,151,143607,2258,36469
경기,성남시중원구,190920,151994,40779,73650,33343,1299,182,254,154,149661,2333,38926
경기,성남시분당구,255849,215478,109195,75438,26549,2016,171,388,124,213881,1597,40371
경기,의정부시,207741,166236,63136,63019,35619,1518,257,218,224,163991,2245,41505
경기,안양시만안구,177145,141695,49009,59608,29081,1621,167,202,136,139824,1871,35450
경기,안양시동안구갑,118457,97270,37145,40781,16931,985,92,176,75,96185,1085,21187
경기,안양시동안구을,103345,86534,37769,32969,13866,833,74,140,53,85704,830,16811
경기,부천시원미구갑,116776,92957,28239,42516,19342,988,96,151,94,91426,1531,23819
경기,부천시원미구을,142615,119149,43886,50207,21841,1407,104,178,94,117717,1432,23466
경기,부천시오정구,122807,98551,29533,44742,21338,882,102,182,101,96880,1671,24256
경기,부천시소사구,141214,114185,39644,49484,21754,1312,124,190,115,112623,1562,27029
