시도,구시군,선거인수,투표수,득표수_1_한나라당_안상영,득표수_2_새천년민주당_한이헌,득표수_3_민주노동당_김석준,득표수_계,무효투표수,기권수
부산광역시,합계,2784721,1163040,729589,221938,192594,1144121,18919,1621681
부산광역시,중구,45490,23688,15669,4039,3487,23195,493,21802
부산광역시,서구,116858,47313,31336,8397,6594,46327,986,69545
부산광역시,동구,97322,44749,29853,7808,6247,43908,841,52573
부산광역시,영도구,136484,59273,37299,12417,8545,58261,1012,77211
부산광역시,부산진구,320729,152469,95573,28774,25497,149844,2625,168260
부산광역시,동래구,219090,92495,59940,15482,15783,91205,1290,126595
부산광역시,남구,230494,99050,62976,17767,16906,97649,1401,131444
부산광역시,북구,221411,82584,49151,18109,14128,81388,1196,138827
부산광역시,해운대구,289845,114749,69300,22401,21305,113006,1743,175096
부산광역시,기장군,56539,32048,20143,5616,5583,31342,706,24491
부산광역시,사하구,275353,104067,63040,21389,18115,102544,1523,171286
부산광역시,금정구,208840,80821,51478,13631,14349,79458,1363,128019
부산광역시,강서구,45968,26250,15721,6805,3141,25667,583,19718
부산광역시,연제구,169846,75725,47827,13670,13087,74584,1141,94121
부산광역시,수영구,137472,52419,34153,9523,7972,51648,771,85053
부산광역시,사상구,212980,75340,46130,16110,11855,74095,1245,137640
