시도,구시군,선거인수,투표수,득표수_1_한나라당_안상수,득표수_2_새천년민주당_박상은,득표수_3_녹색평화당_신맹순,득표수_4_민주노동당_김창한,득표수_5_사회당_김영규,득표수_계,무효투표수,기권수
인천광역시,합계,1809907,711602,393932,225210,29473,35234,17404,701253,10349,1098305
인천광역시,중구,56476,27197,15627,8295,1154,987,599,26662,535,29279
인천광역시,동구,57370,28452,16071,8484,971,1484,806,27816,636,28918
인천광역시,남구,317337,124830,71928,37404,5341,5028,3276,122977,1853,192507
인천광역시,연수구,174043,67745,40332,19621,2711,2590,1681,66935,810,106298
인천광역시,남동구,286397,105918,56823,33644,6905,4372,2805,104549,1369,180479
인천광역시,부평구,391526,148406,78925,47685,5728,10827,3440,146605,1801,243120
인천광역시,계양구,226315,79673,45748,25930,2376,3144,1637,78835,838,146642
인천광역시,서구,237302,85958,46138,27657,3132,5544,2252,84723,1235,151344
인천광역시,강화군,51913,34626,17134,14150,755,936,679,33654,972,17287
인천광역시,옹진군,11228,8797,5206,2340,400,322,229,8497,300,2431
