시도,구시군,선거인수,투표수,득표수_1_한나라당_황수연,득표수_2_새천년민주당_박태영,득표수_3_무소속_송재구,득표수_4_무소속_송하성,득표수_5_무소속_안수원,득표수_계,무효투표수,기권수
전라남도,합계,1533059,1006148,51504,563545,236558,89487,34439,975533,30615,526911
전라남도,목포시,169428,81949,2234,48314,24124,4459,1012,80143,1806,87479
전라남도,여수시,224680,128464,5123,73429,32229,11837,2700,125318,3146,96216
전라남도,순천시,185581,102005,4062,55386,22295,13613,3792,99148,2857,83576
전라남도,나주시,80868,56762,2914,33315,9992,6442,2194,54857,1905,24106
전라남도,광양시,91773,54956,4620,31800,10205,4733,2097,53455,1501,36817
전라남도,담양군,42009,31362,1201,20837,5843,1842,768,30491,871,10647
전라남도,장성군,41952,30339,1402,22468,3222,1788,717,29597,742,11613
전라남도,곡성군,30366,24338,1182,14162,5489,1838,855,23526,812,6028
전라남도,구례군,25437,20009,976,11588,4416,1939,536,19455,554,5428
전라남도,고흥군,76860,59156,2333,23982,21414,7983,1574,57286,1870,17704
전라남도,보성군,46226,34316,1597,16009,10353,4007,1253,33219,1097,11910
전라남도,화순군,59518,37531,2010,21050,8849,3024,1263,36196,1335,21987
전라남도,장흥군,39139,30151,1735,15637,6166,1835,3860,29233,918,8988
전라남도,강진군,36728,27461,4259,14265,5566,1574,938,26602,859,9267
전라남도,완도군,49558,38051,2277,21495,8029,2814,1844,36459,1592,11507
전라남도,해남군,72342,53655,2865,28642,14141,4247,1770,51665,1990,18687
전라남도,진도군,31753,25424,1095,12423,7030,2408,1263,24219,1205,6329
전라남도,영암군,48526,34684,2180,18958,8747,2537,1187,33609,1075,13842
전라남도,무안군,52292,37247,1965,22315,8386,2358,987,36011,1236,15045
전라남도,영광군,52290,39842,2406,23219,8134,3461,1496,38716,1126,12448
전라남도,함평군,34499,25561,1168,16066,4887,1844,838,24803,758,8938
전라남도,신안군,41234,32885,1900,18185,7041,2904,1495,31525,1360,8349
