시도,구시군,선거인수,투표수,득표수_1_한나라당_이명박,득표수_2_새천년민주당_김민석,득표수_3_녹색평화당_임삼진,득표수_4_민주노동당_이문옥,득표수_5_사회당_원용수,득표수_6_무소속_이경희,득표수_계,무효투표수,기권수
서울특별시,합계,7665343,3510898,1819057,1496754,28034,87965,12982,34313,3479105,31793,4154445
서울특별시,종로구,141157,72241,37592,30353,584,1928,305,689,71451,790,68916
서울특별시,중구,110996,56999,28220,25799,410,1167,190,516,56302,697,53997
서울특별시,용산구,186438,89215,47878,36435,686,2154,338,823,88314,901,97223
서울특별시,성동구,259275,122030,60188,54742,965,3274,461,1184,120814,1216,137245
서울특별시,광진구,288387,128061,65409,56266,904,2873,448,1121,127021,1040,160326
서울특별시,동대문구,293982,139856,71954,59919,1034,3398,550,1592,138447,1409,154126
서울특별시,중랑구,328660,141503,72168,60936,1239,3212,529,1873,139957,1546,187157
서울특별시,성북구,344694,159058,78071,70160,1876,4328,639,2405,157479,1579,185636
서울특별시,강북구,272559,119468,56515,55030,1263,3439,461,1520,118228,1240,153091
서울특별시,도봉구,267451,124314,64873,52444,1108,3227,470,1159,123281,1033,143137
서울특별시,노원구,460769,211967,109154,89265,1761,6520,850,2478,210028,1939,248802
서울특별시,은평구,350617,151137,74992,68205,1152,3371,587,1527,149834,1303,199480
서울특별시,서대문구,278561,130630,64427,58347,1054,3642,522,1368,129360,1270,147931
서울특별시,마포구,289743,135246,68734,58877,1121,3352,532,1294,133910,1336,154497
서울특별시,양천구,346434,160414,83781,68555,1220,3773,557,1342,159228,1186,186020
서울특별시,강서구,381647,167978,86854,71587,1580,3956,646,1776,166399,1579,213669
서울특별시,구로구,310210,143329,72117,63245,983,3773,536,1350,142004,1325,166881
서울특별시,금천구,190719,86245,41021,39563,828,2520,341,1113,85386,859,104474
서울특별시,영등포구,307394,142502,71838,63394,982,3238,448,1302,141202,1300,164892
서울특별시,동작구,310691,143859,71970,64416,1037,3518,545,1134,142620,1239,166832
서울특별시,관악구,409461,183886,81318,89971,1588,6690,799,1682,182048,1838,225575
서울특별시,서초구,298380,141811,87696,48345,902,2800,398,786,140927,884,156569
서울특별시,강남구,405494,185026,116377,60740,1200,3866,614,1089,183886,1140,220468
서울특별시,송파구,478923,217204,120256,86871,1509,4426,692,1734,215488,1716,261719
서울특별시,강동구,352701,156919,85654,63289,1048,3520,524,1456,155491,1428,195782
