시도,구시군,선거인수,투표수,득표수_1_열린우리당_오영교,득표수_2_한나라당_이완구,득표수_4_민주노동당_이용길,득표수_5_국민중심당_이명수,득표수_계,무효투표수,기권수
충청남도,합계,1503240,838462,178169,379420,52417,209254,819260,19202,664778
충청남도,천안시,372195,162726,36426,84436,15778,24136,160776,1950,209469
충청남도,공주시,100960,61082,13868,21948,3101,20682,59599,1483,39878
충청남도,보령시,84236,52539,16826,20818,2392,11282,51318,1221,31697
충청남도,아산시,156817,74771,10839,28561,6590,27467,73457,1314,82046
충청남도,서산시,112204,61310,13144,27317,3995,15341,59797,1513,50894
충청남도,태안군,51770,35084,7572,13756,1814,10701,33843,1241,16686
충청남도,금산군,47627,32263,6017,12045,1531,11653,31246,1017,15364
충청남도,연기군,65548,39859,13698,12927,1777,10431,38833,1026,25689
충청남도,논산시,104305,57835,13044,20497,2926,19699,56166,1669,46470
충청남도,계룡시,24442,15359,3526,7846,561,3209,15142,217,9083
충청남도,부여군,65087,41906,7353,17686,2719,12723,40481,1425,23181
충청남도,서천군,52107,37472,10418,13363,1883,10451,36115,1357,14635
충청남도,홍성군,71168,44369,5122,31578,1247,5602,43549,820,26799
충청남도,청양군,28517,21475,2568,12875,839,4629,20911,564,7042
충청남도,예산군,72864,44393,5762,28804,1709,7186,43461,932,28471
충청남도,당진군,93393,56019,11986,24963,3555,14062,54566,1453,37374
