시도,구시군,선거인수,투표수,득표수_1_열린우리당_이창복,득표수_2_한나라당_김진선,득표수_3_민주당_유재규,득표수_5_국민중심당_유승규,득표수_계,무효투표수,기권수
강원도,합계,1160977,681633,148302,471613,29028,19383,668326,13307,479344
강원도,춘천시,192644,104177,36231,45125,11660,7673,100689,3488,88467
강원도,원주시,215770,106902,31345,70598,2397,1321,105661,1241,108868
강원도,강릉시,171138,92512,12467,74805,2064,1709,91045,1467,78626
강원도,동해시,74884,43269,4903,36395,803,586,42687,582,31615
강원도,삼척시,57751,39784,4897,31894,993,1174,38958,826,17967
강원도,태백시,41345,27807,4148,21005,464,1781,27398,409,13538
강원도,정선군,35948,25156,4982,18270,715,697,24664,492,10792
강원도,속초시,64750,34125,6072,26288,826,471,33657,468,30625
강원도,고성군,25708,18721,3010,14514,493,299,18316,405,6987
강원도,양양군,23582,16899,2584,13324,415,240,16563,336,6683
강원도,인제군,25130,18235,4059,12913,508,320,17800,435,6895
강원도,홍천군,55429,33777,7711,22544,2041,770,33066,711,21652
강원도,횡성군,35200,24116,4919,15734,2548,433,23634,482,11084
강원도,영월군,33449,22727,4950,16488,554,357,22349,378,10722
강원도,평창군,36045,23370,5629,16346,538,464,22977,393,12675
강원도,화천군,18404,13079,2908,8852,610,354,12724,355,5325
강원도,양구군,16454,12044,2545,8379,497,319,11740,304,4410
강원도,철원군,37346,24933,4942,18139,902,415,24398,535,12413
