시도,구시군,선거인수,투표수,득표수_1_열린우리당_박명재,득표수_2_한나라당_김관용,득표수_계,무효투표수,기권수
경상북도,합계,2087709,1284342,290358,961363,1251721,32621,803367
경상북도,포항시북구,190449,105458,25052,78490,103542,1916,84991
경상북도,포항시남구,191369,106552,28285,76190,104475,2077,84817
경상북도,울릉군,8429,7197,1978,5034,7012,185,1232
경상북도,경주시,210980,126368,24020,99188,123208,3160,84612
경상북도,김천시,110274,75345,13759,59700,73459,1886,34929
경상북도,안동시,134448,86104,20188,63435,83623,2481,48344
경상북도,구미시,269226,132377,31617,98851,130468,1909,136849
경상북도,영주시,93247,63459,13339,48518,61857,1602,29788
경상북도,영천시,86235,55405,15816,37956,53772,1633,30830
경상북도,상주시,88983,63161,13414,47741,61155,2006,25822
경상북도,문경시,62743,45426,8244,35909,44153,1273,17317
경상북도,예천군,42780,33333,6502,25693,32195,1138,9447
경상북도,경산시,175092,86525,17373,67371,84744,1781,88567
경상북도,청도군,39951,29829,6176,22708,28884,945,10122
경상북도,고령군,28906,20678,4704,15279,19983,695,8228
경상북도,성주군,38867,27061,5787,20333,26120,941,11806
경상북도,칠곡군,82468,44214,10846,32355,43201,1013,38254
경상북도,군위군,23767,18447,4387,13338,17725,722,5320
경상북도,의성군,55083,41615,8735,31453,40188,1427,13468
경상북도,청송군,24481,18778,5375,12710,18085,693,5703
경상북도,영양군,17011,13680,4124,9033,13157,523,3331
경상북도,영덕군,37578,27226,6156,20243,26399,827,10352
경상북도,봉화군,30652,23132,5627,16850,22477,655,7520
경상북도,울진군,44690,32972,8854,22985,31839,1133,11718
