시도,구시군,선거인수,투표수,득표수_1_열린우리당_김완주,득표수_2_한나라당_문용주,득표수_3_민주당_정균환,득표수_4_민주노동당_염경석,득표수_계,무효투표수,기권수
전라북도,합계,1429632,827387,389436,62922,295891,61672,809921,17466,602245
전라북도,전주시완산구,252082,121291,59401,6322,45973,8406,120102,1189,130791
전라북도,전주시덕진구,198612,94137,45562,5075,34130,8560,93327,810,104475
전라북도,군산시,198467,111760,44385,19593,36122,9086,109186,2574,86707
전라북도,익산시,235847,123052,55008,8189,48019,9442,120658,2394,112795
전라북도,정읍시,99727,62082,30801,3181,21387,5254,60623,1459,37645
전라북도,남원시,72197,50215,27923,2944,15868,2271,49006,1209,21982
전라북도,김제시,82928,55599,27773,3576,19322,3272,53943,1656,27329
전라북도,완주군,66720,41559,19070,2019,15435,4089,40613,946,25161
전라북도,진안군,23432,17528,9415,1437,4987,1186,17025,503,5904
전라북도,무주군,21301,16835,8558,1622,4857,1203,16240,595,4466
전라북도,장수군,20567,16461,8836,1133,4460,1478,15907,554,4106
전라북도,임실군,27747,21428,10937,1509,7120,1310,20876,552,6319
전라북도,순창군,25579,19723,11367,1527,4723,1462,19079,644,5856
전라북도,고창군,51732,37858,15802,1932,16966,2156,36856,1002,13874
전라북도,부안군,52694,37859,14598,2863,16522,2497,36480,1379,14835
