시도,구시군,선거인수,투표수,득표수_1_한나라당_허남식,득표수_2_민주당_김정길,득표수_계,무효투표수,기권수
부산광역시,합계,2849895,1410126,770507,619565,1390072,20054,1439769
부산광역시,중구,41637,21350,12901,7996,20897,453,20287
부산광역시,서구,104507,49172,29328,19131,48459,713,55335
부산광역시,동구,85200,43996,25784,17380,43164,832,41204
부산광역시,영도구,122392,59112,30750,27332,58082,1030,63280
부산광역시,부산진구,322385,157895,85247,70355,155602,2293,164490
부산광역시,동래구,224693,109659,60901,47442,108343,1316,115034
부산광역시,남구,240421,116776,63602,51993,115595,1181,123645
부산광역시,북구,243993,121921,62561,57857,120418,1503,122072
부산광역시,해운대구,328744,157525,85110,70341,155451,2074,171219
부산광역시,기장군,77263,45026,25723,18138,43861,1165,32237
부산광역시,사하구,284062,135482,74598,58835,133433,2049,148580
부산광역시,금정구,203914,103570,58325,43844,102169,1401,100344
부산광역시,강서구,50837,29933,15423,13747,29170,763,20904
부산광역시,연제구,169354,88021,48791,38078,86869,1152,81333
부산광역시,수영구,146237,71131,40880,29372,70252,879,75106
부산광역시,사상구,204256,99557,50583,47724,98307,1250,104699
