시도,구시군,선거인수,투표수,득표수_1_한나라당_김관용,득표수_2_민주당_홍의락,득표수_5_민주노동당_윤병태,득표수_7_국민참여당_유성찬,득표수_계,무효투표수,기권수
경상북도,합계,2122905,1260591,913812,143347,68015,87346,1212520,48071,862314
경상북도,포항시북구,199281,107009,81746,10702,4425,7961,104834,2175,92272
경상북도,포항시남구,197630,105544,77479,12764,5305,7620,103168,2376,92086
경상북도,울릉군,9072,7404,5825,648,288,326,7087,317,1668
경상북도,경주시,211517,124949,91802,12039,9766,7002,120609,4340,86568
경상북도,김천시,109593,67692,51237,6967,2910,4023,65137,2555,41901
경상북도,안동시,134118,84290,63228,8297,3524,5909,80958,3332,49828
경상북도,구미시,291865,138048,90050,21610,9804,13233,134697,3351,153817
경상북도,영주시,90908,60339,43016,7707,2879,3896,57498,2841,30569
경상북도,영천시,85134,52224,37647,5719,2211,4173,49750,2474,32910
경상북도,상주시,87803,60543,43956,5954,3175,4167,57252,3291,27260
경상북도,문경시,62346,42310,31494,4084,1787,2663,40028,2282,20036
경상북도,예천군,40803,31459,23284,2788,1619,2041,29732,1727,9344
경상북도,경산시,185240,93632,67384,10574,6031,6692,90681,2951,91608
경상북도,청도군,38292,26352,19919,2437,1151,1635,25142,1210,11940
경상북도,고령군,29169,20154,14813,1909,1264,1198,19184,970,9015
경상북도,성주군,38683,26126,19230,2688,1385,1599,24902,1224,12557
경상북도,칠곡군,89957,47947,32763,6827,2701,3852,46143,1804,42010
경상북도,군위군,22359,17132,12372,1648,869,1058,15947,1185,5227
경상북도,의성군,51855,37008,27306,3907,1973,1963,35149,1859,14847
경상북도,청송군,23204,17227,12362,2215,1084,951,16612,615,5977
경상북도,영양군,16066,12552,8995,1529,612,644,11780,772,3514
경상북도,영덕군,35548,25906,20358,2028,873,1384,24643,1263,9642
경상북도,봉화군,29721,22772,15060,4204,999,1270,21533,1239,6949
경상북도,울진군,42741,31972,22486,4102,1380,2086,30054,1918,10769
