시도,구시군,선거인수,투표수,득표수_1_한나라당_이달곤,득표수_7_무소속_김두관,계_득표수,무효투표수,기권수
경상남도,합계,2506393,1549690,705986,812336,1518322,31368,956703
경상남도,창원시,371540,224868,97364,125343,222707,2161,146672
경상남도,마산시,322188,191127,97429,91410,188839,2288,131061
경상남도,진주시,254687,164337,72465,89377,161842,2495,90350
경상남도,진해시,130168,77361,38717,37384,76101,1260,52807
경상남도,통영시,108127,67402,35601,30323,65924,1478,40725
경상남도,고성군,47716,32473,15614,15784,31398,1075,15243
경상남도,사천시,89018,61019,29234,30079,59313,1706,27999
경상남도,김해시,359474,195079,73316,119063,192379,2700,164395
경상남도,밀양시,90189,58178,28365,28100,56465,1713,32011
경상남도,거제시,166795,93847,40245,51636,91881,1966,72948
경상남도,의령군,26084,20448,9376,10059,19435,1013,5636
경상남도,함안군,53737,38163,17578,19534,37112,1051,15574
경상남도,창녕군,51556,35573,19057,15224,34281,1292,15983
경상남도,양산시,190214,102673,47551,53195,100746,1927,87541
경상남도,하동군,43182,33213,13817,18373,32190,1023,9969
경상남도,남해군,42320,33047,10831,21299,32130,917,9273
경상남도,함양군,33908,26715,12791,12885,25676,1039,7193
경상남도,산청군,30305,22967,11403,10830,22233,734,7338
경상남도,거창군,50832,37039,18256,17216,35472,1567,13793
경상남도,합천군,44353,34161,16976,15222,32198,1963,10192
