시도,구시군,선거인수,투표수,득표수_1_한나라당_오세훈,득표수_2_민주당_한명숙,득표수_3_자유선진당_지상욱,득표수_7_진보신당_노회찬,득표수_8_미래연합_석종현,계_득표수,무효투표수,기권수
서울특별시,합계,8211461,4426182,2086127,2059715,90032,143459,18339,4397672,28510,3785279
서울특별시,종로구,138917,77812,35476,36910,1719,2653,288,77046,766,61105
서울특별시,중구,109000,60763,28648,28410,1198,1618,363,60237,526,48237
서울특별시,용산구,198044,105005,53285,44706,2533,3160,480,104164,841,93039
서울특별시,성동구,250316,135277,63448,63966,2534,3891,526,134365,912,115039
서울특별시,광진구,301603,158963,72749,76420,3089,4878,707,157843,1120,142640
서울특별시,동대문구,297206,160497,74536,76032,3272,4759,738,159337,1160,136709
서울특별시,중랑구,343810,172251,80577,81517,3432,4757,670,170953,1298,171559
서울특별시,성북구,383508,204667,91907,99316,4093,7236,808,203360,1307,178841
서울특별시,강북구,276171,142061,63231,70115,2553,4539,569,141007,1054,134110
서울특별시,도봉구,292842,159958,74594,74789,3224,5400,766,158773,1185,132884
서울특별시,노원구,470325,264044,119567,124603,4973,12126,1049,262318,1726,206281
서울특별시,은평구,376385,192939,85737,95666,3807,5493,798,191501,1438,183446
서울특별시,서대문구,266950,146827,64769,72788,2966,4697,581,145801,1026,120123
서울특별시,마포구,313579,172905,75267,85882,3340,6739,627,171855,1050,140674
서울특별시,양천구,382358,214849,101350,100272,4376,6492,996,213486,1363,167509
서울특별시,강서구,455047,242758,111082,116689,5121,7315,1010,241217,1541,212289
서울특별시,구로구,339568,187965,83846,92666,3878,5715,803,186908,1057,151603
서울특별시,금천구,197080,103679,44702,52451,2533,2763,415,102864,815,93401
서울특별시,영등포구,329379,180352,84999,83982,3683,5577,879,179120,1232,149027
서울특별시,동작구,325558,184233,81914,90859,3610,6126,646,183155,1078,141325
서울특별시,관악구,442049,238367,93184,128444,4841,9497,851,236817,1550,203682
서울특별시,서초구,341599,185981,109446,65626,3738,5762,709,185281,700,155618
서울특별시,강남구,452744,231886,138390,79094,5136,7252,977,230849,1037,220858
서울특별시,송파구,539644,292420,149228,125414,6239,8861,1250,290992,1428,247224
서울특별시,강동구,387779,209723,104195,93098,4144,6153,833,208423,1300,178056
