시도,구시군,선거인수,투표수,득표수_1_새누리당_정진석,득표수_2_새정치민주연합_안희정,득표수_4_무소속_김기문,득표수_계,무효투표수,기권수
충청남도,합계,1644554,916206,392315,465994,34204,892513,23693,728348
충청남도,천안시서북구,223113,103339,40623,58379,3198,102200,1139,119774
충청남도,천안시동남구,236496,117049,49771,62796,2987,115554,1495,119447
충청남도,공주시,96439,57596,26855,27730,1519,56104,1492,38843
충청남도,보령시,86603,55365,25254,25451,2550,53255,2110,31238
충청남도,아산시,222224,113433,47139,60927,3356,111422,2011,108791
충청남도,서산시,130906,70754,30125,36161,2781,69067,1687,60152
충청남도,태안군,53331,35682,16046,15507,2419,33972,1710,17649
충청남도,금산군,46813,30036,12522,14725,1612,28859,1177,16777
충청남도,논산시,103962,62061,21888,36205,2037,60130,1931,41901
충청남도,계룡시,29874,19557,8353,10274,664,19291,266,10317
충청남도,당진시,128636,69446,29235,35404,2878,67517,1929,59190
충청남도,부여군,61543,38919,18112,17676,1682,37470,1449,22624
충청남도,서천군,50159,33416,14542,16171,1218,31931,1485,16743
충청남도,홍성군,74464,44555,19751,21815,1743,43309,1246,29909
충청남도,청양군,27844,20860,8767,9453,1596,19816,1044,6984
충청남도,예산군,72147,44138,23332,17320,1964,42616,1522,28009
