시도,구시군,선거인수,투표수,득표수_1_새누리당_이중효,득표수_2_새정치민주연합_이낙연,득표수_3_통합진보당_이성수,득표수_계,무효투표수,기권수
전라남도,합계,1549440,1015688,92549,755233,120868,968650,47038,533752
전라남도,목포시,185570,103181,8017,80860,10840,99717,3464,82389
전라남도,여수시,232635,135390,11394,104927,15608,131929,3461,97245
전라남도,순천시,214889,126320,10695,95005,16777,122477,3843,88569
전라남도,나주시,76122,51515,4157,38556,6067,48780,2735,24607
전라남도,광양시,115763,73537,8669,52699,9775,71143,2394,42226
전라남도,담양군,41046,29086,2627,22183,3004,27814,1272,11960
전라남도,장성군,39166,28305,3097,20673,3135,26905,1400,10861
전라남도,곡성군,26872,20627,1976,14497,2835,19308,1319,6245
전라남도,구례군,23363,19041,2351,12759,2796,17906,1135,4322
전라남도,고흥군,61803,47246,4265,33928,5233,43426,3820,14557
전라남도,보성군,39863,29891,3182,20917,3866,27965,1926,9972
전라남도,화순군,54937,39198,3250,28881,5195,37326,1872,15739
전라남도,장흥군,35493,27569,2707,19126,4078,25911,1658,7924
전라남도,강진군,33613,24567,2520,17626,3035,23181,1386,9046
전라남도,완도군,45300,34406,2998,25475,3459,31932,2474,10894
전라남도,해남군,64806,42857,3786,31339,5234,40359,2498,21949
전라남도,진도군,27951,20840,2090,14605,2549,19244,1596,7111
전라남도,영암군,48480,33132,4173,23863,3321,31357,1775,15348
전라남도,무안군,63647,40757,3090,32041,3834,38965,1792,22890
전라남도,영광군,47906,36009,2965,26640,4876,34481,1528,11897
전라남도,함평군,30727,21640,1800,16555,2191,20546,1094,9087
전라남도,신안군,39488,30574,2740,22078,3160,27978,2596,8914
