시도,구시군,선거인수,투표수,득표수_1_더불어민주당_오거돈,득표수_2_자유한국당_서병수,득표수_3_바른미래당_이성권,득표수_5_정의당_박주미,득표수_6_무소속_이종혁,득표수_계,무효투표수,기권수
부산광역시,합계,2939046,1727684,940469,632806,67502,35299,26720,1702796,24888,1211362
부산광역시,중구,39832,22499,11730,8993,657,423,300,22103,396,17333
부산광역시,서구,97123,55377,27919,22760,1670,1091,913,54353,1024,41746
부산광역시,동구,79091,46288,23476,18841,1480,833,691,45321,967,32803
부산광역시,영도구,107930,61332,34279,22179,1923,1050,879,60310,1022,46598
부산광역시,부산진구,319402,184063,98314,67354,8409,3608,3626,181311,2752,135339
부산광역시,동래구,226713,135595,72895,50115,6046,2847,1963,133866,1729,91118
부산광역시,남구,234211,140451,75978,52232,5283,2980,1902,138375,2076,93760
부산광역시,북구,253907,152125,85791,53265,5742,3296,2034,150128,1997,101782
부산광역시,해운대구,342079,200332,109622,73131,8980,3671,2770,198174,2158,141747
부산광역시,기장군,127882,76285,43966,24813,2722,1697,1593,74791,1494,51597
부산광역시,사하구,281099,160688,88757,58193,5887,3270,2237,158344,2344,120411
부산광역시,금정구,210978,126589,66972,48138,4742,3112,1784,124748,1841,84389
부산광역시,강서구,92854,55518,32491,18201,1911,1084,1168,54855,663,37336
부산광역시,연제구,174673,105913,57573,38815,4202,2177,1837,104604,1309,68760
부산광역시,수영구,155794,90474,47799,35084,3526,1738,1275,89422,1052,65320
부산광역시,사상구,195478,114155,62907,40692,4322,2422,1748,112091,2064,81323
