시도,구시군,선거인수,투표수,득표수_1_더불어민주당_이시종,득표수_2_자유한국당_박경국,득표수_3_바른미래당_신용한,득표수_계,무효투표수,기권수
충청북도,합계,1318186,782316,468750,227371,70330,766451,15865,535870
충청북도,청주시상당구,140405,80162,47260,23920,7676,78856,1306,60243
충청북도,청주시서원구,174307,100218,60096,28299,10359,98754,1464,74089
충청북도,청주시흥덕구,204639,110108,67695,28114,12684,108493,1615,94531
충청북도,청주시청원구,154249,85634,54139,21312,8988,84439,1195,68615
충청북도,충주시,175414,103606,62569,31253,7887,101709,1897,71808
충청북도,제천시,114513,70289,41702,21580,5428,68710,1579,44224
충청북도,단양군,26796,19078,10661,6807,1070,18538,540,7718
충청북도,영동군,43904,31226,17317,10871,1979,30167,1059,12678
충청북도,보은군,30016,22735,10627,9856,1391,21874,861,7281
충청북도,옥천군,44862,30485,17389,9447,2692,29528,957,14377
충청북도,음성군,81826,47528,30582,12458,3283,46323,1205,34298
충청북도,진천군,61715,36734,23180,9822,2827,35829,905,24981
충청북도,괴산군,34902,25078,13855,8397,1975,24227,851,9824
충청북도,증평군,30638,19435,11678,5235,2091,19004,431,11203
