시도,구시군,선거인수,투표수,득표수_1_더불어민주당_최문순,득표수_2_자유한국당_정창수,득표수_계,무효투표수,기권수
강원도,합계,1296196,819193,518447,282456,800903,18290,477003
강원도,춘천시,231430,144282,96699,45024,141723,2559,87148
강원도,원주시,278991,159235,103811,53060,156871,2364,119756
강원도,강릉시,179767,108772,62434,44086,106520,2252,70995
강원도,동해시,75747,46923,29034,16783,45817,1106,28824
강원도,삼척시,59117,41032,25401,14369,39770,1262,18085
강원도,태백시,38386,25298,15354,9272,24626,672,13088
강원도,정선군,33293,23092,14708,7739,22447,645,10201
강원도,속초시,68234,40493,26237,13443,39680,813,27741
강원도,고성군,25496,18354,11620,6173,17793,561,7142
강원도,양양군,24088,17864,10931,6431,17362,502,6224
강원도,인제군,27243,19632,12988,6061,19049,583,7611
강원도,홍천군,60386,39971,25477,13401,38878,1093,20415
강원도,횡성군,40565,27945,16987,10076,27063,882,12620
강원도,영월군,35214,23980,14032,9364,23396,584,11234
강원도,평창군,37506,25475,15765,9156,24921,554,12031
강원도,화천군,21783,16229,10885,4839,15724,505,5554
강원도,양구군,19596,14386,9171,4710,13881,505,5210
강원도,철원군,39354,26230,16913,8469,25382,848,13124
