시도,구시군,선거인수,투표수,득표수_1_더불어민주당_김경수,득표수_2_자유한국당_김태호,득표수_3_바른미래당_김유근,득표수_계,무효투표수,기권수
경상남도,합계,2765485,1819391,941491,765809,75418,1782718,36673,946094
경상남도,창원시의창구,210327,135147,72745,54066,6264,133075,2072,75180
경상남도,창원시성산구,184600,125797,76104,42016,6012,124132,1665,58803
경상남도,창원시마산합포구,154311,99281,44305,48933,4348,97586,1695,55030
경상남도,창원시마산회원구,166500,109609,52918,50373,4628,107919,1690,56891
경상남도,창원시진해구,150396,93901,50350,37660,4381,92391,1510,56495
경상남도,진주시,282049,190842,96104,83637,8004,187745,3097,91207
경상남도,통영시,110317,72815,32916,35501,2890,71307,1508,37502
경상남도,고성군,46588,34075,16355,15438,1091,32884,1191,12513
경상남도,사천시,94449,65481,29390,31787,2599,63776,1705,28968
경상남도,김해시,420296,251998,161710,78062,8924,248696,3302,168298
경상남도,밀양시,93081,62115,27434,30835,2229,60498,1617,30966
경상남도,거제시,194485,122586,72292,42578,5520,120390,2196,71899
경상남도,의령군,24972,19912,7439,10529,1021,18989,923,5060
경상남도,함안군,56780,40450,18045,19725,1505,39275,1175,16330
경상남도,창녕군,55922,39408,15083,21886,1315,38284,1124,16514
경상남도,양산시,275507,167549,94038,63463,7376,164877,2672,107958
경상남도,하동군,42568,33773,16052,15039,1276,32367,1406,8795
경상남도,남해군,39731,30728,13268,14921,1163,29352,1376,9003
경상남도,함양군,34972,27230,10915,14003,1185,26103,1127,7742
경상남도,산청군,32408,24648,9779,12932,1040,23751,897,7760
경상남도,거창군,53061,39547,13919,23022,1407,38348,1199,13514
경상남도,합천군,42165,32499,10330,19403,1240,30973,1526,9666
