시도,구시군,선거인수,투표수,득표수_1_더불어민주당_박남춘,득표수_2_자유한국당_유정복,득표수_3_바른미래당_문병호,득표수_5_정의당_김응호,득표수_계,무효투표수,기권수
인천광역시,합계,2440779,1349084,766186,470937,54054,37472,1328649,20435,1091695
인천광역시,중구,98608,53666,29817,19724,1960,1301,52802,864,44942
인천광역시,동구,57559,34757,17288,14655,895,1175,34013,744,22802
인천광역시,남구,356508,183835,97347,71278,6754,5318,180697,3138,172673
인천광역시,연수구,269626,160548,90969,58191,5277,4153,158590,1958,109078
인천광역시,남동구,441132,246564,144979,82245,8552,7488,243264,3300,194568
인천광역시,부평구,448618,241811,140735,76655,13830,7186,238406,3405,206807
인천광역시,계양구,266216,143889,86747,44686,5869,4525,141827,2062,122327
인천광역시,서구,422819,230166,137825,74876,9347,5215,227263,2903,192653
인천광역시,강화군,60755,39940,14972,21723,1080,757,38532,1408,20815
인천광역시,옹진군,18938,13908,5507,6904,490,354,13255,653,5030
