시도,구시군,선거인수,투표수,득표수_1_더불어민주당_김영록,득표수_3_바른미래당_박매호,득표수_4_민주평화당_민영삼,득표수_5_정의당_노형태,득표수_6_민중당_이성수,득표수_계,무효투표수,기권수
전라남도,합계,1577224,1092107,807902,40287,110973,37433,51410,1048005,44102,485117
전라남도,목포시,186864,119950,87419,2644,18579,5724,2399,116765,3185,66914
전라남도,여수시,235359,153554,120941,6198,10972,4184,7401,149696,3858,81805
전라남도,순천시,225673,144341,113180,4942,9399,4603,8612,140736,3605,81332
전라남도,나주시,93513,61444,47100,2317,4753,2141,2800,59111,2333,32069
전라남도,광양시,122154,83720,63778,4210,5466,3290,4351,81095,2625,38434
전라남도,담양군,41703,29739,22127,1361,2098,1181,1772,28539,1200,11964
전라남도,장성군,39603,29751,20820,1294,2453,1156,2350,28073,1678,9852
전라남도,곡성군,26739,20723,13989,1219,2058,970,1280,19516,1207,6016
전라남도,구례군,23743,19333,13080,723,2236,839,1396,18274,1059,4410
전라남도,고흥군,59446,47954,31631,1797,8221,1111,1715,44475,3479,11492
전라남도,보성군,38546,29110,20429,2020,2467,858,1593,27367,1743,9436
전라남도,화순군,54543,38366,28270,1377,3741,1213,2230,36831,1535,16177
전라남도,장흥군,34777,26630,18636,1026,2256,1478,1791,25187,1443,8147
전라남도,강진군,31919,23902,17079,694,3458,652,963,22846,1056,8017
전라남도,완도군,44758,34573,28135,796,2399,525,1113,32968,1605,10185
전라남도,해남군,62461,44449,31880,1087,6941,1041,1592,42541,1908,18012
전라남도,진도군,27441,21408,15245,664,2860,503,943,20215,1193,6033
전라남도,영암군,46588,31569,22047,1254,4486,1387,958,30132,1437,15019
전라남도,무안군,66517,46087,33590,1289,5797,1804,1480,43960,2127,20430
전라남도,영광군,46689,32953,24196,1379,2527,1010,2157,31269,1684,13736
전라남도,함평군,30165,22405,14892,985,3350,888,1001,21116,1289,7760
전라남도,신안군,38023,30146,19438,1011,4456,875,1513,27293,2853,7877
