시도,구시군,선거인수,투표수,득표수_1_더불어민주당_박원순,득표수_2_자유한국당_김문수,득표수_3_바른미래당_안철수,득표수_5_정의당_김종민,득표수_6_민중당_김진숙,득표수_7_대한애국당_인지연,득표수_8_녹색당_신지예,득표수_9_미래당_우인철,득표수_10_친박연대_최태현,득표수_계,무효투표수,기권수
서울특별시,합계,8380947,5019098,2619497,1158487,970374,81664,22134,11222,82874,11599,4021,4961872,57226,3361849
서울특별시,종로구,134963,81195,41148,18777,15946,1469,358,223,1896,215,59,80091,1104,53768
서울특별시,중구,112336,66474,34243,15618,12814,1023,279,193,1076,149,96,65491,983,45862
서울특별시,용산구,200009,116054,53964,31073,24074,2151,436,231,2392,226,115,114662,1392,83955
서울특별시,성동구,264634,157863,84106,34878,30379,2594,689,309,2418,370,123,155866,1997,106771
서울특별시,광진구,308174,180373,99366,38606,32310,3077,804,376,3222,482,125,178368,2005,127801
서울특별시,동대문구,302939,178077,93913,40984,33437,2731,827,434,2848,404,145,175723,2354,124862
서울특별시,중랑구,352041,198943,109318,45905,33672,2662,959,519,2561,429,185,196210,2733,153098
서울특별시,성북구,373174,222184,119898,47274,42105,3750,918,523,4349,497,187,219501,2683,150990
서울특별시,강북구,280860,156279,85839,33537,28138,2396,718,481,2276,431,165,153981,2298,124581
서울특별시,도봉구,292696,173751,92172,39099,33308,2767,810,445,2430,434,144,171609,2142,118945
서울특별시,노원구,456370,283039,150657,54461,62193,4866,1448,609,4364,732,248,279578,3461,173331
서울특별시,은평구,413112,238193,131287,49071,44033,4167,1121,533,4421,522,216,235371,2822,174919
서울특별시,서대문구,269182,163969,87486,34514,31494,2842,879,333,3780,394,120,161842,2127,105213
서울특별시,마포구,320091,197264,105956,40249,37233,4369,927,386,5475,496,170,195261,2003,122827
서울특별시,양천구,383104,238559,125557,53780,47056,4052,979,507,3455,525,180,236091,2468,144545
서울특별시,강서구,509021,303651,168733,64676,54090,5356,1522,690,4387,696,259,300409,3242,205370
서울특별시,구로구,351457,211169,113799,48981,37784,3363,1006,436,2709,494,191,208763,2406,140288
서울특별시,금천구,206762,116953,64662,25156,21106,1539,681,334,1505,235,117,115335,1618,89809
서울특별시,영등포구,325036,195840,100899,46666,37945,3145,988,421,3008,416,155,193643,2197,129196
서울특별시,동작구,340489,213232,114563,46094,41257,3564,863,382,3535,522,152,210932,2300,127257
서울특별시,관악구,449742,265465,152069,47686,49248,4745,1490,606,5336,684,230,262094,3371,184277
서울특별시,서초구,359734,226905,96452,69910,50486,3010,600,454,3535,459,106,225012,1893,132829
서울특별시,강남구,454862,266153,107743,87305,58987,3723,721,586,4240,499,134,263938,2215,188709
서울특별시,송파구,554983,348956,171592,90144,71367,4952,1207,686,4861,780,230,345819,3137,206027
서울특별시,강동구,365176,218557,114075,54043,39912,3351,904,525,2795,508,169,216282,2275,146619
