시도,구시군,선거인수,투표수,득표수_1_더불어민주당_임미애,득표수_2_국민의힘_이철우,득표수_계,무효투표수,기권수
경상북도,합계,2268707,1194595,255775,904675,1160450,34145,1074112
경상북도,포항시북구,230960,105786,23150,80784,103934,1852,125174
경상북도,포항시남구,196727,90434,20195,68137,88332,2102,106293
경상북도,울릉군,8339,6795,1217,5270,6487,308,1544
경상북도,경주시,220490,109647,22875,83997,106872,2775,110843
경상북도,김천시,120471,67277,13915,51776,65691,1586,53194
경상북도,안동시,135862,74540,20435,51965,72400,2140,61322
경상북도,구미시,337510,144547,34597,108033,142630,1917,192963
경상북도,영주시,89061,56297,12783,41642,54425,1872,32764
경상북도,영천시,90932,51707,9328,40517,49845,1862,39225
경상북도,상주시,84980,54367,9992,42260,52252,2115,30613
경상북도,문경시,64160,40384,7318,31696,39014,1370,23776
경상북도,예천군,47561,29496,8371,20150,28521,975,18065
경상북도,경산시,230676,100056,20784,77048,97832,2224,130620
경상북도,청도군,38574,27316,4559,21609,26168,1148,11258
경상북도,고령군,27757,17420,3009,13729,16738,682,10337
경상북도,성주군,39451,26637,4585,21029,25614,1023,12814
경상북도,칠곡군,96081,41978,9340,31678,41018,960,54103
경상북도,군위군,22054,17845,3398,13156,16554,1291,4209
경상북도,의성군,47168,34928,7326,25869,33195,1733,12240
경상북도,청송군,22790,16846,3509,12682,16191,655,5944
경상북도,영양군,14920,11532,2394,8563,10957,575,3388
경상북도,영덕군,32124,21563,3501,17204,20705,858,10561
경상북도,봉화군,27996,18883,4024,14118,18142,741,9113
경상북도,울진군,42063,28314,5170,21763,26933,1381,13749
