시도,구시군,선거인수,투표수,득표수_1_더불어민주당_김관영,득표수_2_국민의힘_조배숙,득표수_계,무효투표수,기권수
전라북도,합계,1532133,745354,591510,128828,720338,25016,786779
전라북도,전주시완산구,311508,125313,99377,23509,122886,2427,186195
전라북도,전주시덕진구,238934,96938,75741,19377,95118,1820,141996
전라북도,군산시,224926,87125,73109,12003,85112,2013,137801
전라북도,익산시,239077,107245,83134,20682,103816,3429,131832
전라북도,정읍시,93307,54283,44026,7960,51986,2297,39024
전라북도,남원시,69007,44516,35477,7046,42523,1993,24491
전라북도,김제시,72358,42668,33765,7114,40879,1789,29690
전라북도,완주군,78284,41408,32573,7144,39717,1691,36876
전라북도,진안군,22634,16616,13062,2796,15858,758,6018
전라북도,무주군,21279,16268,11971,3381,15352,916,5011
전라북도,장수군,19380,14590,11607,2216,13823,767,4790
전라북도,임실군,24346,17636,13689,3024,16713,923,6710
전라북도,순창군,23898,18594,14230,3265,17495,1099,5304
전라북도,고창군,47581,34662,27811,4935,32746,1916,12919
전라북도,부안군,45614,27492,21938,4376,26314,1178,18122
