시도,구시군,선거인수,투표수,득표수_1_민주자유당_김영삼,득표수_2_민주당_김대중,득표수_3_통일국민당_정주영,득표수_4_새한국당_이종찬,득표수_5_신정치개혁당_박찬종,득표수_6_대한정의당_이병호,득표수_7_무소속_김옥선,득표수_8_무소속_백기완,득표수_계,무효투표수,기권수
전국,합계,28676547,24095170,9977332,8041284,3880067,0,1516047,35739,86292,238648,23775409,319761,4581377
서울,합계,7235830,6021311,2167298,2246636,1070629,0,381535,4797,13098,67784,5951777,69534,1214519
서울,종로구,158824,130419,41396,50226,27397,0,7234,133,284,1600,128270,2149,28405
서울,중구,123335,101005,34093,41814,17005,0,5273,90,224,1096,99595,1410,22330
서울,용산구,198704,161166,59755,57144,29967,0,9953,121,339,1810,159089,2077,37538
서울,성동구갑,163359,135465,45506,56390,22369,0,7531,117,365,1422,133700,1765,27894
서울,성동구을,161747,133569,42929,57027,22097,0,7479,96,325,1544,131497,2072,28178
서울,성동구병,199297,165860,59044,59491,32573,0,10587,131,324,1780,163930,1930,33437
서울,동대문구갑,162772,134238,47589,50420,23798,0,8448,109,312,1783,132459,1779,28534
서울,동대문구을,158339,133425,47346,51951,22324,0,8063,123,291,1491,131589,1836,24914
서울,중랑구갑,130838,109831,38079,42451,19184,0,7166,116,280,1227,108503,1328,21007
서울,중랑구을,168351,140198,50862,50107,26781,0,8705,132,361,1560,138508,1690,28153
서울,성북구갑,180212,147828,50951,56806,26337,0,9299,137,356,1979,145865,1963,32384
서울,성북구을,180904,151254,49229,64262,24345,0,9156,119,380,1833,149324,1930,29650
서울,도봉구갑,174638,145077,50891,53350,27527,0,9773,104,306,1667,143618,1459,29561
서울,도봉구을,151416,126024,41437,52640,20986,0,7429,121,252,1590,124455,1569,25392
서울,도봉구병,179365,149621,50928,59182,25835,0,9572,130,324,1843,147814,1807,29744
서울,노원구갑,194692,161836,59164,58853,28805,0,10863,146,430,1821,160082,1754,32856
서울,노원구을,169197,142898,54573,50800,24453,0,9815,92,261,1574,141568,1330,26299
서울,은평구갑,155063,129539,43490,51496,22795,0,8371,103,321,1459,128035,1504,25524
