시도,구시군,선거인수,투표수,득표수_1_더불어민주당_문재인,득표수_2_자유한국당_홍준표,득표수_3_국민의당_안철수,득표수_4_바른정당_유승민,득표수_5_정의당_심상정,득표수_6_새누리당_조원진,득표수_7_경제애국당_오영국,득표수_8_국민대통합당_장성민,득표수_9_늘푸른한국당_이재오,득표수_10_민중연합당_김선동,득표수_12_한국국민당_이경희,득표수_14_홍익당_윤홍식,득표수_15_무소속_김민찬,득표수_계,무효투표수,기권수
전국,합계,42479710,32807908,13423800,7852849,6998342,2208771,2017458,42949,6040,21709,9140,27229,11355,18543,33990,32672175,135733,9671802
서울특별시,합계,8382999,6590646,2781345,1365285,1492767,476973,425459,9987,789,3554,1938,3416,1277,2177,3950,6568917,21729,1792353
서울특별시,종로구,133769,102566,42512,22325,22313,7412,7113,228,5,78,31,63,26,47,49,102202,364,31203
서울특별시,중구,109836,82852,34062,17901,19372,5874,4993,158,12,53,21,55,18,25,51,82595,257,26984
서울특별시,용산구,197962,148157,58081,35230,32109,11825,9773,299,17,68,23,72,32,51,80,147660,497,49805
서울특별시,성동구,259009,203175,86686,40566,45674,15859,12936,304,16,94,46,108,41,58,124,202512,663,55834
서울특별시,광진구,305172,240030,105512,46368,52824,17114,16540,312,24,120,48,127,48,65,129,239231,799,65142
서울특별시,동대문구,304972,236092,98958,51631,53359,15129,15107,360,41,150,44,160,80,84,162,235265,827,68880
서울특별시,중랑구,351986,265706,111450,56545,62778,15996,16817,373,34,155,74,152,65,90,215,264744,962,86280
서울특별시,성북구,378024,295866,129263,57584,66518,19830,20519,407,34,190,55,172,65,107,178,294922,944,82158
서울특별시,강북구,281434,210614,89645,42268,51669,11871,13482,324,34,145,45,123,53,93,150,209902,712,70820
서울특별시,도봉구,293679,229233,94898,47461,55600,14500,14923,352,30,162,43,152,38,79,144,228382,851,64446
서울특별시,노원구,464422,374213,158167,67590,96325,24846,24498,548,37,168,85,210,81,120,232,372907,1306,90209
서울특별시,은평구,413086,317275,140180,60109,72582,19447,21955,432,49,188,656,160,61,115,181,316115,1160,95811
서울특별시,서대문구,268987,212076,93768,40513,46237,14798,15165,336,25,110,72,119,27,64,125,211359,717,56911
서울특별시,마포구,320483,256992,117336,46547,52545,19059,19795,381,26,134,38,108,47,86,131,256233,759,63491
서울특별시,양천구,386393,310886,133853,60814,71816,22987,19309,422,32,194,60,121,61,88,183,309940,946,75507
서울특별시,강서구,501800,397108,175882,76601,88128,27544,26001,569,56,248,77,215,60,142,284,395807,1301,104692
서울특별시,구로구,350524,278805,121077,59194,61734,17147,17437,373,45,141,57,165,56,98,190,277714,1091,71719
서울특별시,금천구,204132,155010,67423,31106,36695,8835,9698,165,24,125,37,117,39,61,128,154453,557,49122
서울특별시,영등포구,316011,248833,105834,53615,53994,18122,15439,374,37,138,50,122,52,86,154,248017,816,67178
서울특별시,동작구,342434,276685,121722,54431,60305,20593,17781,384,25,145,40,133,42,81,146,275828,857,65749
서울특별시,관악구,446035,351240,159854,59914,79495,23857,25300,549,58,197,79,293,73,113,223,350005,1235,94795
서울특별시,서초구,362519,292916,106416,74891,63977,29231,16562,520,28,96,55,93,28,84,111,292092,824,69603
서울특별시,강남구,467032,365642,128927,97639,80201,36176,20287,714,39,121,80,97,49,101,163,364594,1048,101390
서울특별시,송파구,546867,441198,177328,98549,99018,37438,26064,657,32,166,68,156,79,151,221,439927,1271,105669
서울특별시,강동구,376431,297476,122511,65893,67499,21483,17965,446,29,168,54,123,56,88,196,296511,965,78955
