시도,구시군,선거인수,투표수,득표수_1_더불어민주당_이재명,득표수_2_국민의힘_김문수,득표수_4_개혁신당_이준석,득표수_5_민주노동당_권영국,득표수_8_무소속_송진호,득표수_계,무효투표수,기권수
전국,합계,44391871,35236497,17287513,14395639,2917523,344150,35791,34980616,255881,9155374
서울특별시,합계,8293885,6641606,3105459,2738405,655346,83900,5998,6589108,52498,1652279
서울특별시,종로구,125901,99261,47735,39574,9326,1754,89,98478,783,26640
서울특별시,중구,110181,87166,40482,36302,8450,1120,62,86416,750,23015
서울특별시,용산구,183614,143813,58705,67927,13794,2166,102,142694,1119,39801
서울특별시,성동구,244536,196282,88028,84043,20217,2300,187,194775,1507,48254
서울특별시,광진구,301007,239807,114304,94752,25469,2912,225,237662,2145,61200
서울특별시,동대문구,307846,246264,117631,97549,25928,2886,245,244239,2025,61582
서울특별시,중랑구,342360,267642,137420,102137,22923,2780,290,265550,2092,74718
서울특별시,성북구,374002,300299,152624,111271,29394,4461,246,297996,2303,73703
서울특별시,강북구,257971,198136,105780,72792,15575,2240,186,196573,1563,59835
서울특별시,도봉구,272942,216499,110614,84148,17568,2387,189,214906,1593,56443
서울특별시,노원구,430719,350440,176604,131061,35615,4201,345,347826,2614,80279
서울특별시,은평구,411789,326136,171417,118639,28163,4925,311,323455,2681,85653
서울특별시,서대문구,269110,216261,107451,81882,21264,3735,178,214510,1751,52849
서울특별시,마포구,321302,260533,125049,101016,26948,5053,219,258285,2248,60769
서울특별시,양천구,368029,299637,143686,122867,27234,3526,291,297604,2033,68392
서울특별시,강서구,493010,392879,196256,149837,38416,4704,411,389624,3255,100131
서울특별시,구로구,344220,278196,139034,108039,25433,3282,278,276066,2130,66024
서울특별시,금천구,206121,161132,83102,58686,15979,1775,175,159717,1415,44989
서울특별시,영등포구,335136,271596,123593,111861,29911,3607,231,269203,2393,63540
서울특별시,동작구,337985,275295,128028,111735,29432,3470,241,272906,2389,62690
서울특별시,관악구,446923,350839,171149,126951,43385,5231,433,347149,3690,96084
서울특별시,서초구,345855,280913,94722,153536,27500,3195,166,279119,1794,64942
서울특별시,강남구,472730,373762,119722,210177,37564,3738,205,371406,2356,98968
서울특별시,송파구,561654,458526,191678,212094,46194,4790,389,455145,3381,103128
서울특별시,강동구,428942,350292,160645,149529,33664,3662,304,347804,2488,78650
부산광역시,합계,2865552,2245755,895213,1146238,168473,18189,2099,2230212,15543,619797
부산광역시,중구,35284,26223,9784,14167,1861,184,26,26022,201,9061
부산광역시,서구,92886,71591,26800,38496,5081,583,72,71032,559,21295
부산광역시,동구,77893,59632,22744,31875,4061,429,66,59175,457,18261
부산광역시,영도구,93909,70342,29962,35217,4133,482,69,69863,479,23567
부산광역시,부산진구,325663,252934,101093,126802,20697,2156,245,250993,1941,72729
부산광역시,동래구,235338,189601,74245,97629,14656,1663,154,188347,1254,45737
부산광역시,남구,222856,176630,69214,91037,13662,1414,137,175464,1166,46226
