시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
경기도,합계,6777575,3024844,1744291,1075243,168357,2987891,36953,3752731
경기도,수원시장안구,233829,99253,59603,33422,5251,98276,977,134576
경기도,수원시권선구,225950,92598,55604,31178,4856,91638,960,133352
경기도,수원시팔달구,224122,88058,53550,29845,3859,87254,804,136064
경기도,성남시수정구,192566,78431,37715,34523,5176,77414,1017,114135
경기도,성남시중원구,199094,76103,36501,33577,4923,75001,1102,122991
경기도,성남시분당구,281390,135540,86423,44447,3846,134716,824,145850
경기도,의정부시,260157,110516,61852,40860,6429,109141,1375,149641
경기도,안양시만안구,191427,78621,44315,29802,3736,77853,768,112806
경기도,안양시동안구,224569,104102,60990,38365,3936,103291,811,120467
경기도,부천시원미구,275354,112168,60252,45344,5443,111039,1129,163186
경기도,부천시소사구,144482,58149,32070,22600,2815,57485,664,86333
경기도,부천시오정구,132565,45895,23447,19490,2385,45322,573,86670
경기도,광명시,240120,109572,63955,40497,4148,108600,972,130548
경기도,평택시,250606,120511,68398,37148,13015,118561,1950,130095
경기도,동두천시,54122,29600,17931,9684,1447,29062,538,24522
경기도,양주군,98797,49252,27911,17785,2753,48449,803,49545
경기도,안산시,407062,148725,78495,59482,9118,147095,1630,258337
경기도,고양시덕양구,262667,109883,62170,40888,5657,108715,1168,152784
경기도,고양시일산구,298300,125331,74810,44131,5436,124377,954,172969
경기도,과천시,48892,27753,15790,10401,1304,27495,258,21139
경기도,의왕시,86014,41993,24076,15537,1932,41545,448,44021
경기도,구리시,130366,56391,31973,21314,2533,55820,571,73975
경기도,남양주시,267359,116021,66832,41499,6190,114521,1500,151338
경기도,오산시,77816,37011,21109,12842,2513,36464,547,40805
경기도,화성시,160115,79223,47557,23837,6407,77801,1422,80892
경기도,시흥시,226255,85637,46732,33352,4609,84693,944,140618
경기도,군포시,186262,87627,48706,33922,4289,86917,710,98635
경기도,하남시,90732,44831,27413,15085,1777,44275,556,45901
경기도,파주시,166694,82234,49467,26113,5199,80779,1455,84460
경기도,이천시,129817,64100,40245,18538,4201,62984,1116,65717
경기도,용인시,335187,154700,93848,52478,6797,153123,1577,180487
경기도,안성시,104852,57425,33309,19038,3983,56330,1095,47427
경기도,김포시,131037,62190,36991,21136,3236,61363,827,68847
경기도,여주군,76295,40157,25703,11179,2549,39431,726,36138
경기도,광주시,114600,60943,36504,20953,2595,60052,891,53657
경기도,포천군,104685,59891,33018,19031,6443,58492,1399,44794
경기도,연천군,38309,25360,14043,8650,2160,24853,507,12949
경기도,양평군,62722,40123,27134,9283,2900,39317,806,22599
경기도,가평군,42387,28926,17849,7987,2511,28347,579,13461
