시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
강원도,합계,1190509,741724,326111,388443,0,714554,27170,448785
강원도,춘천시,206172,124839,47183,73858,0,121041,3798,81333
강원도,원주시,234095,133502,58889,70966,0,129855,3647,100593
강원도,강릉시,170703,99246,45759,50120,0,95879,3367,71457
강원도,동해시,73611,44933,21132,22150,0,43282,1651,28678
강원도,삼척시,58602,40390,17971,20511,0,38482,1908,18212
강원도,태백시,40415,26819,9958,15946,0,25904,915,13596
강원도,정선군,33811,24529,8311,15190,0,23501,1028,9282
강원도,속초시,64606,37582,19112,17209,0,36321,1261,27024
강원도,고성군,25324,18943,10352,7584,0,17936,1007,6381
강원도,양양군,23195,16946,8295,7722,0,16017,929,6249
강원도,인제군,24855,17700,8963,7858,0,16821,879,7155
강원도,홍천군,56113,35577,17713,16287,0,34000,1577,20536
강원도,횡성군,36396,24898,11645,12116,0,23761,1137,11498
강원도,영월군,33315,22245,7524,14026,0,21550,695,11070
강원도,평창군,35758,24417,7516,16145,0,23661,756,11341
강원도,화천군,19298,13436,6875,5796,0,12671,765,5862
강원도,양구군,16882,11911,6022,5317,0,11339,572,4971
강원도,철원군,37358,23811,12891,9642,0,22533,1278,13547
