시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
인천광역시,합계,2319198,1244502,615077,593555,22651,1231283,13219,1074696
인천광역시,중구,89767,48565,26324,20788,845,47957,608,41202
인천광역시,동구,61693,36534,19573,15605,711,35889,645,25159
인천광역시,남구,340427,174258,92490,76984,2854,172328,1930,166169
인천광역시,연수구,238453,136706,71942,61389,2154,135485,1221,101747
인천광역시,남동구,405404,215359,102688,106433,4308,213429,1930,190045
인천광역시,부평구,451971,237759,108912,121970,4670,235552,2207,214212
인천광역시,계양구,274659,143387,61275,78343,2562,142180,1207,131272
인천광역시,서구,380611,199733,98389,96162,3413,197964,1769,180878
인천광역시,강화군,58089,38611,24762,11854,815,37431,1180,19478
인천광역시,옹진군,18124,13590,8722,4027,319,13068,522,4534
