시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전라북도,합계,1431722,787135,63661,571650,0,131320,766631,20504,644587
전라북도,전주시완산구,231776,100204,8191,74023,0,15785,97999,2205,131572
전라북도,전주시덕진구,197458,79884,6453,59409,0,12470,78332,1552,117574
전라북도,군산시,197267,97041,5055,79646,0,10182,94883,2158,100226
전라북도,익산시,234964,112465,9121,84169,0,16164,109454,3011,122499
전라북도,정읍시,105973,66356,4358,48685,0,11592,64635,1721,39617
전라북도,남원시,75505,52567,3673,36854,0,10521,51048,1519,22938
전라북도,김제시,87628,58806,8025,40039,0,8971,57035,1771,28822
전라북도,완주군,65838,41700,3306,29454,0,7671,40431,1269,24138
전라북도,진안군,24876,19517,1905,11812,0,5194,18911,606,5359
전라북도,무주군,22378,17272,2063,11219,0,3507,16789,483,5106
전라북도,장수군,21340,16759,1508,10873,0,3840,16221,538,4581
전라북도,임실군,29320,23222,1732,13950,0,6923,22605,617,6098
전라북도,순창군,26502,21136,1643,14546,0,4374,20563,573,5366
전라북도,고창군,55217,41754,3156,30656,0,6819,40631,1123,13463
전라북도,부안군,55680,38452,3472,26315,0,7307,37094,1358,17228
