시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
강원도,합계,1160977,681633,471613,148302,48411,0,668326,13307,479344
강원도,춘천시,192644,104177,45125,36231,19333,0,100689,3488,88467
강원도,원주시,215770,106902,70598,31345,3718,0,105661,1241,108868
강원도,강릉시,171138,92512,74805,12467,3773,0,91045,1467,78626
강원도,동해시,74884,43269,36395,4903,1389,0,42687,582,31615
강원도,삼척시,57751,39784,31894,4897,2167,0,38958,826,17967
강원도,태백시,41345,27807,21005,4148,2245,0,27398,409,13538
강원도,정선군,35948,25156,18270,4982,1412,0,24664,492,10792
강원도,속초시,64750,34125,26288,6072,1297,0,33657,468,30625
강원도,고성군,25708,18721,14514,3010,792,0,18316,405,6987
강원도,양양군,23582,16899,13324,2584,655,0,16563,336,6683
강원도,인제군,25130,18235,12913,4059,828,0,17800,435,6895
강원도,홍천군,55429,33777,22544,7711,2811,0,33066,711,21652
강원도,횡성군,35200,24116,15734,4919,2981,0,23634,482,11084
강원도,영월군,33449,22727,16488,4950,911,0,22349,378,10722
강원도,평창군,36045,23370,16346,5629,1002,0,22977,393,12675
강원도,화천군,18404,13079,8852,2908,964,0,12724,355,5325
강원도,양구군,16454,12044,8379,2545,816,0,11740,304,4410
강원도,철원군,37346,24933,18139,4942,1317,0,24398,535,12413
