시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
충청남도,합계,1595587,901863,154723,367288,347265,0,869271,32587,693724
충청남도,천안시서북구,221580,104685,16178,44605,42683,0,103466,1219,116895
충청남도,천안시동남구,183142,89013,14851,36201,36603,0,87655,1358,94129
충청남도,공주시,99709,61209,6888,27856,24127,0,58871,2338,38500
충청남도,보령시,85687,53693,8829,18112,24168,0,51109,2584,31994
충청남도,아산시,195443,99872,18577,44329,34579,0,97485,2387,95571
충청남도,서산시,121199,66626,12333,24599,27427,0,64359,2267,54573
충청남도,태안군,52517,36024,6315,12754,14216,0,33285,2739,16493
충청남도,금산군,46562,28884,6328,11927,9118,0,27373,1511,17678
충청남도,연기군,64534,37808,4265,18037,14244,0,36546,1262,26726
충청남도,논산시,101953,61119,9207,36197,13700,0,59104,2015,40834
충청남도,계룡시,30047,19326,4762,9124,5071,0,18957,369,10721
충청남도,부여군,62144,41886,7878,14388,17462,0,39728,2158,20258
충청남도,서천군,50167,34167,5476,13936,12534,0,31946,2221,16000
충청남도,홍성군,70516,43145,9686,14404,17008,0,41093,2047,27371
충청남도,청양군,27528,20471,4168,6113,8891,0,19172,1299,7057
충청남도,예산군,71607,44102,8503,11182,21938,0,41623,2479,27505
충청남도,당진군,111252,59833,10479,23524,23496,0,57499,2334,51419
