시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전라북도,합계,1442805,856111,151064,569980,108886,0,829930,26181,586694
전라북도,전주시완산구,262926,140319,32656,86435,19326,0,138417,1902,122607
전라북도,전주시덕진구,210631,107769,22696,66511,17152,0,106359,1410,102862
전라북도,군산시,207328,113614,17270,81040,12250,0,110560,3054,93714
전라북도,익산시,234104,126680,23394,84786,14869,0,123049,3631,107424
전라북도,정읍시,96698,64655,8977,46746,6299,0,62022,2633,32043
전라북도,남원시,69420,47635,5343,35825,4767,0,45935,1700,21785
전라북도,김제시,78217,51879,8034,34695,6729,0,49458,2421,26338
전라북도,완주군,67270,41784,6653,26880,6856,0,40389,1395,25486
전라북도,진안군,23443,17962,2874,11212,3067,0,17153,809,5481
전라북도,무주군,21439,16739,2369,11135,2245,0,15749,990,4700
전라북도,장수군,19757,15503,2015,10571,2073,0,14659,844,4254
전라북도,임실군,26252,19575,3221,12914,2646,0,18781,794,6677
전라북도,순창군,25136,19663,2519,13066,3018,0,18603,1060,5473
전라북도,고창군,49998,36925,8421,22724,3990,0,35135,1790,13073
전라북도,부안군,50186,35409,4622,25440,3599,0,33661,1748,14777
