시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
충청북도,합계,1368779,692324,395517,284166,0,0,679683,12641,676455
충청북도,청주시상당구,163058,79612,45312,33296,0,0,78608,1004,83446
충청북도,청주시서원구,165453,80317,45411,33934,0,0,79345,972,85136
충청북도,청주시흥덕구,223618,98308,54369,42745,0,0,97114,1194,125310
충청북도,청주시청원구,160395,72662,39209,32455,0,0,71664,998,87733
충청북도,충주시,181044,89723,53640,34286,0,0,87926,1797,91321
충청북도,제천시,115563,62806,37865,23887,0,0,61752,1054,52757
충청북도,단양군,25692,17427,10779,6235,0,0,17014,413,8265
충청북도,영동군,41123,27150,16251,10070,0,0,26321,829,13973
충청북도,보은군,28963,19543,11692,7199,0,0,18891,652,9420
충청북도,옥천군,44686,28846,16235,11716,0,0,27951,895,15840
충청북도,음성군,81419,40618,22455,17249,0,0,39704,914,40801
충청북도,진천군,71725,34552,18044,15709,0,0,33753,799,37173
충청북도,괴산군,34674,23720,14932,8012,0,0,22944,776,10954
충청북도,증평군,31366,17040,9323,7373,0,0,16696,344,14326
