시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전국,합계,28676547,24095170,9977332,8041284,5431853,324940,23775409,319761,4581377
서울,합계,7235830,6021311,2167298,2246636,1456961,80882,5951777,69534,1214519
서울,종로구,158824,130419,41396,50226,34764,1884,128270,2149,28405
서울,중구,123335,101005,34093,41814,22368,1320,99595,1410,22330
서울,용산구,198704,161166,59755,57144,40041,2149,159089,2077,37538
서울,성동구갑,163359,135465,45506,56390,30017,1787,133700,1765,27894
서울,성동구을,161747,133569,42929,57027,29672,1869,131497,2072,28178
서울,성동구병,199297,165860,59044,59491,43291,2104,163930,1930,33437
서울,동대문구갑,162772,134238,47589,50420,32355,2095,132459,1779,28534
서울,동대문구을,158339,133425,47346,51951,30510,1782,131589,1836,24914
서울,중랑구갑,130838,109831,38079,42451,26466,1507,108503,1328,21007
서울,중랑구을,168351,140198,50862,50107,35618,1921,138508,1690,28153
서울,성북구갑,180212,147828,50951,56806,35773,2335,145865,1963,32384
서울,성북구을,180904,151254,49229,64262,33620,2213,149324,1930,29650
서울,도봉구갑,174638,145077,50891,53350,37404,1973,143618,1459,29561
서울,도봉구을,151416,126024,41437,52640,28536,1842,124455,1569,25392
서울,도봉구병,179365,149621,50928,59182,35537,2167,147814,1807,29744
서울,노원구갑,194692,161836,59164,58853,39814,2251,160082,1754,32856
서울,노원구을,169197,142898,54573,50800,34360,1835,141568,1330,26299
서울,은평구갑,155063,129539,43490,51496,31269,1780,128035,1504,25524
서울,은평구을,181544,150838,54123,54016,38709,2340,149188,1650,30706
서울,서대문구갑,131904,108934,38095,42600,25201,1675,107571,1363,22970
서울,서대문구을,136740,114630,38045,47688,25673,1704,113110,1520,22110
서울,마포구갑,137992,113569,40641,42785,26927,1776,112129,1440,24423
서울,마포구을,159755,132369,47353,48847,32637,2024,130861,1508,27386
서울,양천구갑,154020,129886,54001,41559,31582,1578,128720,1166,24134
서울,양천구을,166690,139568,46173,58247,31815,1663,137898,1670,27122
서울,강서구갑,137007,115421,42548,42770,27330,1535,114183,1238,21586
서울,강서구을,142915,118573,45658,39867,30218,1535,117278,1295,24342
서울,구로구갑,143696,120867,44863,41316,31252,1777,119208,1659,22829
서울,구로구을,170716,142253,48311,57250,33035,1956,140552,1701,28463
서울,구로구병,165661,136509,44193,59992,28496,1817,134498,2011,29152
서울,영등포구갑,132424,110546,41201,39597,26841,1576,109215,1331,21878
서울,영등포구을,170687,142631,52024,54728,32454,1861,141067,1564,28056
서울,동작구갑,146298,121667,45054,46019,27317,1841,120231,1436,24631
서울,동작구을,145372,121467,43669,49211,25636,1701,120217,1250,23905
서울,관악구갑,186493,157554,49278,72503,31596,2438,155815,1739,28939
서울,관악구을,207062,174491,57786,72998,38730,2948,172462,2029,32571
서울,서초구갑,134261,110796,47748,30736,30486,1006,109976,820,23465
서울,서초구을,136789,114066,46879,35179,29825,1195,113078,988,22723
서울,강남구갑,162261,132285,57666,34655,37555,1335,131211,1074,29976
서울,강남구을,185750,155675,68091,44365,40470,1606,154532,1143,30075
서울,송파구갑,214888,180127,72614,56420,47522,2032,178588,1539,34761
서울,송파구을,226041,187766,67223,69233,47382,2046,185884,1882,38275
서울,강동구갑,183337,153147,58504,50118,41344,1711,151677,1470,30190
서울,강동구을,164474,136423,48295,49527,35513,1392,134727,1696,28051
부산,합계,2506539,2135546,1551473,265055,273889,24972,2115389,20157,370993
부산,중구,52226,44449,32570,5236,5763,453,44022,427,7777
부산,서구,135456,114643,85151,12495,14561,1237,113444,1199,20813
부산,동구,119708,102568,75752,11416,13300,1144,101612,956,17140
부산,영도구,134771,112498,78295,17549,14355,1158,111357,1141,22273
부산,부산진구갑,166056,141685,101607,19478,17337,1857,140279,1406,24371
부산,부산진구을,162912,139900,103645,16686,16313,1801,138445,1455,23012
부산,동래구갑,212604,184118,135418,19305,25545,2281,182549,1569,28486
부산,동래구을,166892,143533,103941,17656,19031,1702,142330,1203,23359
부산,남구갑,171825,147781,108152,17600,19070,1700,146522,1259,24044
부산,남구을,184826,159245,116501,18106,21184,1986,157777,1468,25581
부산,북구갑,182338,154364,113250,19267,18704,1626,152847,1517,27974
부산,북구을,146305,123777,86469,21317,13308,1396,122490,1287,22528
부산,해운대구,177354,148733,104139,20140,21201,1895,147375,1358,28621
부산,사하구,234704,198354,145413,24394,24719,1979,196505,1849,36350
부산,금정구,205989,175474,125666,20758,25127,2318,173869,1605,30515
부산,강서구,52573,44424,35504,3652,4371,439,43966,458,8149
대구,합계,1458247,1172636,690245,90641,361782,15525,1158193,14443,285611
대구,중구,89437,72678,42989,5571,22077,1050,71687,991,16759
대구,동구갑,133853,107628,61370,8635,34674,1669,106348,1280,26225
대구,동구을,105213,83266,47351,6875,26712,1184,82122,1144,21947
대구,서구갑,128396,102958,60350,8135,32019,1273,101777,1181,25438
대구,서구을,113402,90878,54552,7010,26782,1228,89572,1306,22524
대구,남구,167138,134882,79591,10363,41473,1816,133243,1639,32256
대구,북구,208059,166394,99721,12637,49525,2303,164186,2208,41665
대구,수성구갑,129286,104935,61169,7836,33448,1340,103793,1142,24351
대구,수성구을,131555,107407,64513,8102,32447,1309,106371,1036,24148
대구,달서구갑,125238,100253,58654,7657,31414,1232,98957,1296,24985
대구,달서구을,126670,101357,59985,7820,31211,1121,100137,1220,25313
인천,합계,1321616,1081011,397361,338538,314067,16322,1066288,14723,240605
인천,중구,54864,45027,20657,10549,12541,674,44421,606,9837
인천,동구,76732,64421,26045,17906,18207,1237,63395,1026,12311
인천,남구갑,175797,146085,55932,41522,44411,2246,144111,1974,29712
인천,남구을,154479,127310,51019,34247,38111,2063,125440,1870,27169
인천,남동구,234360,193202,70782,57867,59255,2835,190739,2463,41158
인천,북구갑,219276,177489,62056,62188,48258,2706,175208,2281,41787
인천,북구을,241970,193863,64329,70436,53899,2565,191229,2634,48107
인천,서구,164138,133614,46541,43823,39385,1996,131745,1869,30524
광주,합계,745270,685797,14504,652337,11045,2714,680600,5197,59473
광주,동구,109408,100540,2323,95347,1745,439,99854,686,8868
광주,서구갑,121785,112162,2610,106354,2032,376,111372,790,9623
광주,서구을,156270,143591,2803,136988,2213,480,142484,1107,12679
광주,북구갑,116010,107166,2155,102160,1597,444,106356,810,8844
광주,북구을,129555,119074,2245,113842,1744,405,118236,838,10481
광주,광산구,112242,103264,2368,97646,1714,570,102298,966,8978
대전,합계,705227,582613,202137,165067,199133,8066,574403,8210,122614
대전,동구갑,113139,93535,32795,26253,31594,1388,92030,1505,19604
대전,동구을,84093,69301,23708,20382,23261,951,68302,999,14792
대전,중구,186049,153487,53310,42519,53642,2029,151500,1987,32562
대전,서구,163116,136599,47527,38846,46699,1773,134845,1754,26517
대전,유성구,43899,35497,12073,9988,12166,611,34838,659,8402
대전,대덕구,114931,94194,32724,27079,31771,1314,92888,1306,20737
경기,합계,4270726,3502774,1254025,1103498,1043795,50077,3451395,51379,767952
경기,수원시권선구갑,123870,100058,33307,30661,33096,1541,98605,1453,23812
경기,수원시권선구을,107561,86877,31000,24179,29592,1104,85875,1002,20684
경기,수원시장안구,209567,171635,60555,49140,56923,2379,168997,2638,37932
경기,성남시수정구,178863,149201,45415,64714,35264,1927,147320,1881,29662
경기,성남시중원구,176953,146577,44971,62339,35368,1821,144499,2078,30376
경기,성남시분당구,52014,44808,18505,13235,12210,496,44446,362,7206
경기,의정부시,153648,124973,47784,38376,35422,1745,123327,1646,28675
경기,안양시만안구,186746,152720,53118,53075,42577,2074,150844,1876,34026
경기,안양시동안구,156547,129084,46246,44660,35364,1551,127821,1263,27463
경기,부천시중구갑,118799,97463,31447,39209,24136,1351,96143,1320,21336
경기,부천시중구을,108790,87968,28206,34041,23314,1158,86719,1249,20822
경기,부천시남구,211134,174142,59234,63426,47059,2420,172139,2003,36992
경기,광명시,219883,181203,62678,67626,46150,2405,178859,2344,38680
경기,평택시,56764,46189,17247,12287,15294,667,45495,694,10575
경기,송탄시,60407,47964,17593,13118,15827,772,47310,654,12443
경기,동두천시,46624,39261,16152,11051,10800,568,38571,690,7363
경기,양주군,57815,48140,20563,12284,13661,707,47215,925,9675
경기,안산시,223224,177138,54784,66853,50960,2200,174797,2341,46086
경기,옹진군,13777,11529,6546,1748,2723,186,11203,326,2248
경기,과천시,48432,40109,16268,11419,11580,531,39798,311,8323
경기,의왕시,62852,51414,18061,17304,14724,709,50798,616,11438
경기,군포시,81625,67624,23934,24451,17619,915,66919,705,14001
경기,시흥시,83180,66992,23245,22943,18891,905,65984,1008,16188
경기,구리시,81308,66025,24189,21060,18972,869,65090,935,15283
경기,미금시,48150,39177,14692,11210,12121,586,38609,568,8973
경기,남양주군,91011,72636,27795,19024,23489,1062,71370,1266,18375
경기,여주군,62382,51498,18634,12503,18341,1032,50510,988,10884
경기,평택군,74045,61219,20568,17546,21013,958,60085,1134,12826
경기,오산시,38218,31875,11655,8845,10438,523,31461,414,6343
경기,화성군,121026,97943,36123,26255,32031,1632,96041,1902,23083
경기,파주군,110648,93086,41044,20891,28141,1446,91522,1564,17562
경기,고양시,175041,139413,49693,43370,42298,2069,137430,1983,35628
경기,하남시,61435,49379,17258,15888,14906,634,48686,693,12056
경기,광주군,53593,43616,15272,11225,15720,584,42801,815,9977
경기,포천군,77947,66257,29127,13844,20769,1147,64887,1370,11690
경기,연천군,37156,31980,14049,7914,8830,515,31308,672,5176
경기,양평군,52252,42941,17740,8356,15074,857,42027,914,9311
경기,가평군,35877,30597,12598,5891,10843,542,29874,723,5280
경기,이천군,93361,78302,27852,15266,32699,1236,77053,1249,15059
경기,용인군,116272,95175,34577,25552,31819,1635,93583,1592,21097
경기,안성군,78926,66090,25018,16937,21774,1079,64808,1282,12836
경기,김포군,73516,60479,21079,14938,22532,908,59457,1022,13037
경기,강화군,49487,42017,18203,8844,13431,631,41109,908,7470
강원,합계,990821,834891,340528,127265,338856,13606,820255,14636,155930
강원,춘천시,116432,99443,36945,15291,44224,1601,98061,1382,16989
강원,원주시,109251,93044,33822,15798,40772,1411,91803,1241,16207
