지역,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수,선거종류,선거년도
전국,28676547,24095170,9977332,8041284,5756793,23775409,319761,4581377,대통령,1992
서울,7235830,6021311,2167298,2246636,1537843,5951777,69534,1214519,대통령,1992
부산,2506539,2135546,1551473,265055,298861,2115389,20157,370993,대통령,1992
대구,1458247,1172636,690245,90641,377307,1158193,14443,285611,대통령,1992
인천,1321616,1081011,397361,338538,330389,1066288,14723,240605,대통령,1992
광주,745270,685797,14504,652337,13759,680600,5197,59473,대통령,1992
대전,705227,582613,202137,165067,207199,574403,8210,122614,대통령,1992
경기,4270726,3502774,1254025,1103498,1093872,3451395,51379,767952,대통령,1992
강원,990821,834891,340528,127265,352462,820255,14636,155930,대통령,1992
충북,894837,750483,281678,191743,262750,736171,14312,144354,대통령,1992
충남,1191541,973070,351789,271921,328744,952454,20616,218471,대통령,1992
전북,1276931,1126597,63175,991483,57692,1112350,14247,150334,대통령,1992
전남,1445165,1285110,53360,1170398,46265,1270023,15087,160055,대통령,1992
경북,1876635,1559478,991424,147440,392773,1531637,27841,317157,대통령,1992
경남,2437338,2118601,1514043,193373,386174,2093590,25011,318737,대통령,1992
제주,319824,265252,104292,85889,70703,260884,4368,54572,대통령,1992
전국,32290416,26042633,9935718,10326275,5380445,25642438,400195,6247783,대통령,1997
서울,7358547,5926743,2394309,2627308,833156,5854773,71970,1431804,대통령,1997
부산,2692311,2124010,1117069,320178,657159,2094406,29604,568301,대통령,1997
대구,1707338,1347018,965607,166576,196905,1329088,17930,360320,대통령,1997
인천,1639655,1311512,470560,497839,324212,1292611,18901,328143,대통령,1997
광주,870554,783025,13294,754159,7746,775199,7826,87529,대통령,1997
대전,881474,692821,199266,307493,176134,682893,9928,188653,대통령,1997
울산,654125,530459,268998,80751,174014,523763,6696,123666,대통령,1997
경기,5707087,4600005,1612108,1781577,1141839,4535524,64481,1107082,대통령,1997
강원,1077853,846596,358921,197438,274584,830943,15653,231257,대통령,1997
충북,1015921,805496,243210,295666,250940,789816,15680,210425,대통령,1997
충남,1330627,1023990,235457,483093,282648,1001198,22792,306637,대통령,1997
전북,1391537,1190190,53114,1078957,37118,1169189,21001,201347,대통령,1997
전남,1519292,1325731,41534,1231726,28576,1301836,23895,193561,대통령,1997
경북,1988379,1574454,953360,210403,375845,1539608,34846,413925,대통령,1997
경남,2094036,1681584,908808,182102,557104,1648014,33570,412452,대통령,1997
제주,361680,278999,100103,111009,62465,273577,5422,82681,대통령,1997
전국,34991529,24784963,11443297,12014277,1104342,24561916,223047,10206566,대통령,2002
서울,7670682,5475715,2447376,2792957,203657,5443990,31725,2194967,대통령,2002
부산,2786142,1983492,1314274,587946,66873,1969093,14399,802650,대통령,2002
대구,1827162,1299968,1002164,240745,46000,1288909,11059,527194,대통령,2002
인천,1824905,1236447,547205,611766,68845,1227816,8631,588458,대통령,2002
광주,967222,755398,26869,715182,9365,751416,3982,211824,대통령,2002
대전,998541,675029,266760,369046,34040,669846,5183,323512,대통령,2002
울산,729645,510496,267737,178584,60001,506322,4174,219149,대통령,2002
경기,6944934,4831412,2120191,2430193,247622,4798006,33406,2113522,대통령,2002
강원,1131168,773560,400405,316722,45810,762937,10623,357608,대통령,2002
충북,1079642,734385,311044,365623,48495,725162,9223,345257,대통령,2002
충남,1398762,922882,375110,474531,60177,909818,13064,475880,대통령,2002
전북,1427135,1064744,65334,966053,23413,1054800,9944,362391,대통령,2002
전남,1521109,1161511,53074,1070506,22740,1146320,15191,359598,대통령,2002
경북,2044285,1463664,1056446,311358,70134,1437938,25726,580621,대통령,2002
경남,2249044,1628033,1083564,434642,86538,1604744,23289,621011,대통령,2002
제주,391151,268227,105744,148423,10632,264799,3428,122924,대통령,2002
전국,37653518,23732854,11492389,6174681,5945810,23612880,119974,13920664,대통령,2007
서울,8051696,5066022,2689162,1237812,1124395,5051369,14653,2985674,대통령,2007
부산,2843063,1765231,1018715,236708,503829,1759252,5979,1077832,대통령,2007
대구,1896866,1267969,876719,75932,311027,1263678,4291,628897,대통령,2007
인천,2005874,1210220,593283,286565,325509,1205357,4863,795654,대통령,2007
광주,1031333,663338,56875,527588,77089,661552,1786,367995,대통령,2007
대전,1098977,680264,246008,159700,272240,677948,2316,418713,대통령,2007
울산,806423,521216,279891,70736,167959,518586,2630,285207,대통령,2007
경기,8222124,5035641,2603443,1181936,1232028,5017407,18234,3186483,대통령,2007
강원,1164655,728895,376004,136668,210831,723503,5392,435760,대통령,2007
충북,1146102,702593,289499,165637,240960,696096,6497,443509,대통령,2007
충남,1532751,924039,313693,192999,408813,915505,8534,608712,대통령,2007
전북,1425056,957575,86149,777236,89067,952452,5123,467481,대통령,2007
전남,1500831,971461,88834,757309,116708,962851,8610,529370,대통령,2007
경북,2097394,1437209,1033957,96822,293693,1424472,12737,660185,대통령,2007
경남,2416351,1549070,843662,189463,500205,1533330,15740,867281,대통령,2007
제주,414022,252111,96495,81570,71457,249522,2589,161911,대통령,2007
전국,40507842,30721459,15773128,14692632,128861,30594621,126838,9786383,대통령,2012
서울,8393847,6307869,3024572,3227639,24488,6276699,31170,2085978,대통령,2012
부산,2911700,2219699,1324159,882511,6735,2213405,6294,692001,대통령,2012
대구,1990746,1585806,1267789,309034,5017,1581840,3966,404940,대통령,2012
인천,2241366,1657821,852600,794213,6153,1652966,4855,583545,대통령,2012
광주,1117781,898416,69574,823737,2275,895586,2830,219365,대통령,2012
대전,1182321,904367,450576,448310,2992,901878,2489,277954,대통령,2012
울산,886061,694938,413977,275451,3005,692433,2505,191123,대통령,2012
세종,87707,64990,33587,30787,323,64697,293,22717,대통령,2012
경기,9364077,7018577,3528915,3442084,25724,6996723,21854,2345500,대통령,2012
강원,1235647,911988,562876,340870,4508,908254,3734,323659,대통령,2012
충북,1234832,925778,518442,398907,4704,922053,3725,309054,대통령,2012
충남,1601751,1168095,658928,497630,6378,1162936,5159,433656,대통령,2012
전북,1483402,1142133,150315,980322,5938,1136575,5558,341269,대통령,2012
전남,1530012,1171210,116296,1038347,8316,1162959,8251,358802,대통령,2012
경북,2185987,1710122,1375164,316659,9688,1701511,8611,475865,대통령,2012
경남,2608874,2008683,1259174,724896,10701,1994771,13912,600191,대통령,2012
제주,451731,330967,166184,161235,1916,329335,1632,120764,대통령,2012
전국,42479710,32807908,7852849,13423800,11395526,32672175,135733,9671802,대통령,2017
서울,8382999,6590646,1365285,2781345,2422287,6568917,21729,1792353,대통령,2017
부산,2950224,2261633,720484,872127,660098,2252709,8924,688591,대통령,2017
대구,2043276,1581347,714205,342620,517551,1574376,6971,461929,대통령,2017
인천,2409031,1820091,379191,747090,686682,1812963,7128,588940,대통령,2017
광주,1166901,957321,14882,583847,356103,954832,2489,209580,대통령,2017
대전,1220602,945897,191376,404545,346380,942301,3596,274705,대통령,2017
울산,941093,744960,203602,282794,254966,741362,3598,196133,대통령,2017
세종,189421,152801,23211,77767,51259,152237,564,36620,대통령,2017
경기,10262309,7916009,1637345,3319812,2930488,7887645,28364,2346300,대통령,2017
강원,1287173,955885,284909,324768,340959,950636,5249,331288,대통령,2017
충북,1303688,975441,255502,374806,340251,970559,4882,328247,대통령,2017
충남,1711912,1240204,306614,476661,450671,1233946,6258,471708,대통령,2017
전북,1525626,1205794,40231,778747,382025,1201003,4791,319832,대통령,2017
전남,1572838,1238738,30221,737921,464270,1232412,6326,334100,대통령,2017
경북,2249984,1711627,827237,369726,504263,1701226,10401,538357,대통령,2017
경남,2744633,2135055,790491,779731,552417,2122639,12416,609578,대통령,2017
제주,518000,374459,68063,169493,134856,372412,2047,143541,대통령,2017
전국,44197692,34067853,16394815,16147738,1217758,33760311,307542,10129839,대통령,2022
서울,8346647,6501831,3255747,2944981,238411,6439139,62692,1844816,대통령,2022
부산,2921510,2200224,1270072,831896,78210,2180178,20046,721286,대통령,2022
대구,2046714,1611512,1199888,345045,51873,1596806,14706,435202,대통령,2022
인천,2519225,1883504,878560,913320,75174,1867054,16450,635721,대통령,2022
광주,1209206,985492,124511,830058,24032,978601,6891,223714,대통령,2022
대전,1233177,945308,464060,434950,37391,936401,8907,287869,대통령,2022
울산,942210,735461,396321,297134,34935,728390,7071,206749,대통령,2022
세종,288895,231832,101491,119349,9051,229891,1941,57063,대통령,2022
경기,11433288,8763727,3965341,4428151,297884,8691376,72351,2669561,대통령,2022
강원,1333621,1015458,544980,419644,41216,1005840,9618,318163,대통령,2022
충북,1365033,1020649,511921,455853,42435,1010209,10440,344384,대통령,2022
충남,1796474,1324660,670283,589991,51839,1312113,12547,471814,대통령,2022
전북,1533125,1235212,176809,1016863,31747,1225419,9793,297913,대통령,2022
전남,1581278,1282168,145549,1094872,31195,1271616,10552,299110,대통령,2022
경북,2273028,1774284,1278922,418371,60403,1757696,16588,498744,대통령,2022
경남,2809907,2146882,1237346,794130,92868,2124344,22538,663025,대통령,2022
제주,564354,409649,173014,213130,19094,405238,4411,154705,대통령,2022
전국,44391871,35236497,14395639,17287513,3297464,34980616,255881,9155374,대통령,2025
서울,8293885,6641606,2738405,3105459,745244,6589108,52498,1652279,대통령,2025
부산,2865552,2245755,1146238,895213,188761,2230212,15543,619797,대통령,2025
대구,2049078,1643051,1103913,379130,149269,1632312,10739,406027,대통령,2025
인천,2619348,2035355,776952,1044295,199580,2020827,14528,583993,대통령,2025
광주,1194471,1002149,79937,844682,71805,996424,5725,192322,대통령,2025
대전,1241882,977609,393549,470321,105738,969608,8001,264273,대통령,2025
울산,934509,747950,353180,315820,73375,742375,5575,186559,대통령,2025
