지역,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수,선거종류,선거년도
서울,7665343,3510898,1819057,1496754,163294,3479105,31793,4154445,광역단체장,2002
부산,2784721,1163040,729589,221938,192594,1144121,18919,1621681,광역단체장,2002
대구,1814278,751994,452943,0,287396,740339,11655,1062284,광역단체장,2002
인천,1809907,711602,393932,225210,82111,701253,10349,1098305,광역단체장,2002
광주,954481,403821,43695,185938,167515,397148,6673,550660,광역단체장,2002
대전,987180,417809,191832,0,219651,411483,6326,569371,광역단체장,2002
울산,722806,378121,197772,0,174875,372647,5474,344685,광역단체장,2002
경기,6777575,3024844,1744291,1075243,168357,2987891,36953,3752731,광역단체장,2002
강원,1129859,671242,468987,190451,0,659438,11804,458617,광역단체장,2002
충북,1076451,600550,343546,0,242712,586258,14292,475901,광역단체장,2002
충남,1397105,785742,251005,0,508796,759801,25941,611363,광역단체장,2002
전북,1431722,787135,63661,571650,131320,766631,20504,644587,광역단체장,2002
전남,1533059,1006148,51504,563545,360484,975533,30615,526911,광역단체장,2002
경북,2044215,1234095,1028080,0,174472,1202552,31543,810120,광역단체장,2002
경남,2227548,1259142,920706,208641,106367,1235714,23428,968406,광역단체장,2002
제주,387982,267479,119502,135283,8373,263158,4321,120503,광역단체장,2002
서울,7983648,3977842,2409760,1077890,459176,3946826,31016,4005806,광역단체장,2006
부산,2845104,1378618,895214,329470,141061,1365745,12873,1466486,광역단체장,2006
대구,1885043,915060,636057,191131,79493,906681,8379,969983,광역단체장,2006
인천,1940403,859506,526932,200650,123237,850819,8687,1080897,광역단체장,2006
광주,1014620,469316,18461,157756,288501,464718,4598,545304,광역단체장,2006
대전,1077468,532568,231489,217273,79279,528041,4527,544900,광역단체장,2006
울산,790289,417200,261361,47579,104384,413324,3876,373089,광역단체장,2006
경기,7918828,3695552,2181677,1124317,349515,3655509,40043,4223276,광역단체장,2006
강원,1160977,681633,471613,148302,48411,668326,13307,479344,광역단체장,2006
충북,1126282,616053,361157,185426,58741,605324,10729,510229,광역단체장,2006
충남,1503240,838462,379420,178169,261671,819260,19202,664778,광역단체장,2006
전북,1429632,827387,62922,389436,357563,809921,17466,602245,광역단체장,2006
전남,1513912,973820,55444,181756,709596,946796,27024,540092,광역단체장,2006
경북,2087709,1284342,961363,290358,0,1251721,32621,803367,광역단체장,2006
경남,2375265,1373815,852377,343137,154729,1350243,23572,1001450,광역단체장,2006
제주,411862,277003,112774,44334,117244,274352,2651,134859,광역단체장,2006
서울,8211461,4426182,2086127,2059715,251830,4397672,28510,3785279,광역단체장,2010
부산,2849895,1410126,770507,619565,0,1390072,20054,1439769,광역단체장,2010
대구,1928835,886035,633118,146458,88599,868175,17860,1042800,광역단체장,2010
인천,2096853,1067431,469040,556902,30838,1056780,10651,1029422,광역단체장,2010
광주,1064913,529901,74490,297003,151990,523483,6418,535012,광역단체장,2010
대전,1127547,596683,168616,137751,285196,591563,5120,530864,광역단체장,2010
울산,838805,462103,279421,0,176693,456114,5989,376702,광역단체장,2010
경기,8761840,4534771,2271492,0,2079892,4351384,183387,4227069,광역단체장,2010
강원,1190509,741724,326111,388443,0,714554,27170,448785,광역단체장,2010
충북,1183811,696393,313646,349913,19551,683110,13283,487418,광역단체장,2010
충남,1595587,901863,154723,367288,347265,869271,32587,693724,광역단체장,2010
전북,1442805,856111,151064,569980,108886,829930,26181,586694,광역단체장,2010
전남,1504902,967338,123548,629984,168801,922333,45005,537564,광역단체장,2010
경북,2122905,1260591,913812,143347,155361,1212520,48071,862314,광역단체장,2010
경남,2506393,1549690,705986,0,812336,1518322,31368,956703,광역단체장,2010
제주,424098,276056,0,48186,218947,267133,8923,148042,광역단체장,2010
서울,8441594,4948897,2109869,2752171,41241,4903281,45616,3492697,광역단체장,2014
부산,2932179,1629167,797926,0,777225,1575151,54016,1303012,광역단체장,2014
대구,2012579,1052638,581175,418891,38553,1038619,14019,959941,광역단체장,2014
인천,2319198,1244502,615077,593555,22651,1231283,13219,1074696,광역단체장,2014
광주,1138418,650008,21614,367203,245900,634717,15291,488410,광역단체장,2014
대전,1207972,652671,301389,322762,20355,644506,8165,555301,광역단체장,2014
울산,912325,511881,306311,0,161843,468154,43727,400444,광역단체장,2014
세종,101559,63629,26451,36203,0,62654,975,37930,광역단체장,2014
경기,9679317,5156691,2524981,2481824,0,5006805,149886,4522626,광역단체장,2014
강원,1255469,781359,369201,381338,15774,766313,15046,474110,광역단체장,2014
충북,1261119,741049,346152,361115,18590,725857,15192,520070,광역단체장,2014
충남,1644554,916206,392315,465994,34204,892513,23693,728348,광역단체장,2014
전북,1503242,900029,177172,599654,89337,866163,33866,603213,광역단체장,2014
전남,1549440,1015688,92549,755233,120868,968650,47038,533752,광역단체장,2014
경북,2211734,1314925,986989,189603,93067,1269659,45266,896809,광역단체장,2014
경남,2658347,1589673,913162,559367,79015,1551544,38129,1068674,광역단체장,2014
제주,467182,293323,172793,99493,15846,288132,5191,173859,광역단체장,2014
서울,8380947,5019098,1158487,2619497,1183888,4961872,57226,3361849,광역단체장,2018
부산,2939046,1727684,632806,940469,129521,1702796,24888,1211362,광역단체장,2018
대구,2047286,1172279,619165,458112,74955,1152232,20047,875007,광역단체장,2018
인천,2440779,1349084,470937,766186,91526,1328649,20435,1091695,광역단체장,2018
광주,1172429,694252,34487,573995,74228,682710,11542,478177,광역단체장,2018
대전,1219513,706983,224306,393354,79622,697282,9701,512530,광역단체장,2018
울산,942550,610698,240475,317341,42210,600026,10672,331852,광역단체장,2018
세종,222852,137603,24546,96896,14444,135886,1717,85249,광역단체장,2018
경기,10533027,6084955,2122433,3370621,482473,5975527,109428,4448072,광역단체장,2018
강원,1296196,819193,282456,518447,0,800903,18290,477003,광역단체장,2018
충북,1318186,782316,227371,468750,70330,766451,15865,535870,광역단체장,2018
충남,1740413,1011447,345577,615870,23012,984459,26988,728966,광역단체장,2018
전북,1527729,996504,26374,682042,258051,966467,30037,531225,광역단체장,2018
전남,1577224,1092107,40287,807902,199816,1048005,44102,485117,광역단체장,2018
경북,2251538,1457539,732785,482564,190659,1406008,51531,793999,광역단체장,2018
경남,2765485,1819391,765809,941491,75418,1782718,36673,946094,광역단체장,2018
제주,532515,350943,11241,137901,195462,344604,6339,181572,광역단체장,2018
서울,8378339,4455161,2608277,1733183,75459,4416919,38242,3923178,광역단체장,2022
부산,2916832,1432194,938601,455901,19733,1414235,17959,1484638,광역단체장,2022
대구,2044579,883141,685159,156429,28446,870034,13107,1161438,광역단체장,2022
인천,2534338,1240469,634250,545885,45000,1225135,15334,1293869,광역단체장,2022
