지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
부산,합계,2002,광역단체장,보수정당,진보정당,1,0.6377,2,0.194,1,1,1,0,2784721,1163040,729589,221938,192594,0,1144121,18919,1621681
부산,중구,2002,광역단체장,보수정당,진보정당,1,0.6755,2,0.1741,1,1,1,0,45490,23688,15669,4039,3487,0,23195,493,21802
부산,서구,2002,광역단체장,보수정당,진보정당,1,0.6764,2,0.1813,1,1,1,0,116858,47313,31336,8397,6594,0,46327,986,69545
부산,동구,2002,광역단체장,보수정당,진보정당,1,0.6799,2,0.1778,1,1,1,0,97322,44749,29853,7808,6247,0,43908,841,52573
부산,영도구,2002,광역단체장,보수정당,진보정당,1,0.6402,2,0.2131,1,1,1,0,136484,59273,37299,12417,8545,0,58261,1012,77211
부산,부산진구,2002,광역단체장,보수정당,진보정당,1,0.6378,2,0.192,1,1,1,0,320729,152469,95573,28774,25497,0,149844,2625,168260
부산,동래구,2002,광역단체장,보수정당,그외정당,1,0.6572,3,0.173,1,1,1,0,219090,92495,59940,15482,15783,0,91205,1290,126595
부산,남구,2002,광역단체장,보수정당,진보정당,1,0.6449,2,0.1819,1,1,1,0,230494,99050,62976,17767,16906,0,97649,1401,131444
부산,북구,2002,광역단체장,보수정당,진보정당,1,0.6039,2,0.2225,1,1,1,0,221411,82584,49151,18109,14128,0,81388,1196,138827
부산,해운대구,2002,광역단체장,보수정당,진보정당,1,0.6132,2,0.1982,1,1,1,0,289845,114749,69300,22401,21305,0,113006,1743,175096
부산,기장군,2002,광역단체장,보수정당,진보정당,1,0.6427,2,0.1792,1,1,1,0,56539,32048,20143,5616,5583,0,31342,706,24491
부산,사하구,2002,광역단체장,보수정당,진보정당,1,0.6148,2,0.2086,1,1,1,0,275353,104067,63040,21389,18115,0,102544,1523,171286
부산,금정구,2002,광역단체장,보수정당,그외정당,1,0.6479,3,0.1806,1,1,1,0,208840,80821,51478,13631,14349,0,79458,1363,128019
부산,강서구,2002,광역단체장,보수정당,진보정당,1,0.6125,2,0.2651,1,1,1,0,45968,26250,15721,6805,3141,0,25667,583,19718
부산,연제구,2002,광역단체장,보수정당,진보정당,1,0.6413,2,0.1833,1,1,1,0,169846,75725,47827,13670,13087,0,74584,1141,94121
부산,수영구,2002,광역단체장,보수정당,진보정당,1,0.6613,2,0.1844,1,1,1,0,137472,52419,34153,9523,7972,0,51648,771,85053
부산,사상구,2002,광역단체장,보수정당,진보정당,1,0.6226,2,0.2174,1,1,1,0,212980,75340,46130,16110,11855,0,74095,1245,137640
