지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
충남,합계,2002,광역단체장,그외정당,보수정당,3,0.6696,1,0.3304,1,0,1,0,1397105,785742,251005,0,508796,0,759801,25941,611363
충남,천안시,2002,광역단체장,그외정당,보수정당,3,0.6081,1,0.3919,1,0,1,0,299432,126601,48169,0,74741,0,122910,3691,172831
충남,공주시,2002,광역단체장,그외정당,보수정당,3,0.784,1,0.216,1,0,1,0,98876,63126,13237,0,48033,0,61270,1856,35750
충남,보령시,2002,광역단체장,그외정당,보수정당,3,0.7353,1,0.2647,1,0,1,0,85349,54816,14094,0,39142,0,53236,1580,30533
충남,아산시,2002,광역단체장,그외정당,보수정당,3,0.6621,1,0.3379,1,0,1,0,135721,67878,22147,0,43398,0,65545,2333,67843
충남,금산군,2002,광역단체장,그외정당,보수정당,3,0.7389,1,0.2611,1,0,1,0,48654,31078,7740,0,21909,0,29649,1429,17576
충남,연기군,2002,광역단체장,그외정당,보수정당,3,0.7225,1,0.2775,1,0,1,0,60903,36324,9793,0,25493,0,35286,1038,24579
충남,논산시,2002,광역단체장,그외정당,보수정당,3,0.7445,1,0.2555,1,0,1,0,122118,60890,15016,0,43755,0,58771,2119,61228
충남,부여군,2002,광역단체장,그외정당,보수정당,3,0.7966,1,0.2034,1,0,1,0,68327,46428,9130,0,35761,0,44891,1537,21899
충남,서천군,2002,광역단체장,그외정당,보수정당,3,0.7061,1,0.2939,1,0,1,0,55805,37802,10536,0,25308,0,35844,1958,18003
충남,홍성군,2002,광역단체장,그외정당,보수정당,3,0.6303,1,0.3697,1,0,1,0,69735,44988,15993,0,27266,0,43259,1729,24747
충남,청양군,2002,광역단체장,그외정당,보수정당,3,0.7443,1,0.2557,1,0,1,0,30631,22842,5676,0,16521,0,22197,645,7789
충남,예산군,2002,광역단체장,그외정당,보수정당,3,0.5041,1,0.4959,1,0,1,0,75093,44201,21359,0,21708,0,43067,1134,30892
충남,서산시,2002,광역단체장,그외정당,보수정당,3,0.57,1,0.43,1,0,1,0,106635,58756,24492,0,32469,0,56961,1795,47879
충남,태안군,2002,광역단체장,그외정당,보수정당,3,0.5579,1,0.4421,1,0,1,0,51119,34711,14792,0,18664,0,33456,1255,16408
충남,당진군,2002,광역단체장,그외정당,보수정당,3,0.6477,1,0.3523,1,0,1,0,88707,55301,18831,0,34628,0,53459,1842,33406
