지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
강원,합계,2002,광역단체장,보수정당,진보정당,1,0.7112,2,0.2888,1,1,0,0,1129859,671242,468987,190451,0,0,659438,11804,458617
강원,춘천시,2002,광역단체장,보수정당,진보정당,1,0.5589,2,0.4411,1,1,0,0,181938,95277,52497,41426,0,0,93923,1354,86661
강원,원주시,2002,광역단체장,보수정당,진보정당,1,0.6546,2,0.3454,1,1,0,0,194677,97205,62405,32931,0,0,95336,1869,97472
강원,강릉시,2002,광역단체장,보수정당,진보정당,1,0.8048,2,0.1952,1,1,0,0,169090,91290,72430,17571,0,0,90001,1289,77800
강원,동해시,2002,광역단체장,보수정당,진보정당,1,0.8541,2,0.1459,1,1,0,0,74930,42530,35744,6107,0,0,41851,679,32400
강원,삼척시,2002,광역단체장,보수정당,진보정당,1,0.8151,2,0.1849,1,1,0,0,59541,41665,33307,7553,0,0,40860,805,17876
강원,태백시,2002,광역단체장,보수정당,진보정당,1,0.8008,2,0.1992,1,1,0,0,41864,25876,20400,5075,0,0,25475,401,15988
강원,정선군,2002,광역단체장,보수정당,진보정당,1,0.7688,2,0.2312,1,1,0,0,37031,26016,19524,5873,0,0,25397,619,11015
강원,속초시,2002,광역단체장,보수정당,진보정당,1,0.7437,2,0.2563,1,1,0,0,64193,36439,26621,9175,0,0,35796,643,27754
강원,고성군,2002,광역단체장,보수정당,진보정당,1,0.7623,2,0.2377,1,1,0,0,26309,19349,14401,4490,0,0,18891,458,6960
강원,양양군,2002,광역단체장,보수정당,진보정당,1,0.7645,2,0.2355,1,1,0,0,23171,17835,13285,4093,0,0,17378,457,5336
강원,인제군,2002,광역단체장,보수정당,진보정당,1,0.669,2,0.331,1,1,0,0,23767,17621,11571,5726,0,0,17297,324,6146
강원,홍천군,2002,광역단체장,보수정당,진보정당,1,0.618,2,0.382,1,1,0,0,54536,34941,21183,13092,0,0,34275,666,19595
강원,횡성군,2002,광역단체장,보수정당,진보정당,1,0.607,2,0.393,1,1,0,0,34890,24341,14535,9411,0,0,23946,395,10549
강원,영월군,2002,광역단체장,보수정당,진보정당,1,0.7563,2,0.2437,1,1,0,0,36015,24223,18007,5803,0,0,23810,413,11792
강원,평창군,2002,광역단체장,보수정당,진보정당,1,0.7654,2,0.2346,1,1,0,0,35201,24566,18469,5662,0,0,24131,435,10635
강원,화천군,2002,광역단체장,보수정당,진보정당,1,0.6477,2,0.3523,1,1,0,0,18356,13745,8754,4762,0,0,13516,229,4611
강원,양구군,2002,광역단체장,보수정당,진보정당,1,0.6488,2,0.3512,1,1,0,0,16725,12306,7814,4229,0,0,12043,263,4419
강원,철원군,2002,광역단체장,보수정당,진보정당,1,0.7071,2,0.2929,1,1,0,0,37625,26017,18040,7472,0,0,25512,505,11608
