지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
경북,합계,2002,광역단체장,보수정당,무소속,1,0.8549,3,0.1451,1,0,0,1,2044215,1234095,1028080,0,0,174472,1202552,31543,810120
경북,포항시북구,2002,광역단체장,보수정당,무소속,1,0.8763,3,0.1237,1,0,0,1,178954,95784,82300,0,0,11615,93915,1869,83170
경북,포항시남구,2002,광역단체장,보수정당,무소속,1,0.8635,3,0.1365,1,0,0,1,186347,97807,82806,0,0,13093,95899,1908,88540
경북,울릉군,2002,광역단체장,보수정당,무소속,1,0.8592,3,0.1408,1,0,0,1,7630,6638,5598,0,0,917,6515,123,992
경북,경주시,2002,광역단체장,보수정당,무소속,1,0.8769,3,0.1231,1,0,0,1,210873,125634,107442,0,0,15084,122526,3108,85239
경북,김천시,2002,광역단체장,보수정당,무소속,1,0.8601,3,0.1399,1,0,0,1,110853,71347,59870,0,0,9741,69611,1736,39506
경북,안동시,2002,광역단체장,보수정당,무소속,1,0.845,3,0.155,1,0,0,1,136401,91196,74904,0,0,13742,88646,2550,45205
경북,구미시,2002,광역단체장,보수정당,무소속,1,0.8423,3,0.1577,1,0,0,1,231648,100996,83514,0,0,15633,99147,1849,130652
경북,영주시,2002,광역단체장,보수정당,무소속,1,0.8663,3,0.1337,1,0,0,1,95784,65654,55417,0,0,8555,63972,1682,30130
경북,영천시,2002,광역단체장,보수정당,무소속,1,0.8154,3,0.1846,1,0,0,1,90206,52940,41805,0,0,9466,51271,1669,37266
경북,상주시,2002,광역단체장,보수정당,무소속,1,0.8384,3,0.1616,1,0,0,1,93241,65470,53263,0,0,10269,63532,1938,27771
경북,문경시,2002,광역단체장,보수정당,무소속,1,0.8559,3,0.1441,1,0,0,1,65540,45672,38039,0,0,6402,44441,1231,19868
경북,예천군,2002,광역단체장,보수정당,무소속,1,0.853,3,0.147,1,0,0,1,45747,36029,29611,0,0,5104,34715,1314,9718
경북,경산시,2002,광역단체장,보수정당,무소속,1,0.8755,3,0.1245,1,0,0,1,156933,72949,62484,0,0,8888,71372,1577,83984
경북,청도군,2002,광역단체장,보수정당,무소속,1,0.904,3,0.096,1,0,0,1,41318,31519,27730,0,0,2946,30676,843,9799
경북,고령군,2002,광역단체장,보수정당,무소속,1,0.8298,3,0.1702,1,0,0,1,28715,20300,16330,0,0,3350,19680,620,8415
경북,성주군,2002,광역단체장,보수정당,무소속,1,0.8413,3,0.1587,1,0,0,1,39468,29400,24066,0,0,4539,28605,795,10068
경북,군위군,2002,광역단체장,보수정당,무소속,1,0.8659,3,0.1341,1,0,0,1,25115,17757,14772,0,0,2287,17059,698,7358
경북,칠곡군,2002,광역단체장,보수정당,무소속,1,0.8347,3,0.1653,1,0,0,1,75068,41436,33796,0,0,6692,40488,948,33632
경북,의성군,2002,광역단체장,보수정당,무소속,1,0.8503,3,0.1497,1,0,0,1,59218,41296,34112,0,0,6007,40119,1177,17922
경북,청송군,2002,광역단체장,보수정당,무소속,1,0.837,3,0.163,1,0,0,1,26233,20823,16856,0,0,3283,20139,684,5410
경북,영덕군,2002,광역단체장,보수정당,무소속,1,0.8356,3,0.1644,1,0,0,1,39419,28748,23307,0,0,4587,27894,854,10671
경북,영양군,2002,광역단체장,보수정당,무소속,1,0.8216,3,0.1784,1,0,0,1,17695,14157,11274,0,0,2448,13722,435,3538
경북,봉화군,2002,광역단체장,보수정당,무소속,1,0.8382,3,0.1618,1,0,0,1,32564,24175,19639,0,0,3791,23430,745,8389
경북,울진군,2002,광역단체장,보수정당,무소속,1,0.8285,3,0.1715,1,0,0,1,49245,36368,29145,0,0,6033,35178,1190,12877
