지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
경기,합계,2002,광역단체장,보수정당,진보정당,1,0.5838,2,0.3599,1,1,1,0,6777575,3024844,1744291,1075243,168357,0,2987891,36953,3752731
경기,수원시장안구,2002,광역단체장,보수정당,진보정당,1,0.6065,2,0.3401,1,1,1,0,233829,99253,59603,33422,5251,0,98276,977,134576
경기,수원시권선구,2002,광역단체장,보수정당,진보정당,1,0.6068,2,0.3402,1,1,1,0,225950,92598,55604,31178,4856,0,91638,960,133352
경기,수원시팔달구,2002,광역단체장,보수정당,진보정당,1,0.6137,2,0.342,1,1,1,0,224122,88058,53550,29845,3859,0,87254,804,136064
경기,성남시수정구,2002,광역단체장,보수정당,진보정당,1,0.4872,2,0.446,1,1,1,0,192566,78431,37715,34523,5176,0,77414,1017,114135
경기,성남시중원구,2002,광역단체장,보수정당,진보정당,1,0.4867,2,0.4477,1,1,1,0,199094,76103,36501,33577,4923,0,75001,1102,122991
경기,성남시분당구,2002,광역단체장,보수정당,진보정당,1,0.6415,2,0.3299,1,1,1,0,281390,135540,86423,44447,3846,0,134716,824,145850
경기,의정부시,2002,광역단체장,보수정당,진보정당,1,0.5667,2,0.3744,1,1,1,0,260157,110516,61852,40860,6429,0,109141,1375,149641
경기,안양시만안구,2002,광역단체장,보수정당,진보정당,1,0.5692,2,0.3828,1,1,1,0,191427,78621,44315,29802,3736,0,77853,768,112806
경기,안양시동안구,2002,광역단체장,보수정당,진보정당,1,0.5905,2,0.3714,1,1,1,0,224569,104102,60990,38365,3936,0,103291,811,120467
경기,부천시원미구,2002,광역단체장,보수정당,진보정당,1,0.5426,2,0.4084,1,1,1,0,275354,112168,60252,45344,5443,0,111039,1129,163186
경기,부천시소사구,2002,광역단체장,보수정당,진보정당,1,0.5579,2,0.3931,1,1,1,0,144482,58149,32070,22600,2815,0,57485,664,86333
경기,부천시오정구,2002,광역단체장,보수정당,진보정당,1,0.5173,2,0.43,1,1,1,0,132565,45895,23447,19490,2385,0,45322,573,86670
경기,광명시,2002,광역단체장,보수정당,진보정당,1,0.5889,2,0.3729,1,1,1,0,240120,109572,63955,40497,4148,0,108600,972,130548
경기,평택시,2002,광역단체장,보수정당,진보정당,1,0.5769,2,0.3133,1,1,1,0,250606,120511,68398,37148,13015,0,118561,1950,130095
경기,동두천시,2002,광역단체장,보수정당,진보정당,1,0.617,2,0.3332,1,1,1,0,54122,29600,17931,9684,1447,0,29062,538,24522
경기,양주군,2002,광역단체장,보수정당,진보정당,1,0.5761,2,0.3671,1,1,1,0,98797,49252,27911,17785,2753,0,48449,803,49545
경기,안산시,2002,광역단체장,보수정당,진보정당,1,0.5336,2,0.4044,1,1,1,0,407062,148725,78495,59482,9118,0,147095,1630,258337
경기,고양시덕양구,2002,광역단체장,보수정당,진보정당,1,0.5719,2,0.3761,1,1,1,0,262667,109883,62170,40888,5657,0,108715,1168,152784
경기,고양시일산구,2002,광역단체장,보수정당,진보정당,1,0.6015,2,0.3548,1,1,1,0,298300,125331,74810,44131,5436,0,124377,954,172969
경기,과천시,2002,광역단체장,보수정당,진보정당,1,0.5743,2,0.3783,1,1,1,0,48892,27753,15790,10401,1304,0,27495,258,21139
경기,의왕시,2002,광역단체장,보수정당,진보정당,1,0.5795,2,0.374,1,1,1,0,86014,41993,24076,15537,1932,0,41545,448,44021
경기,구리시,2002,광역단체장,보수정당,진보정당,1,0.5728,2,0.3818,1,1,1,0,130366,56391,31973,21314,2533,0,55820,571,73975
경기,남양주시,2002,광역단체장,보수정당,진보정당,1,0.5836,2,0.3624,1,1,1,0,267359,116021,66832,41499,6190,0,114521,1500,151338
경기,오산시,2002,광역단체장,보수정당,진보정당,1,0.5789,2,0.3522,1,1,1,0,77816,37011,21109,12842,2513,0,36464,547,40805
경기,화성시,2002,광역단체장,보수정당,진보정당,1,0.6113,2,0.3064,1,1,1,0,160115,79223,47557,23837,6407,0,77801,1422,80892
경기,시흥시,2002,광역단체장,보수정당,진보정당,1,0.5518,2,0.3938,1,1,1,0,226255,85637,46732,33352,4609,0,84693,944,140618
경기,군포시,2002,광역단체장,보수정당,진보정당,1,0.5604,2,0.3903,1,1,1,0,186262,87627,48706,33922,4289,0,86917,710,98635
경기,하남시,2002,광역단체장,보수정당,진보정당,1,0.6192,2,0.3407,1,1,1,0,90732,44831,27413,15085,1777,0,44275,556,45901
경기,파주시,2002,광역단체장,보수정당,진보정당,1,0.6124,2,0.3233,1,1,1,0,166694,82234,49467,26113,5199,0,80779,1455,84460
경기,이천시,2002,광역단체장,보수정당,진보정당,1,0.639,2,0.2943,1,1,1,0,129817,64100,40245,18538,4201,0,62984,1116,65717
경기,용인시,2002,광역단체장,보수정당,진보정당,1,0.6129,2,0.3427,1,1,1,0,335187,154700,93848,52478,6797,0,153123,1577,180487
경기,안성시,2002,광역단체장,보수정당,진보정당,1,0.5913,2,0.338,1,1,1,0,104852,57425,33309,19038,3983,0,56330,1095,47427
경기,김포시,2002,광역단체장,보수정당,진보정당,1,0.6028,2,0.3444,1,1,1,0,131037,62190,36991,21136,3236,0,61363,827,68847
경기,여주군,2002,광역단체장,보수정당,진보정당,1,0.6518,2,0.2835,1,1,1,0,76295,40157,25703,11179,2549,0,39431,726,36138
경기,광주시,2002,광역단체장,보수정당,진보정당,1,0.6079,2,0.3489,1,1,1,0,114600,60943,36504,20953,2595,0,60052,891,53657
경기,포천군,2002,광역단체장,보수정당,진보정당,1,0.5645,2,0.3254,1,1,1,0,104685,59891,33018,19031,6443,0,58492,1399,44794
경기,연천군,2002,광역단체장,보수정당,진보정당,1,0.565,2,0.348,1,1,1,0,38309,25360,14043,8650,2160,0,24853,507,12949
경기,양평군,2002,광역단체장,보수정당,진보정당,1,0.6901,2,0.2361,1,1,1,0,62722,40123,27134,9283,2900,0,39317,806,22599
경기,가평군,2002,광역단체장,보수정당,진보정당,1,0.6297,2,0.2818,1,1,1,0,42387,28926,17849,7987,2511,0,28347,579,13461
