지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
인천,합계,2002,광역단체장,보수정당,진보정당,1,0.5618,2,0.3212,1,1,3,0,1809907,711602,393932,225210,82111,0,701253,10349,1098305
인천,중구,2002,광역단체장,보수정당,진보정당,1,0.5861,2,0.3111,1,1,3,0,56476,27197,15627,8295,2740,0,26662,535,29279
인천,동구,2002,광역단체장,보수정당,진보정당,1,0.5778,2,0.305,1,1,3,0,57370,28452,16071,8484,3261,0,27816,636,28918
인천,남구,2002,광역단체장,보수정당,진보정당,1,0.5849,2,0.3042,1,1,3,0,317337,124830,71928,37404,13645,0,122977,1853,192507
인천,연수구,2002,광역단체장,보수정당,진보정당,1,0.6026,2,0.2931,1,1,3,0,174043,67745,40332,19621,6982,0,66935,810,106298
인천,남동구,2002,광역단체장,보수정당,진보정당,1,0.5435,2,0.3218,1,1,3,0,286397,105918,56823,33644,14082,0,104549,1369,180479
인천,부평구,2002,광역단체장,보수정당,진보정당,1,0.5384,2,0.3253,1,1,3,0,391526,148406,78925,47685,19995,0,146605,1801,243120
인천,계양구,2002,광역단체장,보수정당,진보정당,1,0.5803,2,0.3289,1,1,3,0,226315,79673,45748,25930,7157,0,78835,838,146642
인천,서구,2002,광역단체장,보수정당,진보정당,1,0.5446,2,0.3264,1,1,3,0,237302,85958,46138,27657,10928,0,84723,1235,151344
인천,강화군,2002,광역단체장,보수정당,진보정당,1,0.5091,2,0.4205,1,1,3,0,51913,34626,17134,14150,2370,0,33654,972,17287
인천,옹진군,2002,광역단체장,보수정당,진보정당,1,0.6127,2,0.2754,1,1,3,0,11228,8797,5206,2340,951,0,8497,300,2431
