지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전북,합계,2002,광역단체장,진보정당,무소속,2,0.7457,3,0.1713,1,1,0,1,1431722,787135,63661,571650,0,131320,766631,20504,644587
전북,전주시완산구,2002,광역단체장,진보정당,무소속,2,0.7553,3,0.1611,1,1,0,1,231776,100204,8191,74023,0,15785,97999,2205,131572
전북,전주시덕진구,2002,광역단체장,진보정당,무소속,2,0.7584,3,0.1592,1,1,0,1,197458,79884,6453,59409,0,12470,78332,1552,117574
전북,군산시,2002,광역단체장,진보정당,무소속,2,0.8394,3,0.1073,1,1,0,1,197267,97041,5055,79646,0,10182,94883,2158,100226
전북,익산시,2002,광역단체장,진보정당,무소속,2,0.769,3,0.1477,1,1,0,1,234964,112465,9121,84169,0,16164,109454,3011,122499
전북,정읍시,2002,광역단체장,진보정당,무소속,2,0.7532,3,0.1793,1,1,0,1,105973,66356,4358,48685,0,11592,64635,1721,39617
전북,남원시,2002,광역단체장,진보정당,무소속,2,0.7219,3,0.2061,1,1,0,1,75505,52567,3673,36854,0,10521,51048,1519,22938
전북,김제시,2002,광역단체장,진보정당,무소속,2,0.702,3,0.1573,1,1,0,1,87628,58806,8025,40039,0,8971,57035,1771,28822
전북,완주군,2002,광역단체장,진보정당,무소속,2,0.7285,3,0.1897,1,1,0,1,65838,41700,3306,29454,0,7671,40431,1269,24138
전북,진안군,2002,광역단체장,진보정당,무소속,2,0.6246,3,0.2747,1,1,0,1,24876,19517,1905,11812,0,5194,18911,606,5359
전북,무주군,2002,광역단체장,진보정당,무소속,2,0.6682,3,0.2089,1,1,0,1,22378,17272,2063,11219,0,3507,16789,483,5106
전북,장수군,2002,광역단체장,진보정당,무소속,2,0.6703,3,0.2367,1,1,0,1,21340,16759,1508,10873,0,3840,16221,538,4581
전북,임실군,2002,광역단체장,진보정당,무소속,2,0.6171,3,0.3063,1,1,0,1,29320,23222,1732,13950,0,6923,22605,617,6098
전북,순창군,2002,광역단체장,진보정당,무소속,2,0.7074,3,0.2127,1,1,0,1,26502,21136,1643,14546,0,4374,20563,573,5366
전북,고창군,2002,광역단체장,진보정당,무소속,2,0.7545,3,0.1678,1,1,0,1,55217,41754,3156,30656,0,6819,40631,1123,13463
전북,부안군,2002,광역단체장,진보정당,무소속,2,0.7094,3,0.197,1,1,0,1,55680,38452,3472,26315,0,7307,37094,1358,17228
