지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전남,합계,2002,광역단체장,진보정당,무소속,2,0.5777,3,0.2425,1,1,0,3,1533059,1006148,51504,563545,0,360484,975533,30615,526911
전남,목포시,2002,광역단체장,진보정당,무소속,2,0.6028,3,0.301,1,1,0,3,169428,81949,2234,48314,0,29595,80143,1806,87479
전남,여수시,2002,광역단체장,진보정당,무소속,2,0.5859,3,0.2572,1,1,0,3,224680,128464,5123,73429,0,46766,125318,3146,96216
전남,순천시,2002,광역단체장,진보정당,무소속,2,0.5586,3,0.2249,1,1,0,3,185581,102005,4062,55386,0,39700,99148,2857,83576
전남,나주시,2002,광역단체장,진보정당,무소속,2,0.6073,3,0.1821,1,1,0,3,80868,56762,2914,33315,0,18628,54857,1905,24106
전남,광양시,2002,광역단체장,진보정당,무소속,2,0.5949,3,0.1909,1,1,0,3,91773,54956,4620,31800,0,17035,53455,1501,36817
전남,담양군,2002,광역단체장,진보정당,무소속,2,0.6834,3,0.1916,1,1,0,3,42009,31362,1201,20837,0,8453,30491,871,10647
전남,장성군,2002,광역단체장,진보정당,무소속,2,0.7591,3,0.1089,1,1,0,3,41952,30339,1402,22468,0,5727,29597,742,11613
전남,곡성군,2002,광역단체장,진보정당,무소속,2,0.602,3,0.2333,1,1,0,3,30366,24338,1182,14162,0,8182,23526,812,6028
전남,구례군,2002,광역단체장,진보정당,무소속,2,0.5956,3,0.227,1,1,0,3,25437,20009,976,11588,0,6891,19455,554,5428
전남,고흥군,2002,광역단체장,진보정당,무소속,2,0.4186,3,0.3738,1,1,0,3,76860,59156,2333,23982,0,30971,57286,1870,17704
전남,보성군,2002,광역단체장,진보정당,무소속,2,0.4819,3,0.3117,1,1,0,3,46226,34316,1597,16009,0,15613,33219,1097,11910
전남,화순군,2002,광역단체장,진보정당,무소속,2,0.5816,3,0.2445,1,1,0,3,59518,37531,2010,21050,0,13136,36196,1335,21987
전남,장흥군,2002,광역단체장,진보정당,무소속,2,0.5349,3,0.2109,1,1,0,3,39139,30151,1735,15637,0,11861,29233,918,8988
전남,강진군,2002,광역단체장,진보정당,무소속,2,0.5362,3,0.2092,1,1,0,3,36728,27461,4259,14265,0,8078,26602,859,9267
전남,완도군,2002,광역단체장,진보정당,무소속,2,0.5896,3,0.2202,1,1,0,3,49558,38051,2277,21495,0,12687,36459,1592,11507
전남,해남군,2002,광역단체장,진보정당,무소속,2,0.5544,3,0.2737,1,1,0,3,72342,53655,2865,28642,0,20158,51665,1990,18687
전남,진도군,2002,광역단체장,진보정당,무소속,2,0.5129,3,0.2903,1,1,0,3,31753,25424,1095,12423,0,10701,24219,1205,6329
전남,영암군,2002,광역단체장,진보정당,무소속,2,0.5641,3,0.2603,1,1,0,3,48526,34684,2180,18958,0,12471,33609,1075,13842
전남,무안군,2002,광역단체장,진보정당,무소속,2,0.6197,3,0.2329,1,1,0,3,52292,37247,1965,22315,0,11731,36011,1236,15045
전남,영광군,2002,광역단체장,진보정당,무소속,2,0.5997,3,0.2101,1,1,0,3,52290,39842,2406,23219,0,13091,38716,1126,12448
전남,함평군,2002,광역단체장,진보정당,무소속,2,0.6477,3,0.197,1,1,0,3,34499,25561,1168,16066,0,7569,24803,758,8938
전남,신안군,2002,광역단체장,진보정당,무소속,2,0.5768,3,0.2233,1,1,0,3,41234,32885,1900,18185,0,11440,31525,1360,8349
