지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
충북,합계,2006,광역단체장,보수정당,진보정당,2,0.5966,1,0.3063,1,1,2,0,1126282,616053,361157,185426,58741,0,605324,10729,510229
충북,청주시상당구,2006,광역단체장,보수정당,진보정당,2,0.5986,1,0.3205,1,1,2,0,188493,89032,52776,28260,7129,0,88165,867,99461
충북,청주시흥덕구,2006,광역단체장,보수정당,진보정당,2,0.584,1,0.3219,1,1,2,0,269249,121820,70472,38846,11363,0,120681,1139,147429
충북,충주시,2006,광역단체장,보수정당,진보정당,2,0.6207,1,0.296,1,1,2,0,155769,83466,50932,24287,6841,0,82060,1406,72303
충북,제천시,2006,광역단체장,보수정당,진보정당,2,0.6283,1,0.2733,1,1,2,0,105920,60200,37174,16169,5826,0,59169,1031,45720
충북,단양군,2006,광역단체장,보수정당,진보정당,2,0.6046,1,0.2967,1,1,2,0,27458,19533,11497,5643,1877,0,19017,516,7925
충북,청원군,2006,광역단체장,보수정당,진보정당,2,0.5344,1,0.3459,1,1,2,0,95259,53191,27833,18015,6236,0,52084,1107,42068
충북,영동군,2006,광역단체장,보수정당,진보정당,2,0.5347,1,0.3139,1,1,2,0,41700,29569,15383,9031,4354,0,28768,801,12131
충북,보은군,2006,광역단체장,보수정당,진보정당,2,0.4981,1,0.3961,1,1,2,0,30273,22890,11107,8833,2360,0,22300,590,7383
충북,옥천군,2006,광역단체장,보수정당,진보정당,2,0.5087,1,0.38,1,1,2,0,44454,31353,15423,11522,3376,0,30321,1032,13101
충북,음성군,2006,광역단체장,보수정당,진보정당,2,0.6824,1,0.2296,1,1,2,0,66010,38457,25794,8678,3329,0,37801,656,27553
충북,진천군,2006,광역단체장,보수정당,진보정당,2,0.7277,1,0.2023,1,1,2,0,46069,28091,20081,5582,1932,0,27595,496,17978
충북,괴산군,2006,광역단체장,보수정당,진보정당,2,0.544,1,0.3229,1,1,2,0,32511,23933,12584,7471,3079,0,23134,799,8578
충북,증평군,2006,광역단체장,보수정당,진보정당,2,0.7099,1,0.2171,1,1,2,0,23117,14518,10101,3089,1039,0,14229,289,8599
