지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
강원,합계,2006,광역단체장,보수정당,진보정당,2,0.7057,1,0.2219,1,1,2,0,1160977,681633,471613,148302,48411,0,668326,13307,479344
강원,춘천시,2006,광역단체장,보수정당,진보정당,2,0.4482,1,0.3598,1,1,2,0,192644,104177,45125,36231,19333,0,100689,3488,88467
강원,원주시,2006,광역단체장,보수정당,진보정당,2,0.6682,1,0.2967,1,1,2,0,215770,106902,70598,31345,3718,0,105661,1241,108868
강원,강릉시,2006,광역단체장,보수정당,진보정당,2,0.8216,1,0.1369,1,1,2,0,171138,92512,74805,12467,3773,0,91045,1467,78626
강원,동해시,2006,광역단체장,보수정당,진보정당,2,0.8526,1,0.1149,1,1,2,0,74884,43269,36395,4903,1389,0,42687,582,31615
강원,삼척시,2006,광역단체장,보수정당,진보정당,2,0.8187,1,0.1257,1,1,2,0,57751,39784,31894,4897,2167,0,38958,826,17967
강원,태백시,2006,광역단체장,보수정당,진보정당,2,0.7667,1,0.1514,1,1,2,0,41345,27807,21005,4148,2245,0,27398,409,13538
강원,정선군,2006,광역단체장,보수정당,진보정당,2,0.7408,1,0.202,1,1,2,0,35948,25156,18270,4982,1412,0,24664,492,10792
강원,속초시,2006,광역단체장,보수정당,진보정당,2,0.7811,1,0.1804,1,1,2,0,64750,34125,26288,6072,1297,0,33657,468,30625
강원,고성군,2006,광역단체장,보수정당,진보정당,2,0.7924,1,0.1643,1,1,2,0,25708,18721,14514,3010,792,0,18316,405,6987
강원,양양군,2006,광역단체장,보수정당,진보정당,2,0.8044,1,0.156,1,1,2,0,23582,16899,13324,2584,655,0,16563,336,6683
강원,인제군,2006,광역단체장,보수정당,진보정당,2,0.7254,1,0.228,1,1,2,0,25130,18235,12913,4059,828,0,17800,435,6895
강원,홍천군,2006,광역단체장,보수정당,진보정당,2,0.6818,1,0.2332,1,1,2,0,55429,33777,22544,7711,2811,0,33066,711,21652
강원,횡성군,2006,광역단체장,보수정당,진보정당,2,0.6657,1,0.2081,1,1,2,0,35200,24116,15734,4919,2981,0,23634,482,11084
강원,영월군,2006,광역단체장,보수정당,진보정당,2,0.7378,1,0.2215,1,1,2,0,33449,22727,16488,4950,911,0,22349,378,10722
강원,평창군,2006,광역단체장,보수정당,진보정당,2,0.7114,1,0.245,1,1,2,0,36045,23370,16346,5629,1002,0,22977,393,12675
강원,화천군,2006,광역단체장,보수정당,진보정당,2,0.6957,1,0.2285,1,1,2,0,18404,13079,8852,2908,964,0,12724,355,5325
강원,양구군,2006,광역단체장,보수정당,진보정당,2,0.7137,1,0.2168,1,1,2,0,16454,12044,8379,2545,816,0,11740,304,4410
강원,철원군,2006,광역단체장,보수정당,진보정당,2,0.7435,1,0.2026,1,1,2,0,37346,24933,18139,4942,1317,0,24398,535,12413
