지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
경남,합계,2006,광역단체장,보수정당,진보정당,2,0.6313,1,0.2541,1,1,2,0,2375265,1373815,852377,343137,154729,0,1350243,23572,1001450
경남,창원시,2006,광역단체장,보수정당,진보정당,2,0.6153,1,0.2115,1,1,2,0,356493,184115,112369,38627,31624,0,182620,1495,172378
경남,마산시,2006,광역단체장,보수정당,진보정당,2,0.7229,1,0.1856,1,1,2,0,326663,171791,122814,31539,15542,0,169895,1896,154872
경남,진주시,2006,광역단체장,보수정당,진보정당,2,0.5434,1,0.3545,1,1,2,0,252537,145232,77772,50737,14603,0,143112,2120,107305
경남,진해시,2006,광역단체장,보수정당,진보정당,2,0.6748,1,0.2225,1,1,2,0,118111,70223,46643,15379,7095,0,69117,1106,47888
경남,통영시,2006,광역단체장,보수정당,진보정당,2,0.6997,1,0.2291,1,1,2,0,102469,60728,41786,13684,4250,0,59720,1008,41741
경남,고성군,2006,광역단체장,보수정당,진보정당,2,0.6596,1,0.2349,1,1,2,0,46167,33469,21513,7661,3440,0,32614,855,12698
경남,사천시,2006,광역단체장,보수정당,진보정당,2,0.6244,1,0.2744,1,1,2,0,86136,57392,35061,15408,5680,0,56149,1243,28744
경남,김해시,2006,광역단체장,보수정당,진보정당,2,0.5876,1,0.3175,1,1,2,0,315263,150966,87632,47354,14142,0,149128,1838,164297
경남,밀양시,2006,광역단체장,보수정당,진보정당,2,0.6408,1,0.2776,1,1,2,0,90362,58412,36650,15879,4669,0,57198,1214,31950
경남,거제시,2006,광역단체장,보수정당,진보정당,2,0.5721,1,0.2288,1,1,2,0,142095,75632,42568,17024,14820,0,74412,1220,66463
경남,의령군,2006,광역단체장,보수정당,진보정당,2,0.6361,1,0.2171,1,1,2,0,26675,21741,13236,4518,3053,0,20807,934,4934
경남,함안군,2006,광역단체장,보수정당,진보정당,2,0.6778,1,0.199,1,1,2,0,48706,34252,22544,6619,4098,0,33261,991,14454
경남,창녕군,2006,광역단체장,보수정당,진보정당,2,0.695,1,0.2082,1,1,2,0,52848,37285,25192,7546,3510,0,36248,1037,15563
경남,양산시,2006,광역단체장,보수정당,진보정당,2,0.661,1,0.2293,1,1,2,0,162544,86355,56004,19427,9290,0,84721,1634,76189
경남,하동군,2006,광역단체장,보수정당,진보정당,2,0.5266,1,0.3723,1,1,2,0,42978,31435,16059,11354,3080,0,30493,942,11543
경남,남해군,2006,광역단체장,진보정당,보수정당,1,0.5891,2,0.3678,1,1,2,0,42965,32988,11830,18947,1386,0,32163,825,9977
경남,함양군,2006,광역단체장,보수정당,진보정당,2,0.5853,1,0.2405,1,1,2,0,34178,27657,15797,6492,4700,0,26989,668,6521
경남,산청군,2006,광역단체장,보수정당,진보정당,2,0.6624,1,0.2136,1,1,2,0,30952,23787,15303,4934,2865,0,23102,685,7165
경남,거창군,2006,광역단체장,보수정당,진보정당,2,0.8066,1,0.1231,1,1,2,0,50916,35360,27893,4256,2432,0,34581,779,15556
경남,합천군,2006,광역단체장,보수정당,진보정당,2,0.6992,1,0.1696,1,1,2,0,46207,34995,23711,5752,4450,0,33913,1082,11212
