지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
인천,합계,2010,광역단체장,진보정당,보수정당,2,0.527,1,0.4438,1,1,2,0,2096853,1067431,469040,556902,30838,0,1056780,10651,1029422
인천,중구,2010,광역단체장,진보정당,보수정당,2,0.4878,1,0.4778,1,1,2,0,73354,37876,17846,18216,1285,0,37347,529,35478
인천,동구,2010,광역단체장,진보정당,보수정당,2,0.5055,1,0.4543,1,1,2,0,62253,35099,15714,17486,1389,0,34589,510,27154
인천,남구,2010,광역단체장,진보정당,보수정당,2,0.5132,1,0.4591,1,1,2,0,337880,165592,75286,84170,4544,0,164000,1592,172288
인천,연수구,2010,광역단체장,진보정당,보수정당,2,0.4887,1,0.4844,1,1,2,0,206407,110292,53027,53495,2952,0,109474,818,96115
인천,남동구,2010,광역단체장,진보정당,보수정당,2,0.5412,1,0.4318,1,1,2,0,355642,177496,76011,95283,4757,0,176051,1445,178146
인천,부평구,2010,광역단체장,진보정당,보수정당,2,0.562,1,0.4082,1,1,2,0,435655,218198,88370,121650,6448,0,216468,1730,217457
인천,계양구,2010,광역단체장,진보정당,보수정당,2,0.5825,1,0.3933,1,1,2,0,259089,131148,51211,75847,3160,0,130218,930,127941
인천,서구,2010,광역단체장,진보정당,보수정당,2,0.5371,1,0.4321,1,1,2,0,294322,143331,61389,76308,4369,0,142066,1265,150991
인천,강화군,2010,광역단체장,보수정당,진보정당,1,0.6507,2,0.3075,1,1,2,0,56586,37059,23160,10946,1489,0,35595,1464,19527
인천,옹진군,2010,광역단체장,보수정당,진보정당,1,0.6404,2,0.3191,1,1,2,0,15665,11340,7026,3501,445,0,10972,368,4325
