지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
충남,합계,2014,광역단체장,진보정당,보수정당,2,0.5221,1,0.4396,1,1,0,1,1644554,916206,392315,465994,0,34204,892513,23693,728348
충남,천안시서북구,2014,광역단체장,진보정당,보수정당,2,0.5712,1,0.3975,1,1,0,1,223113,103339,40623,58379,0,3198,102200,1139,119774
충남,천안시동남구,2014,광역단체장,진보정당,보수정당,2,0.5434,1,0.4307,1,1,0,1,236496,117049,49771,62796,0,2987,115554,1495,119447
충남,공주시,2014,광역단체장,진보정당,보수정당,2,0.4943,1,0.4787,1,1,0,1,96439,57596,26855,27730,0,1519,56104,1492,38843
충남,보령시,2014,광역단체장,진보정당,보수정당,2,0.4779,1,0.4742,1,1,0,1,86603,55365,25254,25451,0,2550,53255,2110,31238
충남,아산시,2014,광역단체장,진보정당,보수정당,2,0.5468,1,0.4231,1,1,0,1,222224,113433,47139,60927,0,3356,111422,2011,108791
충남,서산시,2014,광역단체장,진보정당,보수정당,2,0.5236,1,0.4362,1,1,0,1,130906,70754,30125,36161,0,2781,69067,1687,60152
충남,태안군,2014,광역단체장,보수정당,진보정당,1,0.4723,2,0.4565,1,1,0,1,53331,35682,16046,15507,0,2419,33972,1710,17649
충남,금산군,2014,광역단체장,진보정당,보수정당,2,0.5102,1,0.4339,1,1,0,1,46813,30036,12522,14725,0,1612,28859,1177,16777
충남,논산시,2014,광역단체장,진보정당,보수정당,2,0.6021,1,0.364,1,1,0,1,103962,62061,21888,36205,0,2037,60130,1931,41901
충남,계룡시,2014,광역단체장,진보정당,보수정당,2,0.5326,1,0.433,1,1,0,1,29874,19557,8353,10274,0,664,19291,266,10317
충남,당진시,2014,광역단체장,진보정당,보수정당,2,0.5244,1,0.433,1,1,0,1,128636,69446,29235,35404,0,2878,67517,1929,59190
충남,부여군,2014,광역단체장,보수정당,진보정당,1,0.4834,2,0.4717,1,1,0,1,61543,38919,18112,17676,0,1682,37470,1449,22624
충남,서천군,2014,광역단체장,진보정당,보수정당,2,0.5064,1,0.4554,1,1,0,1,50159,33416,14542,16171,0,1218,31931,1485,16743
충남,홍성군,2014,광역단체장,진보정당,보수정당,2,0.5037,1,0.456,1,1,0,1,74464,44555,19751,21815,0,1743,43309,1246,29909
충남,청양군,2014,광역단체장,진보정당,보수정당,2,0.477,1,0.4424,1,1,0,1,27844,20860,8767,9453,0,1596,19816,1044,6984
충남,예산군,2014,광역단체장,보수정당,진보정당,1,0.5475,2,0.4064,1,1,0,1,72147,44138,23332,17320,0,1964,42616,1522,28009
