지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
경북,합계,2014,광역단체장,보수정당,진보정당,1,0.7774,2,0.1493,1,1,2,0,2211734,1314925,986989,189603,93067,0,1269659,45266,896809
경북,포항시북구,2014,광역단체장,보수정당,진보정당,1,0.7531,2,0.1828,1,1,2,0,216200,112449,82655,20064,7034,0,109753,2696,103751
경북,포항시남구,2014,광역단체장,보수정당,진보정당,1,0.7586,2,0.183,1,1,2,0,201120,103003,76273,18395,5878,0,100546,2457,98117
경북,울릉군,2014,광역단체장,보수정당,진보정당,1,0.8261,2,0.1181,1,1,2,0,9344,7490,5925,847,400,0,7172,318,1854
경북,경주시,2014,광역단체장,보수정당,진보정당,1,0.7783,2,0.1371,1,1,2,0,216922,126290,94824,16705,10306,0,121835,4455,90632
경북,김천시,2014,광역단체장,보수정당,진보정당,1,0.7922,2,0.1392,1,1,2,0,111552,70244,53436,9389,4631,0,67456,2788,41308
경북,안동시,2014,광역단체장,보수정당,진보정당,1,0.8105,2,0.1279,1,1,2,0,137715,90090,70575,11133,5365,0,87073,3017,47625
경북,구미시,2014,광역단체장,보수정당,진보정당,1,0.7194,2,0.2088,1,1,2,0,321096,160254,112367,32606,11220,0,156193,4061,160842
경북,영주시,2014,광역단체장,보수정당,진보정당,1,0.7764,2,0.1493,1,1,2,0,92496,62153,46595,8960,4456,0,60011,2142,30343
경북,영천시,2014,광역단체장,보수정당,진보정당,1,0.773,2,0.1352,1,1,2,0,85998,54651,40283,7044,4788,0,52115,2536,31347
경북,상주시,2014,광역단체장,보수정당,진보정당,1,0.8036,2,0.1227,1,1,2,0,88003,62491,47652,7273,4372,0,59297,3194,25512
경북,문경시,2014,광역단체장,보수정당,진보정당,1,0.8312,2,0.1047,1,1,2,0,63805,45956,36470,4594,2811,0,43875,2081,17849
경북,예천군,2014,광역단체장,보수정당,진보정당,1,0.8356,2,0.0891,1,1,2,0,39760,29078,23265,2480,2098,0,27843,1235,10682
경북,경산시,2014,광역단체장,보수정당,진보정당,1,0.7731,2,0.1539,1,1,2,0,201690,103880,78534,15635,7417,0,101586,2294,97810
경북,청도군,2014,광역단체장,보수정당,진보정당,1,0.8134,2,0.1027,1,1,2,0,39054,28078,21900,2766,2259,0,26925,1153,10976
경북,고령군,2014,광역단체장,보수정당,진보정당,1,0.7934,2,0.1231,1,1,2,0,30145,18392,14097,2188,1482,0,17767,625,11753
경북,성주군,2014,광역단체장,보수정당,진보정당,1,0.8145,2,0.1137,1,1,2,0,39541,25175,19701,2750,1737,0,24188,987,14366
경북,칠곡군,2014,광역단체장,보수정당,진보정당,1,0.7607,2,0.1709,1,1,2,0,95973,49053,36261,8149,3261,0,47671,1382,46920
경북,군위군,2014,광역단체장,보수정당,그외정당,1,0.779,4,0.1001,1,1,2,0,22266,18042,13330,1676,2105,0,17111,931,4224
경북,의성군,2014,광역단체장,보수정당,진보정당,1,0.8356,2,0.1028,1,1,2,0,50532,36797,29308,3605,2162,0,35075,1722,13735
경북,청송군,2014,광역단체장,보수정당,진보정당,1,0.7693,2,0.1164,1,1,2,0,23703,18396,13495,2042,2006,0,17543,853,5307
경북,영양군,2014,광역단체장,보수정당,진보정당,1,0.7592,2,0.1445,1,1,2,0,16167,12875,9234,1757,1172,0,12163,712,3292
경북,영덕군,2014,광역단체장,보수정당,진보정당,1,0.828,2,0.1035,1,1,2,0,35266,25717,20331,2541,1683,0,24555,1162,9549
경북,봉화군,2014,광역단체장,보수정당,진보정당,1,0.7576,2,0.1366,1,1,2,0,29759,22055,16128,2907,2253,0,21288,767,7704
경북,울진군,2014,광역단체장,보수정당,진보정당,1,0.7953,2,0.1338,1,1,2,0,43627,32316,24350,4097,2171,0,30618,1698,11311
