지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전남,합계,2018,광역단체장,진보정당,그외정당,1,0.7709,4,0.1059,0,1,4,0,1577224,1092107,40287,807902,199816,0,1048005,44102,485117
전남,목포시,2018,광역단체장,진보정당,그외정당,1,0.7487,4,0.1591,0,1,4,0,186864,119950,2644,87419,26702,0,116765,3185,66914
전남,여수시,2018,광역단체장,진보정당,그외정당,1,0.8079,4,0.0733,0,1,4,0,235359,153554,6198,120941,22557,0,149696,3858,81805
전남,순천시,2018,광역단체장,진보정당,그외정당,1,0.8042,4,0.0668,0,1,4,0,225673,144341,4942,113180,22614,0,140736,3605,81332
전남,나주시,2018,광역단체장,진보정당,그외정당,1,0.7968,4,0.0804,0,1,4,0,93513,61444,2317,47100,9694,0,59111,2333,32069
전남,광양시,2018,광역단체장,진보정당,그외정당,1,0.7865,4,0.0674,0,1,4,0,122154,83720,4210,63778,13107,0,81095,2625,38434
전남,담양군,2018,광역단체장,진보정당,그외정당,1,0.7753,4,0.0735,0,1,4,0,41703,29739,1361,22127,5051,0,28539,1200,11964
전남,장성군,2018,광역단체장,진보정당,그외정당,1,0.7416,4,0.0874,0,1,4,0,39603,29751,1294,20820,5959,0,28073,1678,9852
전남,곡성군,2018,광역단체장,진보정당,그외정당,1,0.7168,4,0.1055,0,1,4,0,26739,20723,1219,13989,4308,0,19516,1207,6016
전남,구례군,2018,광역단체장,진보정당,그외정당,1,0.7158,4,0.1224,0,1,4,0,23743,19333,723,13080,4471,0,18274,1059,4410
전남,고흥군,2018,광역단체장,진보정당,그외정당,1,0.7112,4,0.1848,0,1,4,0,59446,47954,1797,31631,11047,0,44475,3479,11492
전남,보성군,2018,광역단체장,진보정당,그외정당,1,0.7465,4,0.0901,0,1,4,0,38546,29110,2020,20429,4918,0,27367,1743,9436
전남,화순군,2018,광역단체장,진보정당,그외정당,1,0.7676,4,0.1016,0,1,4,0,54543,38366,1377,28270,7184,0,36831,1535,16177
전남,장흥군,2018,광역단체장,진보정당,그외정당,1,0.7399,4,0.0896,0,1,4,0,34777,26630,1026,18636,5525,0,25187,1443,8147
전남,강진군,2018,광역단체장,진보정당,그외정당,1,0.7476,4,0.1514,0,1,4,0,31919,23902,694,17079,5073,0,22846,1056,8017
전남,완도군,2018,광역단체장,진보정당,그외정당,1,0.8534,4,0.0728,0,1,4,0,44758,34573,796,28135,4037,0,32968,1605,10185
전남,해남군,2018,광역단체장,진보정당,그외정당,1,0.7494,4,0.1632,0,1,4,0,62461,44449,1087,31880,9574,0,42541,1908,18012
전남,진도군,2018,광역단체장,진보정당,그외정당,1,0.7541,4,0.1415,0,1,4,0,27441,21408,664,15245,4306,0,20215,1193,6033
전남,영암군,2018,광역단체장,진보정당,그외정당,1,0.7317,4,0.1489,0,1,4,0,46588,31569,1254,22047,6831,0,30132,1437,15019
전남,무안군,2018,광역단체장,진보정당,그외정당,1,0.7641,4,0.1319,0,1,4,0,66517,46087,1289,33590,9081,0,43960,2127,20430
전남,영광군,2018,광역단체장,진보정당,그외정당,1,0.7738,4,0.0808,0,1,4,0,46689,32953,1379,24196,5694,0,31269,1684,13736
전남,함평군,2018,광역단체장,진보정당,그외정당,1,0.7052,4,0.1586,0,1,4,0,30165,22405,985,14892,5239,0,21116,1289,7760
전남,신안군,2018,광역단체장,진보정당,그외정당,1,0.7122,4,0.1633,0,1,4,0,38023,30146,1011,19438,6844,0,27293,2853,7877
