지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울,합계,2010,광역단체장,보수정당,진보정당,1,0.4744,2,0.4684,1,1,3,0,8211461,4426182,2086127,2059715,251830,0,4397672,28510,3785279
서울,종로구,2010,광역단체장,진보정당,보수정당,2,0.4791,1,0.4605,1,1,3,0,138917,77812,35476,36910,4660,0,77046,766,61105
서울,중구,2010,광역단체장,보수정당,진보정당,1,0.4756,2,0.4716,1,1,3,0,109000,60763,28648,28410,3179,0,60237,526,48237
서울,용산구,2010,광역단체장,보수정당,진보정당,1,0.5115,2,0.4292,1,1,3,0,198044,105005,53285,44706,6173,0,104164,841,93039
서울,성동구,2010,광역단체장,진보정당,보수정당,2,0.4761,1,0.4722,1,1,3,0,250316,135277,63448,63966,6951,0,134365,912,115039
서울,광진구,2010,광역단체장,진보정당,보수정당,2,0.4842,1,0.4609,1,1,3,0,301603,158963,72749,76420,8674,0,157843,1120,142640
서울,동대문구,2010,광역단체장,진보정당,보수정당,2,0.4772,1,0.4678,1,1,3,0,297206,160497,74536,76032,8769,0,159337,1160,136709
서울,중랑구,2010,광역단체장,진보정당,보수정당,2,0.4768,1,0.4713,1,1,3,0,343810,172251,80577,81517,8859,0,170953,1298,171559
서울,성북구,2010,광역단체장,진보정당,보수정당,2,0.4884,1,0.4519,1,1,3,0,383508,204667,91907,99316,12137,0,203360,1307,178841
서울,강북구,2010,광역단체장,진보정당,보수정당,2,0.4972,1,0.4484,1,1,3,0,276171,142061,63231,70115,7661,0,141007,1054,134110
서울,도봉구,2010,광역단체장,진보정당,보수정당,2,0.471,1,0.4698,1,1,3,0,292842,159958,74594,74789,9390,0,158773,1185,132884
서울,노원구,2010,광역단체장,진보정당,보수정당,2,0.475,1,0.4558,1,1,3,0,470325,264044,119567,124603,18148,0,262318,1726,206281
서울,은평구,2010,광역단체장,진보정당,보수정당,2,0.4996,1,0.4477,1,1,3,0,376385,192939,85737,95666,10098,0,191501,1438,183446
서울,서대문구,2010,광역단체장,진보정당,보수정당,2,0.4992,1,0.4442,1,1,3,0,266950,146827,64769,72788,8244,0,145801,1026,120123
서울,마포구,2010,광역단체장,진보정당,보수정당,2,0.4997,1,0.438,1,1,3,0,313579,172905,75267,85882,10706,0,171855,1050,140674
서울,양천구,2010,광역단체장,보수정당,진보정당,1,0.4747,2,0.4697,1,1,3,0,382358,214849,101350,100272,11864,0,213486,1363,167509
서울,강서구,2010,광역단체장,진보정당,보수정당,2,0.4838,1,0.4605,1,1,3,0,455047,242758,111082,116689,13446,0,241217,1541,212289
서울,구로구,2010,광역단체장,진보정당,보수정당,2,0.4958,1,0.4486,1,1,3,0,339568,187965,83846,92666,10396,0,186908,1057,151603
서울,금천구,2010,광역단체장,진보정당,보수정당,2,0.5099,1,0.4346,1,1,3,0,197080,103679,44702,52451,5711,0,102864,815,93401
서울,영등포구,2010,광역단체장,보수정당,진보정당,1,0.4745,2,0.4689,1,1,3,0,329379,180352,84999,83982,10139,0,179120,1232,149027
서울,동작구,2010,광역단체장,진보정당,보수정당,2,0.4961,1,0.4472,1,1,3,0,325558,184233,81914,90859,10382,0,183155,1078,141325
서울,관악구,2010,광역단체장,진보정당,보수정당,2,0.5424,1,0.3935,1,1,3,0,442049,238367,93184,128444,15189,0,236817,1550,203682
서울,서초구,2010,광역단체장,보수정당,진보정당,1,0.5907,2,0.3542,1,1,3,0,341599,185981,109446,65626,10209,0,185281,700,155618
서울,강남구,2010,광역단체장,보수정당,진보정당,1,0.5995,2,0.3426,1,1,3,0,452744,231886,138390,79094,13365,0,230849,1037,220858
서울,송파구,2010,광역단체장,보수정당,진보정당,1,0.5128,2,0.431,1,1,3,0,539644,292420,149228,125414,16350,0,290992,1428,247224
서울,강동구,2010,광역단체장,보수정당,진보정당,1,0.4999,2,0.4467,1,1,3,0,387779,209723,104195,93098,11130,0,208423,1300,178056
부산,합계,2010,광역단체장,보수정당,진보정당,1,0.5543,2,0.4457,1,1,0,0,2849895,1410126,770507,619565,0,0,1390072,20054,1439769
부산,중구,2010,광역단체장,보수정당,진보정당,1,0.6174,2,0.3826,1,1,0,0,41637,21350,12901,7996,0,0,20897,453,20287
부산,서구,2010,광역단체장,보수정당,진보정당,1,0.6052,2,0.3948,1,1,0,0,104507,49172,29328,19131,0,0,48459,713,55335
부산,동구,2010,광역단체장,보수정당,진보정당,1,0.5973,2,0.4027,1,1,0,0,85200,43996,25784,17380,0,0,43164,832,41204
부산,영도구,2010,광역단체장,보수정당,진보정당,1,0.5294,2,0.4706,1,1,0,0,122392,59112,30750,27332,0,0,58082,1030,63280
부산,부산진구,2010,광역단체장,보수정당,진보정당,1,0.5479,2,0.4521,1,1,0,0,322385,157895,85247,70355,0,0,155602,2293,164490
부산,동래구,2010,광역단체장,보수정당,진보정당,1,0.5621,2,0.4379,1,1,0,0,224693,109659,60901,47442,0,0,108343,1316,115034
부산,남구,2010,광역단체장,보수정당,진보정당,1,0.5502,2,0.4498,1,1,0,0,240421,116776,63602,51993,0,0,115595,1181,123645
부산,북구,2010,광역단체장,보수정당,진보정당,1,0.5195,2,0.4805,1,1,0,0,243993,121921,62561,57857,0,0,120418,1503,122072
부산,해운대구,2010,광역단체장,보수정당,진보정당,1,0.5475,2,0.4525,1,1,0,0,328744,157525,85110,70341,0,0,155451,2074,171219
부산,기장군,2010,광역단체장,보수정당,진보정당,1,0.5865,2,0.4135,1,1,0,0,77263,45026,25723,18138,0,0,43861,1165,32237
부산,사하구,2010,광역단체장,보수정당,진보정당,1,0.5591,2,0.4409,1,1,0,0,284062,135482,74598,58835,0,0,133433,2049,148580
부산,금정구,2010,광역단체장,보수정당,진보정당,1,0.5709,2,0.4291,1,1,0,0,203914,103570,58325,43844,0,0,102169,1401,100344
부산,강서구,2010,광역단체장,보수정당,진보정당,1,0.5287,2,0.4713,1,1,0,0,50837,29933,15423,13747,0,0,29170,763,20904
부산,연제구,2010,광역단체장,보수정당,진보정당,1,0.5617,2,0.4383,1,1,0,0,169354,88021,48791,38078,0,0,86869,1152,81333
부산,수영구,2010,광역단체장,보수정당,진보정당,1,0.5819,2,0.4181,1,1,0,0,146237,71131,40880,29372,0,0,70252,879,75106
부산,사상구,2010,광역단체장,보수정당,진보정당,1,0.5145,2,0.4855,1,1,0,0,204256,99557,50583,47724,0,0,98307,1250,104699
대구,합계,2010,광역단체장,보수정당,진보정당,1,0.7293,2,0.1687,1,1,1,0,1928835,886035,633118,146458,88599,0,868175,17860,1042800
대구,중구,2010,광역단체장,보수정당,진보정당,1,0.7414,2,0.1585,1,1,1,0,65102,31334,22764,4867,3074,0,30705,629,33768
대구,동구,2010,광역단체장,보수정당,진보정당,1,0.7225,2,0.1824,1,1,1,0,266834,123904,87541,22096,11529,0,121166,2738,142930
대구,서구,2010,광역단체장,보수정당,진보정당,1,0.7559,2,0.147,1,1,1,0,183845,83922,61781,12012,7938,0,81731,2191,99923
대구,남구,2010,광역단체장,보수정당,진보정당,1,0.7524,2,0.1502,1,1,1,0,142035,61391,45380,9059,5874,0,60313,1078,80644
대구,북구,2010,광역단체장,보수정당,진보정당,1,0.7171,2,0.1772,1,1,1,0,339490,150682,106071,26213,15629,0,147913,2769,188808
대구,수성구,2010,광역단체장,보수정당,진보정당,1,0.7375,2,0.1574,1,1,1,0,342990,166958,120726,25761,17209,0,163696,3262,176032
대구,달서구,2010,광역단체장,보수정당,진보정당,1,0.7168,2,0.1801,1,1,1,0,454805,200176,141106,35453,20292,0,196851,3325,254629
대구,달성군,2010,광역단체장,보수정당,진보정당,1,0.7257,2,0.1671,1,1,1,0,133734,67668,47749,10997,7054,0,65800,1868,66066
인천,합계,2010,광역단체장,진보정당,보수정당,2,0.527,1,0.4438,1,1,2,0,2096853,1067431,469040,556902,30838,0,1056780,10651,1029422
인천,중구,2010,광역단체장,진보정당,보수정당,2,0.4878,1,0.4778,1,1,2,0,73354,37876,17846,18216,1285,0,37347,529,35478
