지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전국,합계,1992,대통령,보수정당,진보정당,1,0.4196,2,0.3382,1,1,3,2,28676547,24095170,9977332,8041284,5431853,324940,23775409,319761,4581377
서울,합계,1992,대통령,진보정당,보수정당,2,0.3775,1,0.3641,1,1,3,2,7235830,6021311,2167298,2246636,1456961,80882,5951777,69534,1214519
서울,종로구,1992,대통령,진보정당,보수정당,2,0.3916,1,0.3227,1,1,3,2,158824,130419,41396,50226,34764,1884,128270,2149,28405
서울,중구,1992,대통령,진보정당,보수정당,2,0.4198,1,0.3423,1,1,3,2,123335,101005,34093,41814,22368,1320,99595,1410,22330
서울,용산구,1992,대통령,보수정당,진보정당,1,0.3756,2,0.3592,1,1,3,2,198704,161166,59755,57144,40041,2149,159089,2077,37538
서울,성동구갑,1992,대통령,진보정당,보수정당,2,0.4218,1,0.3404,1,1,3,2,163359,135465,45506,56390,30017,1787,133700,1765,27894
서울,성동구을,1992,대통령,진보정당,보수정당,2,0.4337,1,0.3265,1,1,3,2,161747,133569,42929,57027,29672,1869,131497,2072,28178
서울,성동구병,1992,대통령,진보정당,보수정당,2,0.3629,1,0.3602,1,1,3,2,199297,165860,59044,59491,43291,2104,163930,1930,33437
서울,동대문구갑,1992,대통령,진보정당,보수정당,2,0.3806,1,0.3593,1,1,3,2,162772,134238,47589,50420,32355,2095,132459,1779,28534
서울,동대문구을,1992,대통령,진보정당,보수정당,2,0.3948,1,0.3598,1,1,3,2,158339,133425,47346,51951,30510,1782,131589,1836,24914
서울,중랑구갑,1992,대통령,진보정당,보수정당,2,0.3912,1,0.3509,1,1,3,2,130838,109831,38079,42451,26466,1507,108503,1328,21007
서울,중랑구을,1992,대통령,보수정당,진보정당,1,0.3672,2,0.3618,1,1,3,2,168351,140198,50862,50107,35618,1921,138508,1690,28153
서울,성북구갑,1992,대통령,진보정당,보수정당,2,0.3894,1,0.3493,1,1,3,2,180212,147828,50951,56806,35773,2335,145865,1963,32384
