지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
경남,창원시,2002,광역단체장,보수정당,진보정당,1,0.6745,2,0.1794,1,1,1,0,343825,166981,111414,29630,24139,0,165183,1798,176844
경남,마산시,2002,광역단체장,보수정당,진보정당,1,0.7827,2,0.1338,1,1,1,0,316267,153345,118410,20247,12621,0,151278,2067,162922
경남,진주시,2002,광역단체장,보수정당,진보정당,1,0.769,2,0.1695,1,1,1,0,242187,143459,108529,23928,8679,0,141136,2323,98728
경남,진해시,2002,광역단체장,보수정당,진보정당,1,0.7826,2,0.1417,1,1,1,0,99953,60998,47057,8519,4555,0,60131,867,38955
경남,통영시,2002,광역단체장,보수정당,진보정당,1,0.8039,2,0.1352,1,1,1,0,98533,56062,44164,7425,3347,0,54936,1126,42471
경남,고성군,2002,광역단체장,보수정당,진보정당,1,0.7421,2,0.1698,1,1,1,0,48212,35870,25987,5946,3085,0,35018,852,12342
경남,사천시,2002,광역단체장,보수정당,진보정당,1,0.7897,2,0.1556,1,1,1,0,88130,52361,40529,7984,2807,0,51320,1041,35769
경남,김해시,2002,광역단체장,보수정당,진보정당,1,0.6963,2,0.2478,1,1,1,0,245332,104406,71692,25517,5753,0,102962,1444,140926
경남,밀양시,2002,광역단체장,보수정당,진보정당,1,0.7913,2,0.1368,1,1,1,0,92677,56158,43482,7519,3947,0,54948,1210,36519
경남,거제시,2002,광역단체장,보수정당,진보정당,1,0.7033,2,0.1814,1,1,1,0,122843,64911,44722,11535,7336,0,63593,1318,57932
경남,의령군,2002,광역단체장,보수정당,진보정당,1,0.7283,2,0.153,1,1,1,0,27257,21960,15466,3249,2522,0,21237,723,5297
경남,함안군,2002,광역단체장,보수정당,진보정당,1,0.7841,2,0.1338,1,1,1,0,49783,34890,26704,4557,2794,0,34055,835,14893
경남,창녕군,2002,광역단체장,보수정당,진보정당,1,0.7821,2,0.1292,1,1,1,0,55267,39261,29946,4948,3394,0,38288,973,16006
경남,양산시,2002,광역단체장,보수정당,진보정당,1,0.7542,2,0.1574,1,1,1,0,140020,71640,52942,11049,6207,0,70198,1442,68380
경남,하동군,2002,광역단체장,보수정당,진보정당,1,0.6933,2,0.2342,1,1,1,0,45075,33979,22907,7739,2393,0,33039,940,11096
경남,남해군,2002,광역단체장,보수정당,진보정당,1,0.5645,2,0.3719,1,1,1,0,45555,34413,18977,12501,2138,0,33616,797,11142
경남,함양군,2002,광역단체장,보수정당,진보정당,1,0.7495,2,0.1479,1,1,1,0,35259,27401,19997,3947,2737,0,26681,720,7858
경남,산청군,2002,광역단체장,보수정당,진보정당,1,0.7375,2,0.1695,1,1,1,0,32447,25794,18498,4251,2332,0,25081,713,6653
경남,거창군,2002,광역단체장,보수정당,진보정당,1,0.7857,2,0.1323,1,1,1,0,51415,37529,28562,4811,2980,0,36353,1176,13886
경남,합천군,2002,광역단체장,보수정당,진보정당,1,0.838,2,0.0911,1,1,1,0,47511,37724,30721,3339,2601,0,36661,1063,9787
