지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울,종로구,2002,광역단체장,보수정당,진보정당,1,0.5261,2,0.4248,1,1,3,1,141157,72241,37592,30353,2817,689,71451,790,68916
서울,중구,2002,광역단체장,보수정당,진보정당,1,0.5012,2,0.4582,1,1,3,1,110996,56999,28220,25799,1767,516,56302,697,53997
서울,용산구,2002,광역단체장,보수정당,진보정당,1,0.5421,2,0.4126,1,1,3,1,186438,89215,47878,36435,3178,823,88314,901,97223
서울,성동구,2002,광역단체장,보수정당,진보정당,1,0.4982,2,0.4531,1,1,3,1,259275,122030,60188,54742,4700,1184,120814,1216,137245
서울,광진구,2002,광역단체장,보수정당,진보정당,1,0.5149,2,0.443,1,1,3,1,288387,128061,65409,56266,4225,1121,127021,1040,160326
서울,동대문구,2002,광역단체장,보수정당,진보정당,1,0.5197,2,0.4328,1,1,3,1,293982,139856,71954,59919,4982,1592,138447,1409,154126
서울,중랑구,2002,광역단체장,보수정당,진보정당,1,0.5156,2,0.4354,1,1,3,1,328660,141503,72168,60936,4980,1873,139957,1546,187157
서울,성북구,2002,광역단체장,보수정당,진보정당,1,0.4958,2,0.4455,1,1,3,1,344694,159058,78071,70160,6843,2405,157479,1579,185636
서울,강북구,2002,광역단체장,보수정당,진보정당,1,0.478,2,0.4655,1,1,3,1,272559,119468,56515,55030,5163,1520,118228,1240,153091
서울,도봉구,2002,광역단체장,보수정당,진보정당,1,0.5262,2,0.4254,1,1,3,1,267451,124314,64873,52444,4805,1159,123281,1033,143137
서울,노원구,2002,광역단체장,보수정당,진보정당,1,0.5197,2,0.425,1,1,3,1,460769,211967,109154,89265,9131,2478,210028,1939,248802
서울,은평구,2002,광역단체장,보수정당,진보정당,1,0.5005,2,0.4552,1,1,3,1,350617,151137,74992,68205,5110,1527,149834,1303,199480
서울,서대문구,2002,광역단체장,보수정당,진보정당,1,0.498,2,0.451,1,1,3,1,278561,130630,64427,58347,5218,1368,129360,1270,147931
서울,마포구,2002,광역단체장,보수정당,진보정당,1,0.5133,2,0.4397,1,1,3,1,289743,135246,68734,58877,5005,1294,133910,1336,154497
서울,양천구,2002,광역단체장,보수정당,진보정당,1,0.5262,2,0.4305,1,1,3,1,346434,160414,83781,68555,5550,1342,159228,1186,186020
서울,강서구,2002,광역단체장,보수정당,진보정당,1,0.522,2,0.4302,1,1,3,1,381647,167978,86854,71587,6182,1776,166399,1579,213669
서울,구로구,2002,광역단체장,보수정당,진보정당,1,0.5079,2,0.4454,1,1,3,1,310210,143329,72117,63245,5292,1350,142004,1325,166881
서울,금천구,2002,광역단체장,보수정당,진보정당,1,0.4804,2,0.4633,1,1,3,1,190719,86245,41021,39563,3689,1113,85386,859,104474
서울,영등포구,2002,광역단체장,보수정당,진보정당,1,0.5088,2,0.449,1,1,3,1,307394,142502,71838,63394,4668,1302,141202,1300,164892
서울,동작구,2002,광역단체장,보수정당,진보정당,1,0.5046,2,0.4517,1,1,3,1,310691,143859,71970,64416,5100,1134,142620,1239,166832
서울,관악구,2002,광역단체장,진보정당,보수정당,2,0.4942,1,0.4467,1,1,3,1,409461,183886,81318,89971,9077,1682,182048,1838,225575
서울,서초구,2002,광역단체장,보수정당,진보정당,1,0.6223,2,0.343,1,1,3,1,298380,141811,87696,48345,4100,786,140927,884,156569
서울,강남구,2002,광역단체장,보수정당,진보정당,1,0.6329,2,0.3303,1,1,3,1,405494,185026,116377,60740,5680,1089,183886,1140,220468
서울,송파구,2002,광역단체장,보수정당,진보정당,1,0.5581,2,0.4031,1,1,3,1,478923,217204,120256,86871,6627,1734,215488,1716,261719
서울,강동구,2002,광역단체장,보수정당,진보정당,1,0.5509,2,0.407,1,1,3,1,352701,156919,85654,63289,5092,1456,155491,1428,195782
