지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
부산,중구,2006,광역단체장,보수정당,진보정당,2,0.6803,1,0.2288,1,1,1,0,43062,22768,15325,5155,2047,0,22527,241,20294
부산,서구,2006,광역단체장,보수정당,진보정당,2,0.691,1,0.2165,1,1,1,0,112683,55046,37607,11782,5038,0,54427,619,57637
부산,동구,2006,광역단체장,보수정당,진보정당,2,0.6667,1,0.2335,1,1,1,0,89864,46773,30690,10749,4592,0,46031,742,43091
부산,영도구,2006,광역단체장,보수정당,진보정당,2,0.6082,1,0.2822,1,1,1,0,131447,63268,38017,17638,6857,0,62512,756,68179
부산,부산진구,2006,광역단체장,보수정당,진보정당,2,0.6643,1,0.2291,1,1,1,0,325963,157499,103671,35746,16643,0,156060,1439,168464
부산,동래구,2006,광역단체장,보수정당,진보정당,2,0.6893,1,0.2167,1,1,1,0,216997,107497,73580,23133,10026,0,106739,758,109500
부산,남구,2006,광역단체장,보수정당,진보정당,2,0.6498,1,0.2433,1,1,1,0,238368,116840,75331,28203,12390,0,115924,916,121528
부산,북구,2006,광역단체장,보수정당,진보정당,2,0.6321,1,0.2543,1,1,1,0,248396,117428,73619,29620,13223,0,116462,966,130968
부산,해운대구,2006,광역단체장,보수정당,진보정당,2,0.6501,1,0.2486,1,1,1,0,309668,145642,93928,35920,14637,0,144485,1157,164026
부산,기장군,2006,광역단체장,보수정당,진보정당,2,0.6538,1,0.234,1,1,1,0,61953,36135,23264,8326,3995,0,35585,550,25818
부산,사하구,2006,광역단체장,보수정당,진보정당,2,0.6395,1,0.2609,1,1,1,0,284656,128377,81442,33222,12695,0,127359,1018,156279
부산,금정구,2006,광역단체장,보수정당,진보정당,2,0.6698,1,0.2136,1,1,1,0,209276,103941,68921,21975,11996,0,102892,1049,105335
부산,강서구,2006,광역단체장,보수정당,진보정당,2,0.6166,1,0.2977,1,1,1,0,44796,26882,16267,7855,2261,0,26383,499,17914
부산,연제구,2006,광역단체장,보수정당,진보정당,2,0.665,1,0.2332,1,1,1,0,172349,84791,55918,19613,8557,0,84088,703,87558
부산,수영구,2006,광역단체장,보수정당,진보정당,2,0.6817,1,0.2251,1,1,1,0,143359,67640,45774,15118,6255,0,67147,493,75719
부산,사상구,2006,광역단체장,보수정당,진보정당,2,0.6369,1,0.2617,1,1,1,0,212267,98091,61860,25415,9849,0,97124,967,114176
