지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전북,전주시완산구,2010,광역단체장,진보정당,보수정당,2,0.6245,1,0.2359,1,1,3,0,262926,140319,32656,86435,19326,0,138417,1902,122607
전북,전주시덕진구,2010,광역단체장,진보정당,보수정당,2,0.6253,1,0.2134,1,1,3,0,210631,107769,22696,66511,17152,0,106359,1410,102862
전북,군산시,2010,광역단체장,진보정당,보수정당,2,0.733,1,0.1562,1,1,3,0,207328,113614,17270,81040,12250,0,110560,3054,93714
전북,익산시,2010,광역단체장,진보정당,보수정당,2,0.689,1,0.1901,1,1,3,0,234104,126680,23394,84786,14869,0,123049,3631,107424
전북,정읍시,2010,광역단체장,진보정당,보수정당,2,0.7537,1,0.1447,1,1,3,0,96698,64655,8977,46746,6299,0,62022,2633,32043
전북,남원시,2010,광역단체장,진보정당,보수정당,2,0.7799,1,0.1163,1,1,3,0,69420,47635,5343,35825,4767,0,45935,1700,21785
전북,김제시,2010,광역단체장,진보정당,보수정당,2,0.7015,1,0.1624,1,1,3,0,78217,51879,8034,34695,6729,0,49458,2421,26338
전북,완주군,2010,광역단체장,진보정당,보수정당,2,0.6655,1,0.1647,1,1,3,0,67270,41784,6653,26880,6856,0,40389,1395,25486
전북,진안군,2010,광역단체장,진보정당,보수정당,2,0.6536,1,0.1676,1,1,3,0,23443,17962,2874,11212,3067,0,17153,809,5481
전북,무주군,2010,광역단체장,진보정당,보수정당,2,0.707,1,0.1504,1,1,3,0,21439,16739,2369,11135,2245,0,15749,990,4700
전북,장수군,2010,광역단체장,진보정당,보수정당,2,0.7211,1,0.1375,1,1,3,0,19757,15503,2015,10571,2073,0,14659,844,4254
전북,임실군,2010,광역단체장,진보정당,보수정당,2,0.6876,1,0.1715,1,1,3,0,26252,19575,3221,12914,2646,0,18781,794,6677
전북,순창군,2010,광역단체장,진보정당,보수정당,2,0.7024,1,0.1354,1,1,3,0,25136,19663,2519,13066,3018,0,18603,1060,5473
전북,고창군,2010,광역단체장,진보정당,보수정당,2,0.6468,1,0.2397,1,1,3,0,49998,36925,8421,22724,3990,0,35135,1790,13073
전북,부안군,2010,광역단체장,진보정당,보수정당,2,0.7558,1,0.1373,1,1,3,0,50186,35409,4622,25440,3599,0,33661,1748,14777
