지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
경기,수원시장안구,2018,광역단체장,진보정당,보수정당,1,0.5422,2,0.3789,1,1,3,0,202140,121951,45405,64965,9456,0,119826,2125,80189
경기,수원시권선구,2018,광역단체장,진보정당,보수정당,1,0.567,2,0.3561,1,1,3,0,342897,197363,69133,110066,14916,0,194115,3248,145534
경기,수원시팔달구,2018,광역단체장,진보정당,보수정당,1,0.5129,2,0.4159,1,1,3,0,161673,88388,36057,44464,6167,0,86688,1700,73285
경기,수원시영통구,2018,광역단체장,진보정당,보수정당,1,0.5727,2,0.3472,1,1,3,0,273531,174692,59730,98513,13769,0,172012,2680,98839
경기,성남시수정구,2018,광역단체장,진보정당,보수정당,1,0.6283,2,0.3073,1,1,3,0,204053,115704,34928,71400,7316,0,113644,2060,88349
경기,성남시중원구,2018,광역단체장,진보정당,보수정당,1,0.6418,2,0.2981,1,1,3,0,195192,112200,32910,70848,6630,0,110388,1812,82992
경기,성남시분당구,2018,광역단체장,진보정당,보수정당,1,0.537,2,0.3879,1,1,3,0,401672,266966,102110,141379,19773,0,263262,3704,134706
경기,의정부시,2018,광역단체장,진보정당,보수정당,1,0.5703,2,0.3565,1,1,3,0,366459,198518,69513,111187,14277,0,194977,3541,167941
경기,안양시만안구,2018,광역단체장,진보정당,보수정당,1,0.5525,2,0.3748,1,1,3,0,216498,129861,47791,70458,9272,0,127521,2340,86637
경기,안양시동안구,2018,광역단체장,진보정당,보수정당,1,0.5495,2,0.3655,1,1,3,0,268004,174899,62887,94546,14626,0,172059,2840,93105
경기,부천시,2018,광역단체장,진보정당,보수정당,1,0.5899,2,0.32,1,1,3,0,715281,396259,124420,229343,35044,0,388807,7452,319022
경기,광명시,2018,광역단체장,진보정당,보수정당,1,0.5915,2,0.3164,1,1,3,0,270792,166883,51810,96855,15068,0,163733,3150,103909
경기,평택시,2018,광역단체장,진보정당,보수정당,1,0.5484,2,0.3721,1,1,3,0,394222,209742,76374,112564,16322,0,205260,4482,184480
경기,양주시,2018,광역단체장,진보정당,보수정당,1,0.5576,2,0.371,1,1,3,0,171243,94177,34240,51463,6597,0,92300,1877,77066
경기,동두천시,2018,광역단체장,진보정당,보수정당,1,0.5138,2,0.4133,1,1,3,0,80603,43685,17583,21857,3102,0,42542,1143,36918
경기,안산시상록구,2018,광역단체장,진보정당,보수정당,1,0.5815,2,0.3127,1,1,3,0,301162,160049,49098,91311,16621,0,157030,3019,141113
경기,안산시단원구,2018,광역단체장,진보정당,보수정당,1,0.5607,2,0.3347,1,1,3,0,252537,134644,44294,74194,13835,0,132323,2321,117893
경기,고양시덕양구,2018,광역단체장,진보정당,보수정당,1,0.5648,2,0.3312,1,1,3,0,398866,232142,75507,128755,23702,0,227964,4178,166724
경기,고양시일산동구,2018,광역단체장,진보정당,보수정당,1,0.5546,2,0.3446,1,1,3,0,234054,132770,44949,72347,13145,0,130441,2329,101284
경기,고양시일산서구,2018,광역단체장,진보정당,보수정당,1,0.5694,2,0.3358,1,1,3,0,222085,132848,43861,74380,12389,0,130630,2218,89237
경기,과천시,2018,광역단체장,진보정당,보수정당,1,0.485,2,0.4175,1,1,3,0,46715,32773,13411,15579,3133,0,32123,650,13942
경기,의왕시,2018,광역단체장,진보정당,보수정당,1,0.5414,2,0.375,1,1,3,0,127960,82375,30285,43729,6756,0,80770,1605,45585
경기,구리시,2018,광역단체장,진보정당,보수정당,1,0.5601,2,0.3713,1,1,3,0,165295,97711,35615,53719,6574,0,95908,1803,67584
경기,남양주시,2018,광역단체장,진보정당,보수정당,1,0.5808,2,0.3442,1,1,3,0,537349,294809,99733,168295,21761,0,289789,5020,242540
경기,오산시,2018,광역단체장,진보정당,보수정당,1,0.5952,2,0.3263,1,1,3,0,169638,90096,28867,52651,6943,0,88461,1635,79542
경기,화성시,2018,광역단체장,진보정당,보수정당,1,0.5992,2,0.3155,1,1,3,0,551721,313790,97491,185121,26346,0,308958,4832,237931
