지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울,2006,광역단체장,보수정당,진보정당,2,0.6106,1,0.2731,1,1,5,1,7983648,3977842,2409760,1077890,445368,13808,3946826,31016,4005806
부산,2006,광역단체장,보수정당,진보정당,2,0.6555,1,0.2412,1,1,1,0,2845104,1378618,895214,329470,141061,0,1365745,12873,1466486
대구,2006,광역단체장,보수정당,진보정당,2,0.7015,1,0.2108,1,1,2,1,1885043,915060,636057,191131,44261,35232,906681,8379,969983
인천,2006,광역단체장,보수정당,진보정당,2,0.6193,1,0.2358,1,1,2,0,1940403,859506,526932,200650,123237,0,850819,8687,1080897
광주,2006,광역단체장,그외정당,진보정당,3,0.5162,1,0.3395,1,1,2,0,1014620,469316,18461,157756,288501,0,464718,4598,545304
대전,2006,광역단체장,보수정당,진보정당,2,0.4384,1,0.4115,1,1,4,0,1077468,532568,231489,217273,79279,0,528041,4527,544900
울산,2006,광역단체장,보수정당,그외정당,2,0.6323,4,0.2525,1,1,1,0,790289,417200,261361,47579,104384,0,413324,3876,373089
경기,2006,광역단체장,보수정당,진보정당,2,0.5968,1,0.3076,1,1,2,0,7918828,3695552,2181677,1124317,349515,0,3655509,40043,4223276
강원,2006,광역단체장,보수정당,진보정당,2,0.7057,1,0.2219,1,1,2,0,1160977,681633,471613,148302,48411,0,668326,13307,479344
충북,2006,광역단체장,보수정당,진보정당,2,0.5966,1,0.3063,1,1,2,0,1126282,616053,361157,185426,58741,0,605324,10729,510229
충남,2006,광역단체장,보수정당,그외정당,2,0.4631,5,0.2554,1,1,2,0,1503240,838462,379420,178169,261671,0,819260,19202,664778
전북,2006,광역단체장,진보정당,그외정당,1,0.4808,3,0.3653,1,1,2,0,1429632,827387,62922,389436,357563,0,809921,17466,602245
전남,2006,광역단체장,그외정당,진보정당,3,0.6769,1,0.192,1,1,2,0,1513912,973820,55444,181756,709596,0,946796,27024,540092
경북,2006,광역단체장,보수정당,진보정당,2,0.768,1,0.232,1,1,0,0,2087709,1284342,961363,290358,0,0,1251721,32621,803367
경남,2006,광역단체장,보수정당,진보정당,2,0.6313,1,0.2541,1,1,2,0,2375265,1373815,852377,343137,154729,0,1350243,23572,1001450
제주,2006,광역단체장,무소속,보수정당,6,0.4273,2,0.4111,1,1,0,1,411862,277003,112774,44334,0,117244,274352,2651,134859
