지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울,2022,광역단체장,보수정당,진보정당,2,0.5905,1,0.3924,1,1,2,1,8378339,4455161,2608277,1733183,66459,9000,4416919,38242,3923178
부산,2022,광역단체장,보수정당,진보정당,2,0.6637,1,0.3224,1,1,1,0,2916832,1432194,938601,455901,19733,0,1414235,17959,1484638
대구,2022,광역단체장,보수정당,진보정당,2,0.7875,1,0.1798,1,1,2,0,2044579,883141,685159,156429,28446,0,870034,13107,1161438
인천,2022,광역단체장,보수정당,진보정당,2,0.5177,1,0.4456,1,1,2,0,2534338,1240469,634250,545885,45000,0,1225135,15334,1293869
광주,2022,광역단체장,진보정당,보수정당,1,0.7492,2,0.1591,1,1,3,0,1206886,454516,71062,334699,24414,0,446770,7746,752370
대전,2022,광역단체장,보수정당,진보정당,2,0.512,1,0.488,1,1,0,0,1233557,612639,310035,295555,0,0,605590,7049,620918
울산,2022,광역단체장,보수정당,진보정당,2,0.5979,1,0.4021,1,1,0,0,941189,491866,290563,195430,0,0,485993,5873,449323
세종,2022,광역단체장,보수정당,진보정당,2,0.5284,1,0.4716,1,1,0,0,292259,149751,78415,69995,0,0,148410,1341,142508
경기,2022,광역단체장,진보정당,보수정당,1,0.4907,2,0.4891,1,1,3,1,11497206,5820631,2818680,2827593,61778,54758,5762809,57822,5676575
강원,2022,광역단체장,보수정당,진보정당,2,0.5407,1,0.4593,1,1,0,0,1336080,772498,409461,347766,0,0,757227,15271,563582
충북,2022,광역단체장,보수정당,진보정당,2,0.5819,1,0.4181,1,1,0,0,1368779,692324,395517,284166,0,0,679683,12641,676455
충남,2022,광역단체장,보수정당,진보정당,2,0.5387,1,0.4613,1,1,0,0,1803096,898369,468658,401308,0,0,869966,28403,904727
전북,2022,광역단체장,진보정당,보수정당,1,0.8212,2,0.1788,1,1,0,0,1532133,745354,128828,591510,0,0,720338,25016,786779
전남,2022,광역단체장,진보정당,보수정당,1,0.7574,2,0.1881,1,1,1,0,1580098,923347,167020,672433,48336,0,887789,35558,656751
경북,2022,광역단체장,보수정당,진보정당,2,0.7796,1,0.2204,1,1,0,0,2268707,1194595,904675,255775,0,0,1160450,34145,1074112
경남,2022,광역단체장,보수정당,진보정당,2,0.6571,1,0.2943,1,1,2,0,2804287,1497400,963473,431569,71286,0,1466328,31072,1306887
제주,2022,광역단체장,진보정당,보수정당,1,0.5515,2,0.3948,1,1,1,1,565084,300139,116786,163116,5750,10138,295790,4349,264945
