지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전국,1992,대통령,보수정당,진보정당,1,0.41964922664421883,2,0.33821853495769516,1,1,3,2,28676547,24095170,9977332,8041284,5431853,324940,23775409,319761,4581377
서울,1992,대통령,진보정당,보수정당,2,0.37747314793548215,1,0.36414301140650934,1,1,3,2,7235830,6021311,2167298,2246636,1456961,80882,5951777,69534,1214519
부산,1992,대통령,보수정당,진보정당,1,0.7334220798160528,2,0.12529846756317634,1,1,3,2,2506539,2135546,1551473,265055,273889,24972,2115389,20157,370993
대구,1992,대통령,보수정당,그외정당,1,0.5959671660940793,3,0.19395903791509705,1,1,3,2,1458247,1172636,690245,90641,361782,15525,1158193,14443,285611
인천,1992,대통령,보수정당,진보정당,1,0.3726582311720661,2,0.31749208469006496,1,1,3,2,1321616,1081011,397361,338538,314067,16322,1066288,14723,240605
광주,1992,대통령,진보정당,보수정당,2,0.9584734058183956,1,0.021310608286805758,1,1,3,2,745270,685797,14504,652337,11045,2714,680600,5197,59473
대전,1992,대통령,보수정당,진보정당,1,0.3519079809819935,2,0.2873714099682627,1,1,3,2,705227,582613,202137,165067,199133,8066,574403,8210,122614
경기,1992,대통령,보수정당,진보정당,1,0.3633385920765372,2,0.3197252125589798,1,1,3,2,4270726,3502774,1254025,1103498,1043795,50077,3451395,51379,767952
강원,1992,대통령,보수정당,그외정당,1,0.41514894758337345,3,0.3408817989527647,1,1,3,2,990821,834891,340528,127265,338856,13606,820255,14636,155930
충북,1992,대통령,보수정당,진보정당,1,0.3826257758048062,2,0.26045986598222426,1,1,3,2,894837,750483,281678,191743,249511,13239,736171,14312,144354
충남,1992,대통령,보수정당,진보정당,1,0.36935012084573116,2,0.2854951525218016,1,1,3,2,1191541,973070,351789,271921,308660,20084,952454,20616,218471
전북,1992,대통령,진보정당,보수정당,2,0.8913408549467344,1,0.05679417449543759,1,1,3,2,1276931,1126597,63175,991483,46330,11362,1112350,14247,150334
전남,1992,대통령,진보정당,보수정당,2,0.9215565387398496,1,0.042014987130154335,1,1,3,2,1445165,1285110,53360,1170398,34944,11321,1270023,15087,160055
경북,1992,대통령,보수정당,그외정당,1,0.6472969770252351,3,0.15711686254641277,1,1,3,2,1876635,1559478,991424,147440,368869,23904,1531637,27841,317157
경남,1992,대통령,보수정당,그외정당,1,0.72318027885116,3,0.11517775686739046,1,1,3,2,2437338,2118601,1514043,193373,358241,27933,2093590,25011,318737
제주,1992,대통령,보수정당,진보정당,1,0.3997638797319882,2,0.32922294966345195,1,1,3,2,319824,265252,104292,85889,65770,4933,260884,4368,54572
