시도,구시군,선거인수,투표수,득표수_1_새누리당_박근혜,득표수_2_민주통합당_문재인,득표수_4_무소속_박종선,득표수_5_무소속_김소연,득표수_6_무소속_강지원,득표수_7_무소속_김순자,득표수_계,무효투표수,기권수
전국,합계,40507842,30721459,15773128,14692632,12854,16687,53303,46017,30594621,126838,9786383
서울특별시,합계,8393847,6307869,3024572,3227639,3559,3793,11829,5307,6276699,31170,2085978
서울특별시,종로구,141447,103189,49422,52747,73,86,211,97,102636,553,38258
서울특별시,중구,115277,83095,40289,41919,67,56,151,71,82553,542,32182
서울특별시,용산구,206665,147849,76997,69572,87,96,261,121,147134,715,58816
서울특별시,성동구,249514,185566,88658,95239,112,113,315,159,184596,970,63948
서울특별시,광진구,307590,231171,106675,122537,118,131,385,200,230046,1125,76419
서울특별시,동대문구,305303,227177,107972,116909,164,151,398,196,225790,1387,78126
서울특별시,중랑구,348329,253369,121391,129630,152,138,364,255,251930,1439,94960
서울특별시,성북구,396699,295525,134557,158429,174,181,459,251,294051,1474,101174
서울특별시,강북구,286118,207927,94479,111470,169,110,341,171,206740,1187,78191
서울특별시,도봉구,296521,225230,106942,116266,128,150,404,193,224083,1147,71291
서울특별시,노원구,473741,368003,170114,194546,220,203,689,326,366098,1905,105738
서울특별시,은평구,409466,300923,135878,162177,213,212,543,270,299293,1630,108543
서울특별시,서대문구,261540,196130,88811,105412,156,147,378,154,195058,1072,65410
서울특별시,마포구,319501,243026,106921,133849,114,246,460,262,241852,1174,76475
서울특별시,양천구,390352,298957,141933,154539,164,152,576,248,297612,1345,91395
서울특별시,강서구,463571,350023,162212,184866,173,186,617,317,348371,1652,113548
서울특별시,구로구,350373,269094,123106,143695,151,182,439,249,267822,1272,81279
서울특별시,금천구,202808,147632,66316,79933,97,112,213,132,146803,829,55176
서울특별시,영등포구,327297,245975,118167,125657,134,149,498,210,244815,1160,81322
서울특별시,동작구,338206,260307,117538,140437,154,143,514,227,259013,1294,77899
서울특별시,관악구,446910,333640,134105,196560,201,260,630,287,332043,1597,113270
서울특별시,서초구,352640,270848,158112,110649,68,129,680,147,269785,1063,81792
서울특별시,강남구,461592,343220,205563,134880,111,142,829,234,341759,1461,118372
서울특별시,송파구,545369,419631,217650,198590,194,177,897,304,417812,1819,125738
서울특별시,강동구,397018,300362,150764,147131,165,141,577,226,299004,1358,96656
부산광역시,합계,2911700,2219699,1324159,882511,555,913,2878,2389,2213405,6294,692001
부산광역시,서구,103696,75140,48129,26426,22,38,104,150,74869,271,28556
부산광역시,동구,85145,62994,40262,22338,14,29,81,91,62815,179,22151
부산광역시,영도구,119481,86765,50903,35314,16,38,91,106,86468,297,32716
부산광역시,부산진구,328421,248245,146883,99987,68,118,289,265,247610,635,80176
부산광역시,동래구,228712,178174,108913,68281,44,68,232,176,177714,460,50538
부산광역시,남구,240343,184999,111763,72244,44,72,226,180,184529,470,55344
부산광역시,북구,250964,196487,111611,83710,45,99,251,205,195921,566,54477
부산광역시,해운대구,340520,260066,155263,103287,53,93,443,241,259380,686,80454
부산광역시,기장군,89141,67694,41164,26084,17,24,77,83,67449,245,21447
부산광역시,사하구,286161,215739,125432,89012,64,83,245,203,215039,700,70422
부산광역시,금정구,212193,164536,100400,63126,50,75,235,177,164063,473,47657
부산광역시,연제구,174375,135450,81370,53294,27,57,210,142,135100,350,38925
부산광역시,수영구,148960,113856,70198,43059,28,41,166,88,113580,276,35104
부산광역시,사상구,206782,158296,88100,69288,49,55,162,186,157840,456,48486
대구광역시,합계,1990746,1585806,1267789,309034,366,624,2043,1984,1581840,3966,404940
대구광역시,수성구,353557,286479,225052,60016,46,94,441,244,285893,586,67078
대구광역시,달서구,472596,382874,304535,76363,82,163,427,407,381977,897,89722
대구광역시,달성군,142838,114373,92161,21290,41,54,158,244,113948,425,28465
인천광역시,합계,2241366,1657821,852600,794213,508,1005,2730,1910,1652966,4855,583545
인천광역시,연수구,224398,172068,91538,79429,52,80,315,163,171577,491,52330
인천광역시,남동구,393970,293649,148815,143099,81,182,458,275,292910,739,100321
인천광역시,부평구,445709,330418,159386,168820,104,242,553,357,329462,956,115291
인천광역시,계양구,267899,197466,92670,103499,53,120,357,213,196912,554,70433
인천광역시,강화군,57270,42705,29666,12534,26,29,84,125,42464,241,14565
인천광역시,옹진군,17311,12903,9197,3470,11,14,37,59,12788,115,4408
광주광역시,합계,1117781,898416,69574,823737,268,333,1113,561,895586,2830,219365
광주광역시,광산구,272925,220876,15548,204061,52,76,256,162,220155,721,52049
대전광역시,합계,1182321,904367,450576,448310,271,461,1291,969,901878,2489,277954
대전광역시,유성구,225936,179329,81928,96401,55,92,282,147,178905,424,46607
대전광역시,대덕구,160418,121479,61558,59023,44,78,165,169,121037,442,38939
울산광역시,합계,886061,694938,413977,275451,210,434,898,1463,692433,2505,191123
울산광역시,울주군,159736,123701,77446,45008,49,72,161,332,123068,633,36035
세종특별자치시,합계,87707,64990,33587,30787,31,38,99,155,64697,293,22717
세종특별자치시,세종특별자치시,87707,64990,33587,30787,31,38,99,155,64697,293,22717
경기도,합계,9364077,7018577,3528915,3442084,1997,3674,12577,7476,6996723,21854,2345500
경기도,수원시장안구,225754,175095,85548,88360,45,96,375,168,174592,503,50659
경기도,수원시권선구,258753,192297,94970,96064,57,109,330,183,191713,584,66456
경기도,수원시팔달구,167784,121476,63522,57156,36,63,197,147,121121,355,46308
경기도,수원시영통구,208298,165741,74873,89927,40,72,305,116,165333,408,42557
경기도,성남시수정구,193613,138079,62526,74640,44,68,235,128,137641,438,55534
경기도,성남시중원구,206445,147567,68309,78261,35,74,214,158,147051,516,58878
경기도,성남시분당구,381468,306328,162103,142315,60,105,732,218,305533,795,75140
경기도,의정부시,337945,249229,127092,120550,64,117,368,237,248428,801,88716
경기도,안양시만안구,206674,156859,76396,79472,39,87,262,131,156387,472,49815
경기도,안양시동안구,276827,221572,103793,116384,54,111,471,176,220989,583,55255
경기도,부천시원미구,354869,268007,121498,144862,78,145,444,253,267280,727,86862
경기도,부천시소사구,185997,140133,64835,74327,34,106,217,126,139645,488,45864
경기도,부천시오정구,151739,109015,50291,57987,35,54,171,128,108666,349,42724
경기도,광명시,278075,216922,94631,120851,60,132,354,211,216239,683,61153
경기도,평택시,333774,239544,135781,101951,83,181,424,351,238771,773,94230
경기도,양주시,154363,111883,61889,49201,42,60,165,139,111496,387,42480
경기도,동두천시,77102,52984,31188,21296,25,27,92,65,52693,291,24118
